x,percent_benefit,num_partitions,num_cuts,total_modules,best_val,base_val,partitions,C,E,N,I,Wb,IN
1,59.49840450140916,3,2,15,0.4020880285609177,0.9927708368301379,"[1, 7]",0.38462830448150637,0.007990290641784302,0.0006186564618556701,0.01745972407941131,0.007990290641784302,0.0012373129237113402
2,59.49840450140916,3,2,15,0.4020880285609177,0.9927708368301379,"[1, 7]",0.38462830448150637,0.007990290641784302,0.0006186564618556701,0.01745972407941131,0.007990290641784302,0.0012373129237113402
3,59.49840450140916,3,2,15,0.4020880285609177,0.9927708368301379,"[1, 7]",0.38462830448150637,0.007990290641784302,0.0006186564618556701,0.01745972407941131,0.007990290641784302,0.0012373129237113402
5,59.49840450140916,3,2,15,0.40208802856091774,0.992770836830138,"[1, 7]",0.38462830448150637,0.007990290641784302,0.0006186564618556701,0.01745972407941131,0.007990290641784302,0.0012373129237113402
9,59.14069452912831,3,2,15,0.4056392688461552,0.992770836830138,"[1, 7]",0.38462830448150637,0.007990290641784302,0.0006186564618556701,0.01745972407941131,0.007990290641784302,0.0012373129237113402
17,58.583800378367314,3,2,15,0.4119583875890041,0.9946793557896321,"[1, 7]",0.38462830448150637,0.007990290641784302,0.0006186564618556701,0.01745972407941131,0.007990290641784302,0.0012373129237113402
33,57.714607544929265,5,4,15,0.42416231467493554,1.0030941893837653,"[1, 4, 7, 10]",0.38462830448150637,0.004167394638061306,0.0006186564618556701,0.01869703700312265,0.004167394638061306,0.0024746258474226805
65,56.24394976989839,5,4,15,0.44640979066581665,1.0202241480167074,"[1, 4, 7, 10]",0.38462830448150637,0.004167394638061306,0.0006186564618556701,0.01869703700312265,0.004167394638061306,0.0024746258474226805
129,53.45904467495577,5,4,15,0.4908406288839165,1.0546423584472262,"[1, 4, 7, 10]",0.38462830448150637,0.004167394638061306,0.0006186564618556701,0.01869703700312265,0.004167394638061306,0.0024746258474226805
257,48.99306997185989,14,13,15,0.573157898078824,1.123686326078863,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.38462830448150637,0.0012833175659179214,0.0006186564618556701,0.02426494515982368,0.0012833175659179214,0.008042534004123712
513,41.57181889470913,14,13,15,0.737422546516318,1.2621008091753552,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.38462830448150637,0.0012833175659179214,0.0006186564618556701,0.02426494515982368,0.0012833175659179214,0.008042534004123712
1025,30.735199355833988,14,13,15,1.065951843391306,1.5389517236430366,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.38462830448150637,0.0012833175659179214,0.0006186564618556701,0.02426494515982368,0.0012833175659179214,0.008042534004123712
2049,16.180193162722322,5,4,15,1.7540673954701738,2.0926645642066513,"[2, 5, 8, 11]",0.4312769680023193,0.003824320793151708,0.0006186564618556701,0.01869703700312265,0.003824320793151708,0.0024746258474226805
2524,13.635872453537177,3,2,15,2.029137771303355,2.349514583137199,"[5, 9]",0.5766992902755735,0.0056966171264645985,0.0006186564618556701,0.01745972407941131,0.0056966171264645985,0.0012373129237113402
2525,13.6315899629701,3,2,15,2.0297065302240638,2.350056611385853,"[5, 9]",0.5766992902755735,0.0056966171264645985,0.0006186564618556701,0.01745972407941131,0.0056966171264645985,0.0012373129237113402
2762,12.649884232139922,3,2,15,2.1647175936195633,2.4782080419589523,"[5, 9]",0.5766992902755735,0.0056966171264645985,0.0006186564618556701,0.01745972407941131,0.0056966171264645985,0.0012373129237113402
2763,12.646027039963817,3,2,15,2.1652872548843276,2.4787507442562813,"[5, 9]",0.5766992902755735,0.0056966171264645985,0.0006186564618556701,0.01745972407941131,0.0056966171264645985,0.0012373129237113402
2881,12.194334041554788,3,2,15,2.2325068908484003,2.542554476957049,"[5, 9]",0.5766992902755735,0.0056966171264645985,0.0006186564618556701,0.01745972407941131,0.0056966171264645985,0.0012373129237113402
2882,12.190666308107167,3,2,15,2.2330769476104924,2.543097474632888,"[5, 9]",0.5766992902755735,0.0056966171264645985,0.0006186564618556701,0.01745972407941131,0.0056966171264645985,0.0012373129237113402
2940,11.97689114048928,3,2,15,2.266116140972344,2.57445592451089,"[5, 9]",0.5766992902755735,0.0056966171264645985,0.0006186564618556701,0.01745972407941131,0.0056966171264645985,0.0012373129237113402
2941,11.973311010013981,3,2,15,2.2666865774714062,2.5749992456597637,"[5, 9]",0.5766992902755735,0.0056966171264645985,0.0006186564618556701,0.01745972407941131,0.0056966171264645985,0.0012373129237113402
