x,percent_benefit,num_partitions,num_cuts,total_modules,best_val,base_val,partitions,C,E,N,I,Wb,IN
1,59.60072170199636,3,2,15,0.3858433048854506,0.9550747467301102,"[1, 7]",0.38347557973861696,0.0005557624816894271,0.0006186564618556701,0.0023677251468336253,0.0006186564618556701,0.0012373129237113402
2,59.60072170199636,3,2,15,0.3858433048854506,0.9550747467301102,"[1, 7]",0.38347557973861696,0.0005557624816894271,0.0006186564618556701,0.0023677251468336253,0.0006186564618556701,0.0012373129237113402
3,59.60072170199636,3,2,15,0.3858433048854506,0.9550747467301101,"[1, 7]",0.38347557973861696,0.0005557624816894271,0.0006186564618556701,0.0023677251468336253,0.0006186564618556701,0.0012373129237113402
5,59.60072170199636,3,2,15,0.3858433048854506,0.9550747467301102,"[1, 7]",0.38347557973861696,0.0005557624816894271,0.0006186564618556701,0.0023677251468336253,0.0006186564618556701,0.0012373129237113402
9,59.57193249691761,3,2,15,0.3861182633129421,0.9550747467301102,"[1, 7]",0.38347557973861696,0.0005557624816894271,0.0006186564618556701,0.0023677251468336253,0.0006186564618556701,0.0012373129237113402
17,59.526340413731006,3,2,15,0.3866075275736254,0.9552077364034187,"[1, 7]",0.38347557973861696,0.0005557624816894271,0.0006186564618556701,0.0023677251468336253,0.0006186564618556701,0.0012373129237113402
33,59.4487148128499,3,2,15,0.38758679127795304,0.9557940999630059,"[1, 7]",0.38347557973861696,0.0005557624816894271,0.0006186564618556701,0.0023677251468336253,0.0006186564618556701,0.0012373129237113402
65,59.29360194736791,3,2,15,0.3895552436565847,0.9569877520307791,"[1, 7]",0.38347557973861696,0.0005557624816894271,0.0006186564618556701,0.0023677251468336253,0.0006186564618556701,0.0012373129237113402
129,58.98246087607176,3,2,15,0.3935165633270716,0.9593860863717866,"[1, 7]",0.38347557973861696,0.0005557624816894271,0.0006186564618556701,0.0023677251468336253,0.0006186564618556701,0.0012373129237113402
257,58.36589394446392,3,2,15,0.40143489205836597,0.9641972173556184,"[1, 7]",0.38347557973861696,0.0005557624816894271,0.0006186564618556701,0.0023677251468336253,0.0006186564618556701,0.0012373129237113402
513,57.15201475058244,3,2,15,0.41727177672252763,0.9738422338730608,"[1, 7]",0.38347557973861696,0.0005557624816894271,0.0006186564618556701,0.0023677251468336253,0.0006186564618556701,0.0012373129237113402
1025,54.79498677191875,3,2,15,0.4489462639947284,0.9931337963105473,"[1, 7]",0.38347557973861696,0.0005557624816894271,0.0006186564618556701,0.0023677251468336253,0.0006186564618556701,0.0012373129237113402
2049,50.345253147079404,3,2,15,0.5122968064611196,1.0317176884992765,"[1, 7]",0.38347557973861696,0.0005557624816894271,0.0006186564618556701,0.0023677251468336253,0.0006186564618556701,0.0012373129237113402
2524,48.39225011411343,3,2,15,0.5416829656707084,1.0496155458597995,"[1, 7]",0.38347557973861696,0.0005557624816894271,0.0006186564618556701,0.0023677251468336253,0.0006186564618556701,0.0012373129237113402
2525,48.38822254451175,3,2,15,0.5417447332730807,1.0496533155446928,"[1, 7]",0.38347557973861696,0.0005557624816894271,0.0006186564618556701,0.0023677251468336253,0.0006186564618556701,0.0012373129237113402
2762,47.43851631355043,3,2,15,0.5564070258122095,1.058583180664004,"[1, 7]",0.38347557973861696,0.0005557624816894271,0.0006186564618556701,0.0023677251468336253,0.0006186564618556701,0.0012373129237113402
2763,47.43454996457321,3,2,15,0.5564688914097548,1.058620997318047,"[1, 7]",0.38347557973861696,0.0005557624816894271,0.0006186564618556701,0.0023677251468336253,0.0006186564618556701,0.0012373129237113402
2881,46.967688667303186,3,2,15,0.5637689892098274,1.0630669775507944,"[1, 7]",0.38347557973861696,0.0005557624816894271,0.0006186564618556701,0.0023677251468336253,0.0006186564618556701,0.0012373129237113402
