x,percent_benefit,num_partitions,num_cuts,total_modules,best_val,base_val,partitions,C,E,N,I,Wb,IN
1,8.422203997413403,3,2,5,1.253847475181048,1.3691610083580013,"[1, 3]",1.2424416422843934,0.0013277473449706517,0.006588375747245415,0.011405832896654622,0.006588375747245415,0.009556459556048091
500,0.0,1,0,5,1.4607049887180235,1.4607049887180235,[],1.3673116350173948,0.00184937334060653,0.0,0.00184937334060653,0.00184937334060653,0.0
1000,0.0,1,0,5,1.553173655748351,1.553173655748351,[],1.3673116350173948,0.00184937334060653,0.0,0.00184937334060653,0.00184937334060653,0.0
1500,0.0,1,0,5,1.645642322778678,1.645642322778678,[],1.3673116350173948,0.00184937334060653,0.0,0.00184937334060653,0.00184937334060653,0.0
2000,0.0,1,0,5,1.7381109898090041,1.7381109898090041,[],1.3673116350173948,0.00184937334060653,0.0,0.00184937334060653,0.00184937334060653,0.0
2500,0.0,1,0,5,1.8305796568393318,1.8305796568393318,[],1.3673116350173948,0.00184937334060653,0.0,0.00184937334060653,0.00184937334060653,0.0
3000,0.0,1,0,5,1.9230483238696563,1.9230483238696563,[],1.3673116350173948,0.00184937334060653,0.0,0.00184937334060653,0.00184937334060653,0.0
3500,0.0,1,0,5,2.0155169908999837,2.0155169908999837,[],1.3673116350173948,0.00184937334060653,0.0,0.00184937334060653,0.00184937334060653,0.0
4000,0.0,1,0,5,2.10798565793031,2.10798565793031,[],1.3673116350173948,0.00184937334060653,0.0,0.00184937334060653,0.00184937334060653,0.0
5000,0.0,1,0,5,2.2929229919909595,2.2929229919909595,[],1.3673116350173948,0.00184937334060653,0.0,0.00184937334060653,0.00184937334060653,0.0
6000,0.0,1,0,5,2.477860326051615,2.477860326051615,[],1.3673116350173948,0.00184937334060653,0.0,0.00184937334060653,0.00184937334060653,0.0
7000,0.0,1,0,5,2.6627976601122776,2.6627976601122776,[],1.3673116350173948,0.00184937334060653,0.0,0.00184937334060653,0.00184937334060653,0.0
8000,0.0,1,0,5,2.8477349941729333,2.8477349941729333,[],1.3673116350173948,0.00184937334060653,0.0,0.00184937334060653,0.00184937334060653,0.0
9000,0.0,1,0,5,3.032672328233584,3.032672328233584,[],1.3673116350173948,0.00184937334060653,0.0,0.00184937334060653,0.00184937334060653,0.0
10000,0.0,1,0,5,3.217609662294233,3.217609662294233,[],1.3673116350173948,0.00184937334060653,0.0,0.00184937334060653,0.00184937334060653,0.0
