x,percent_benefit,num_partitions,num_cuts,total_modules,best_val,base_val,partitions,C,E,N,I,Wb,IN
1,86.3827579423898,10,9,31,0.3748491194196237,2.7527535886764505,"[1, 3, 6, 11, 16, 18, 21, 24, 27]",0.31685883951187127,0.008972054958343259,0.0028681764422374086,0.05799027990775241,0.008972054958343259,0.025740219826271903
500,72.20231421027064,13,12,31,0.8330471752941958,2.9968220433730806,"[1, 3, 5, 7, 9, 11, 13, 15, 18, 21, 24, 27]",0.31754325819015494,0.0036059432029723146,0.0028681764422374086,0.06656398833398805,0.0036059432029723146,0.03431392825250755
1000,64.67525904423266,10,9,31,1.15048672919341,3.256886527870133,"[1, 5, 7, 9, 11, 13, 18, 22, 26]",0.4448428907394407,0.003897656440734665,0.0028681764422374086,0.05798196066641215,0.003897656440734665,0.025731900584931647
1500,58.052013571375824,10,9,31,1.475290133369151,3.516951012367194,"[1, 5, 7, 9, 11, 13, 18, 22, 26]",0.4448428907394407,0.003897656440734665,0.0028681764422374086,0.05798196066641215,0.003897656440734665,0.025731900584931647
2000,52.34079691048166,10,9,31,1.8000954863731145,3.777015496864253,"[1, 5, 7, 9, 11, 13, 18, 22, 26]",0.4448428907394407,0.003897656440734665,0.0028681764422374086,0.05798196066641215,0.003897656440734665,0.025731900584931647
2500,47.36542080770709,10,9,31,2.12490005984579,4.037079981361248,"[1, 5, 7, 9, 11, 13, 18, 22, 26]",0.4448428907394407,0.003897656440734665,0.0028681764422374086,0.05798196066641215,0.003897656440734665,0.025731900584931647
3000,42.99227631241666,10,9,31,2.4497042435528193,4.297144465858371,"[1, 5, 7, 9, 11, 13, 18, 22, 26]",0.4448428907394407,0.003897656440734665,0.0028681764422374086,0.05798196066641215,0.003897656440734665,0.025731900584931647
3500,39.11823336657878,10,9,31,2.7745093181527487,4.557208950355382,"[1, 5, 7, 9, 11, 13, 18, 22, 26]",0.4448428907394407,0.003897656440734665,0.0028681764422374086,0.05798196066641215,0.003897656440734665,0.025731900584931647
4000,35.66259358436267,10,9,31,3.099313975146634,4.817281497367509,"[1, 5, 7, 9, 11, 13, 18, 22, 26]",0.4448428907394407,0.003897656440734665,0.0028681764422374086,0.05798196066641215,0.003897656440734665,0.025731900584931647
5000,29.772892970187627,10,9,31,3.7483440656726015,5.337460453954593,"[4, 6, 8, 10, 12, 14, 18, 22, 26]",0.6945286631584167,0.0035971546173094696,0.0028681764422374086,0.057984892254640055,0.0035971546173094696,0.025734832173159555
6000,25.844243113235958,6,5,31,4.343764484358671,5.857622748010793,"[6, 9, 12, 17, 24]",0.820756155490875,0.005796645164489444,0.0042305393946459845,0.047919552756371636,0.005796645164489444,0.015669492674891136
7000,22.803350715483184,6,5,31,4.923429000807609,6.377775520621063,"[6, 9, 12, 17, 24]",0.820756155490875,0.005796645164489444,0.0042305393946459845,0.047919552756371636,0.005796645164489444,0.015669492674891136
8000,20.221092497634398,6,5,31,5.503093517256554,6.8979304048421275,"[6, 9, 12, 17, 24]",0.820756155490875,0.005796645164489444,0.0042305393946459845,0.047919552756371636,0.005796645164489444,0.015669492674891136
9000,18.105842342859997,3,2,31,6.074991352808244,7.418101030163769,"[9, 18]",1.011672603607177,0.011179877281188516,0.002856925612669248,0.037963911306819,0.011179877281188516,0.005713851225338496
10000,16.43027012436031,3,2,31,6.633985216867663,7.93826332422004,"[9, 18]",1.011672603607177,0.011179877281188516,0.002856925612669248,0.037963911306819,0.011179877281188516,0.005713851225338496
