unix,cpu_util,cpu_freq_current,cpu_freq_min,cpu_freq_max,memory_available,memory_total,disk_free,disk_total,net_speed,net_speed_used,net_byte_recv,net_byte_sent,net_util,gpu_util,gpu_memory_util,gpu_memory_total,gpu_memory_used
1677783021.0052216,1.1,918121.4749999999,800,3000,194474430464,201420382208,471720648704,499999834112,25000000000,152839.56751929157,4430483970154,3380543736672,0.000611358270077,0,0,23040,2
1677783021.9873898,0.2,855785.0249999999,800,3000,194474946560,201420382208,471720648704,499999834112,25000000000,143991.63029407366,4430483981904,3380543742600,0.0005759665211760001,0,0,23040,2
1677783022.9913998,0.2,846099.5000000002,800,3000,194474831872,201420382208,471720648704,499999834112,25000000000,162540.21988149005,4430483994371,3380543750532,0.000650160879525,0,0,23040,2
1677783023.992542,0.30000000000000004,886356.325,800,3000,194474545152,201420382208,471720648704,499999834112,25000000000,108851.66272827836,4430484003409,3380543755116,0.00043540665091300004,0,0,23040,2
1677783024.9910002,3.3,1195688.6500000004,800,3000,194396647424,201420382208,471720648704,499999834112,25000000000,28115.349734958643,4430484005426,3380543756608,0.000112461398939,0,0,23040,2
1677783025.9940553,8.4,1162848.1749999998,800,3000,194308431872,201420382208,471720648704,499999834112,25000000000,932622.748277562,4430484046560,3380543832408,0.0037304909931100004,0,0,23040,2
1677783026.9957166,8.7,1576401.25,800,3000,194194415616,201420382208,471720648704,499999834112,25000000000,107349.65993918032,4430484055815,3380543836594,0.000429398639756,0,0,23040,2
1677783028.016221,2.8,997197.65,800,3000,194106904576,201420382208,471720648704,499999834112,25000000000,113920.12763199641,4430484065497,3380543841444,0.00045568051052700004,0,0,23040,2
1677783028.9953086,10.8,1622849.9250000003,800,3000,193993433088,201420382208,471720648704,499999834112,25000000000,139615.70061006804,4430484075423,3380543848605,0.00055846280244,0,0,23040,2
1677783029.998858,9.3,1513765.0250000001,800,3000,193790693376,201420382208,471720648704,499999834112,25000000000,178550.26486942504,4430484088909,3380543857517,0.0007142010594770001,0,0,23040,2
1677783031.0202012,7.6,1046433.2499999995,800,3000,193638531072,201420382208,471720648704,499999834112,25000000000,829566.373102163,4430484179636,3380543872699,0.003318265492408,0,0,23040,2
1677783032.000884,2.7,1308517.625,800,3000,192933150720,201420382208,471720648704,499999834112,25000000000,1084566.7384983574,4430484306188,3380543879099,0.004338266953993,6,0,23040,206
1677783033.020605,3.5,974444.8999999998,800,3000,192770117632,201420382208,471720648704,499999834112,25000000000,6195826802.388669,4431272485222,3380545451927,24.783307209554675,3,0,23040,498
1677783034.003235,5.1,1149872.3999999997,800,3000,192801361920,201420382208,471720648704,499999834112,25000000000,8442499087.411248,4432307502912,3380547415862,33.76999634964499,13,1,23040,1010
1677783035.0246017,0.6000000000000001,801820.0499999999,800,3000,192811823104,201420382208,471720648704,499999834112,25000000000,1179494.22318707,4432307625033,3380547444328,0.004717976892748,0,0,23040,1074
1677783036.005822,0.4,859242.5249999999,800,3000,192810037248,201420382208,471720644608,499999834112,25000000000,115660.06769276226,4432307634221,3380547449326,0.000462640270771,0,0,23040,1074
1677783037.0066085,0.4,831287.2999999997,800,3000,192810409984,201420382208,471720644608,499999834112,25000000000,1545088.7214479311,4432307785636,3380547491199,0.006180354885791,0,0,23040,1074
1677783038.007425,2.8,924956.3500000001,800,3000,192573177856,201420382208,471720644608,499999834112,25000000000,21722453.79974934,4432310483536,3380547510823,0.08688981519899701,0,0,23040,1104
1677783039.008216,2.7,933453.0000000002,800,3000,192550957056,201420382208,471720644608,499999834112,25000000000,45148.295173861574,4432310486843,3380547513164,0.000180593180695,4,3,23040,1116
1677783040.028309,2.9,908945.5250000001,800,3000,192548028416,201420382208,471720644608,499999834112,25000000000,264477.794102297,4432310508909,3380547524822,0.0010579111764090002,0,0,23040,1116
1677783041.010512,2.6,930184.4249999998,800,3000,192549101568,201420382208,471720644608,499999834112,25000000000,17845.59798701737,4432310509842,3380547526080,7.138239194806947e-05,12,7,23040,1116
1677783042.0114772,2.9,955378.325,800,3000,192546357248,201420382208,471720644608,499999834112,25000000000,539751.076300415,4432310552378,3380547551078,0.0021590043052010003,0,0,23040,1116
1677783043.012529,2.7,932560.1499999999,800,3000,192545263616,201420382208,471720644608,499999834112,25000000000,92262.97032306313,4432310559867,3380547555134,0.000369051881292,0,0,23040,1164
1677783044.0322356,2.8,905898.5250000001,800,3000,192543801344,201420382208,471720644608,499999834112,25000000000,191160.84558003815,4432310575755,3380547563612,0.0007646433823200001,15,8,23040,1164
1677783045.0147314,2.7,932233.7000000001,800,3000,192544063488,201420382208,471720644608,499999834112,25000000000,101154.63245913622,4432310583746,3380547568044,0.00040461852983600003,100,58,23040,1164
1677783046.0155847,2.9,955439.7,800,3000,192542195712,201420382208,471720644608,499999834112,25000000000,201619.95767104515,4432310600280,3380547576734,0.000806479830684,100,59,23040,1164
1677783047.0167634,2.7,937702.9500000001,800,3000,192542785536,201420382208,471720644608,499999834112,25000000000,101472.39028702282,4432310608163,3380547581550,0.000405889561148,3,2,23040,1168
1677783048.0179558,2.9,964333.7500000001,800,3000,192542769152,201420382208,471720644608,499999834112,25000000000,281935.83907051285,4432310625765,3380547599232,0.001127743356282,100,55,23040,1168
1677783049.0187752,2.7,932947.2249999999,800,3000,192542220288,201420382208,471720644608,499999834112,25000000000,15467.325382866642,4432310626826,3380547600106,6.186930153146658e-05,100,61,23040,1220
1677783050.040235,2.9,905528.3000000002,800,3000,192541999104,201420382208,471720644608,499999834112,25000000000,160476.20976338565,4432310639098,3380547608324,0.000641904839053,33,19,23040,1220
1677783051.020463,2.7,935772.7750000004,800,3000,192542191616,201420382208,471720644608,499999834112,25000000000,198362.0244132497,4432310653707,3380547618020,0.0007934480976520001,100,63,23040,1220
1677783052.0214565,2.8,958555.1000000002,800,3000,192540770304,201420382208,471720644608,499999834112,25000000000,139653.2558562391,4432310663873,3380547625328,0.0005586130234240001,54,33,23040,1220
1677783053.022608,2.7,937519.45,800,3000,192540389376,201420382208,471720644608,499999834112,25000000000,290944.9589177197,4432310676357,3380547649254,0.0011637798356700002,14,9,23040,1220
1677783054.0238879,2.9,953193.2000000001,800,3000,192541052928,201420382208,471720644608,499999834112,25000000000,116874.42050141058,4432310685945,3380547654294,0.00046749768200500004,100,63,23040,1220
1677783055.0249965,2.7,933392.3500000001,800,3000,192539287552,201420382208,471720644608,499999834112,25000000000,217766.57387339798,4432310702712,3380547664778,0.0008710662954930001,0,0,23040,1222
1677783056.025993,2.8,951323.975,800,3000,192538828800,201420382208,471720644608,499999834112,25000000000,100571.77121265676,4432310710588,3380547669486,0.00040228708485000005,99,62,23040,1222
1677783057.0268016,2.8,931965.725,800,3000,192538075136,201420382208,471720644608,499999834112,25000000000,220229.94906299768,4432310728865,3380547678760,0.0008809197962510001,0,0,23040,1222
1677783058.0280888,2.9,955094.0750000002,800,3000,192538083328,201420382208,471720644608,499999834112,25000000000,70836.81729684219,4432310732919,3380547683572,0.00028334726918700004,100,62,23040,1222
1677783059.0270555,2.8,937259.025,800,3000,192538116096,201420382208,471720644608,499999834112,25000000000,92783.87414516094,4432310740536,3380547687541,0.00037113549658,20,12,23040,1222
1677783060.0300987,2.9,952242.4249999997,800,3000,192538906624,201420382208,471720644608,499999834112,25000000000,119619.97551168653,4432310749212,3380547693863,0.00047847990204600004,99,58,23040,1222
1677783061.031205,2.6,931887.6999999998,800,3000,192538771456,201420382208,471720644608,499999834112,25000000000,1430.4175830875572,4432310749391,3380547693863,5.721670332350229e-06,53,31,23040,1254
1677783062.0321898,2.8,953992.425,800,3000,192537636864,201420382208,471720644608,499999834112,25000000000,81375.85234116999,4432310756503,3380547696933,0.00032550340936400005,100,62,23040,1286
1677783063.0330768,2.6,936801.3999999999,800,3000,192538714112,201420382208,471720644608,499999834112,25000000000,315855.8620303266,4432310775982,3380547716971,0.001263423448121,100,63,23040,1286
1677783064.0521672,2.9,900343.5750000001,800,3000,192537976832,201420382208,471720644608,499999834112,25000000000,197509.4625810791,4432310792502,3380547725611,0.0007900378503240001,100,55,23040,1286
1677783065.035049,2.6,936443.7000000002,800,3000,192535912448,201420382208,471720644608,499999834112,25000000000,291265.95337543555,4432310814087,3380547739811,0.001165063813501,100,59,23040,1286
1677783066.0373576,2.8,954891.4000000004,800,3000,192532709376,201420382208,471720644608,499999834112,25000000000,25110.030804567188,4432310815441,3380547741603,0.000100440123218,88,56,23040,1286
1677783067.0570345,2.7,932262.7499999999,800,3000,192532348928,201420382208,471720644608,499999834112,25000000000,97215.10577611715,4432310823400,3380547746035,0.000388860423104,100,58,23040,1286
1677783068.037709,2.9,966937.9999999999,800,3000,192508391424,201420382208,471720644608,499999834112,25000000000,155631.65880774969,4432310834296,3380547754217,0.0006225266352300001,100,55,23040,1286
1677783069.0391624,2.7,996026.825,800,3000,192531849216,201420382208,471720644608,499999834112,25000000000,187894.9135968003,4432310847475,3380547764559,0.000751579654387,100,55,23040,1286
1677783070.0393193,2.7,930129.6,800,3000,192530132992,201420382208,471720644608,499999834112,25000000000,163942.2808292423,4432310860629,3380547771901,0.000655769123316,100,62,23040,1286
1677783071.0601764,2.9,901395.925,800,3000,192529068032,201420382208,471720644608,499999834112,25000000000,152460.12458822664,4432310872110,3380547779875,0.000609840498352,42,26,23040,1320
1677783072.042219,2.7,926490.5250000001,800,3000,192528424960,201420382208,471720644608,499999834112,25000000000,98032.41203548932,4432310880276,3380547783743,0.00039212964814100003,100,59,23040,1354
1677783073.0429153,2.9,955064.8500000001,800,3000,192527990784,201420382208,471720644608,499999834112,25000000000,144459.3954910685,4432310890850,3380547791239,0.0005778375819640001,100,63,23040,1354
1677783074.0439048,2.7,927980.6749999998,800,3000,192526925824,201420382208,471720644608,499999834112,25000000000,144640.88693981167,4432310896462,3380547803725,0.0005785635477590001,100,62,23040,1354
1677783075.040304,3.8,1083941.075,800,3000,193909395456,201420382208,471720644608,499999834112,25000000000,69811.37931389277,4432310902481,3380547806401,0.000279245517255,24,4,23040,2
1677783076.0645459,2.8,821253.125,800,3000,194410700800,201420382208,471720644608,499999834112,25000000000,185956.0671008398,4432310918521,3380547814169,0.000743824268403,0,0,23040,2
1677783077.0474377,0.4,850267.2999999998,800,3000,194410872832,201420382208,471720644608,499999834112,25000000000,109269.40301711539,4432310927098,3380547819017,0.00043707761206800003,0,0,23040,2
1677783078.047019,7.3,1362438.8249999995,800,3000,194383323136,201420382208,471720644608,499999834112,25000000000,101930.67460456028,4432310935418,3380547823433,0.00040772269841800004,0,0,23040,2
1677783079.0680296,2.7,1006677.55,800,3000,194379014144,201420382208,471720644608,499999834112,25000000000,24148.622060984548,4432310937437,3380547824496,9.659448824393819e-05,0,0,23040,2
1677783080.050839,0.2,901161.875,800,3000,194378989568,201420382208,471720644608,499999834112,25000000000,272817.9297690724,4432310954477,3380547840972,0.0010912717190760001,0,0,23040,2
