unix,cpu_freq_current,cpu_freq_min,cpu_freq_max,memory_available,memory_total,disk_free,disk_total,net_speed,net_speed_used,net_byte_recv,net_byte_sent,gpu_util,gpu_memory_util,gpu_memory_total,gpu_memory_used
1668549862.074607,926843.0749999997,800,3000,189757861888,201420431360,468217958400,499999834112,25000000000,0,286080757245,162764432098,0,0,23040,2
1668549863.1782644,968541.225,800,3000,189756198912,201420431360,468217958400,499999834112,25000000000,272794.7794943914,286080786679,162764440298,0,0,23040,2
1668549864.15832,1015620.6500000001,800,3000,189754925056,201420431360,468217958400,499999834112,25000000000,32202.255613526908,286080788880,162764442042,0,0,23040,2
1668549865.1783843,976563.4000000004,800,3000,189753118720,201420431360,468217958400,499999834112,25000000000,270790.7583794169,286080790578,162764474872,0,0,23040,2
1668549866.159202,1043757.9,800,3000,189753720832,201420431360,468217958400,499999834112,25000000000,55529.171971351396,286080793714,162764478544,0,0,23040,2
1668549867.1599877,999935.4500000002,800,3000,189754109952,201420431360,468217958400,499999834112,25000000000,4500.464483625044,286080793989,162764478832,0,0,23040,2
1668549868.1625314,1071292.05,800,3000,189745876992,201420431360,468217958400,499999834112,25000000000,657701373.0279458,286163021852,162764672764,0,0,23040,2
1668549869.1824303,940370.5,800,3000,189732179968,201420431360,468217958400,499999834112,25000000000,1772989922.0019572,286388634679,162765093744,0,0,23040,2
1668549870.1638868,1098770.575,800,3000,189687672832,201420431360,468217958400,499999834112,25000000000,1427385065.0128868,286563452518,162765390452,0,0,23040,2
1668549871.164112,1006646.9250000003,800,3000,189685264384,201420431360,468217958400,499999834112,25000000000,2383824934.9946322,286860953969,162765934254,0,0,23040,2
1668549872.186383,907753.2249999999,800,3000,189665095680,201420431360,468217958400,499999834112,25000000000,32061058.792096023,286864853745,162766131364,0,0,23040,2
1668549873.1671538,1031994.275,800,3000,189659283456,201420431360,468217958400,499999834112,25000000000,27939517.840540193,286868062426,162766347966,0,0,23040,2
1668549874.167674,975123.3499999999,800,3000,189651599360,201420431360,468217958400,499999834112,25000000000,17218722.315461077,286870003732,162766560120,0,0,23040,2
1668549875.1677125,1011885.2499999999,800,3000,189650866176,201420431360,468217958400,499999834112,25000000000,17306895.668038715,286871938715,162766788582,0,0,23040,2
1668549876.167937,1008129.7000000002,800,3000,189646794752,201420431360,468217958400,499999834112,25000000000,215229589.52159467,286898683283,162766953755,0,0,23040,2
1668549877.170327,1009430.6750000002,800,3000,189652971520,201420431360,468217958400,499999834112,25000000000,20197529.76532754,286901010111,162767157652,0,0,23040,2
1668549878.1891057,992325.4250000003,800,3000,189637808128,201420431360,468217958400,499999834112,25000000000,26571538.3696398,286904059606,162767491972,0,0,23040,2
1668549879.1709332,1128572.9749999999,800,3000,189618511872,201420431360,468217958400,499999834112,25000000000,2591874852.2785964,287063156687,162926491641,0,0,23040,2
1668549880.173919,1022985.9249999999,800,3000,189619761152,201420431360,468217958400,499999834112,25000000000,5710.948729767114,287063157115,162926491929,0,0,23040,2
1668549881.1743608,1049197.875,800,3000,189620654080,201420431360,468217958400,499999834112,25000000000,60285.36655039361,287063160599,162926495984,0,0,23040,2
1668549882.174721,1039815.2,800,3000,189619429376,201420431360,468217958400,499999834112,25000000000,3254.8274468726577,287063160784,162926496206,0,0,23040,2
1668549883.1763065,1061459.7750000006,800,3000,189620760576,201420431360,468217958400,499999834112,25000000000,10766.929210841157,287063161376,162926496962,0,0,23040,2
1668549884.1779761,987927.4999999998,800,3000,189565075456,201420431360,468217958400,499999834112,25000000000,501155.2484900532,287063182293,162926538794,0,0,23040,2
1668549885.1789203,1779026.1999999997,800,3000,189405753344,201420431360,468217958400,499999834112,25000000000,931416.6145778351,287063222240,162926615384,0,0,23040,2
1668549886.1799173,1810740.5749999997,800,3000,189145542656,201420431360,468217958400,499999834112,25000000000,3252.7567851839926,287063222425,162926615606,0,0,23040,2
1668549887.1737266,2446221.7499999995,800,3000,188577980416,201420431360,468217954304,499999834112,25000000000,248453536.39519253,287088387767,162932314691,0,0,23040,2
1668549888.1748557,2498876.8749999995,800,3000,188400230400,201420431360,468217954304,499999834112,25000000000,19169738.48230453,287089586662,162933514719,0,0,23040,2
1668549889.1756952,2499442.8749999995,800,3000,188392312832,201420431360,468217954304,499999834112,25000000000,14386147.2348409,287090486322,162934414837,0,0,23040,2
1668549890.1765645,2489331.049999999,800,3000,188297723904,201420431360,468217954304,499999834112,25000000000,2509975327.357385,287394558792,162944362015,0,0,23040,346
1668549891.1777008,2495089.6750000003,800,3000,188034781184,201420431360,468217954304,499999834112,25000000000,3942331804.748278,287868695712,162963576531,3,0,23040,444
1668549892.1787596,2321306.9,800,3000,187259277312,201420431360,468217954304,499999834112,25000000000,2363101100.595146,288141868623,162986104019,5,0,23040,674
1668549893.1837292,2372715.3250000007,800,3000,186274070528,201420431360,468217954304,499999834112,25000000000,1642887678.5467727,288325687519,163008666644,6,0,23040,968
