unix,cpu_freq_current,cpu_freq_min,cpu_freq_max,memory_available,memory_total,disk_free,disk_total,net_speed,net_speed_used,net_byte_recv,net_byte_sent,gpu_util,gpu_memory_util,gpu_memory_total,gpu_memory_used
1668550130.2550256,925646.625,800,3000,189763948544,201420431360,468217917440,499999834112,25000000000,0,291345158808,163416154096,0,0,23040,2
1668550131.406331,947317.2750000001,800,3000,189762412544,201420431360,468217917440,499999834112,25000000000,370605.38954736304,291345196069,163416170170,0,0,23040,2
1668550132.386087,1041949.6750000003,800,3000,189761777664,201420431360,468217917440,499999834112,25000000000,38246.261976340065,291345198679,163416172244,0,0,23040,2
1668550133.3834295,1016943.9249999998,800,3000,189762052096,201420431360,468217917440,499999834112,25000000000,19852.75698407758,291345199872,163416173526,0,0,23040,2
1668550134.4064007,955668.8750000001,800,3000,189761794048,201420431360,468217917440,499999834112,25000000000,26628.316852543623,291345201747,163416175056,0,0,23040,2
1668550135.3890603,1000452.2249999997,800,3000,189762527232,201420431360,468217917440,499999834112,25000000000,7839.948004317769,291345202268,163416175498,0,0,23040,2
1668550136.3902547,1037815.5499999998,800,3000,189762412544,201420431360,468217917440,499999834112,25000000000,16907.804015608264,291345203344,163416176538,0,0,23040,2
1668550137.3900902,1021576.225,800,3000,189762727936,201420431360,468217917440,499999834112,25000000000,63090.37892376361,291345207163,163416180604,0,0,23040,2
1668550138.3910875,1066682.3500000003,800,3000,189763235840,201420431360,468217917440,499999834112,25000000000,25526.542253911946,291345208693,163416182268,0,0,23040,2
1668550139.3920743,1006035.225,800,3000,189763510272,201420431360,468217917440,499999834112,25000000000,13434.742401409285,291345209712,163416182930,0,0,23040,2
1668550140.393159,1047358.3750000002,800,3000,189763641344,201420431360,468217917440,499999834112,25000000000,20545.716811710245,291345210973,163416184240,0,0,23040,2
1668550141.3941517,989532.7750000004,800,3000,189763821568,201420431360,468217917440,499999834112,25000000000,7192.859109560916,291345211392,163416184721,0,0,23040,2
1668550142.395696,1058217.2750000004,800,3000,189765259264,201420431360,468217917440,499999834112,25000000000,59460.17938283381,291345214844,163416188713,0,0,23040,2
1668550143.4160092,925575.5250000001,800,3000,189752410112,201420431360,468217917440,499999834112,25000000000,1412378754.979994,291524927731,163416609423,0,0,23040,2
1668550144.3980396,1067533.5250000001,800,3000,189731909632,201420431360,468217917440,499999834112,25000000000,2168586489.801332,291790663263,163417076121,0,0,23040,2
1668550145.4183092,1036254.45,800,3000,189703057408,201420431360,468217917440,499999834112,25000000000,1887348241.0572107,292030943349,163417496547,0,0,23040,2
1668550146.4000711,1600711.4,800,3000,189611626496,201420431360,468217917440,499999834112,25000000000,783169172.3282678,292126723301,163417827305,0,0,23040,2
1668550147.4011524,1002601.6499999999,800,3000,189672034304,201420431360,468217917440,499999834112,25000000000,42524533.27304238,292131768391,163418103529,0,0,23040,2
1668550148.4001892,998326.0250000005,800,3000,189666418688,201420431360,468217917440,499999834112,25000000000,18570014.84367381,292133902165,163418288771,0,0,23040,2
1668550149.4023867,1025170.0000000001,800,3000,189664284672,201420431360,468217917440,499999834112,25000000000,20632332.366196815,292136204688,163418570957,0,0,23040,2
1668550150.4040265,977289.8500000003,800,3000,189665116160,201420431360,468217917440,499999834112,25000000000,146501400.7054586,292154392657,163418725693,0,0,23040,2
1668550151.4047415,996837.4249999999,800,3000,189661372416,201420431360,468217917440,499999834112,25000000000,96491638.80714068,292166173458,163419014971,0,0,23040,2
1668550152.4060216,1057478.7,800,3000,189632258048,201420431360,468217917440,499999834112,25000000000,1768114882.3297358,292277900343,163528585360,0,0,23040,2
1668550153.4072037,1123522.8,800,3000,189630967808,201420431360,468217917440,499999834112,25000000000,794876417.0293008,292327638470,163578324236,0,0,23040,2
1668550154.4081419,1019883.3249999998,800,3000,189631217664,201420431360,468217917440,499999834112,25000000000,5187.133550043244,292327638839,163578324516,0,0,23040,2
1668550155.4091449,1048943.5749999997,800,3000,189630996480,201420431360,468217917440,499999834112,25000000000,11564.400594401206,292327639506,163578325296,0,0,23040,2
1668550156.4095938,1011436.9999999999,800,3000,189631975424,201420431360,468217917440,499999834112,25000000000,4382.032720658064,292327639730,163578325620,0,0,23040,2
1668550157.4303644,969747.075,800,3000,189632684032,201420431360,468217913344,499999834112,25000000000,11967.429901560743,292327640429,163578326448,0,0,23040,2
