unix,cpu_freq_current,cpu_freq_min,cpu_freq_max,memory_available,memory_total,disk_free,disk_total,net_speed,net_speed_used,net_byte_recv,net_byte_sent,net_util,gpu_util,gpu_memory_util,gpu_memory_total,gpu_memory_used
1668556981.0928414,852276.5000000001,800,3000,196149960704,201420431360,457584177152,499999834112,25000000000,0,846464634465,36702864003113,0,0,0,23040,0
1668556982.1848924,800519.2,800,3000,196150710272,201420431360,457584177152,499999834112,25000000000,70612.08490972611,846464640262,36702864006955,0.00028244833963800005,0,0,23040,0
1668556983.1648233,861373.5,800,3000,196151705600,201420431360,457584177152,499999834112,25000000000,82675.2190841745,846464644607,36702864012737,0.00033070087633600004,0,0,23040,0
1668556984.1660838,824967.575,800,3000,196152246272,201420431360,457584177152,499999834112,25000000000,20829.74371170907,846464645690,36702864014261,8.33189748468363e-05,0,0,23040,0
1668556985.166923,865427.0999999999,800,3000,196151947264,201420431360,457584177152,499999834112,25000000000,313305.06392645335,846464651472,36702864047675,0.0012532202557050001,0,0,23040,0
1668556986.1636333,1742667.4249999996,800,3000,196067135488,201420431360,457584177152,499999834112,25000000000,17280.848800599735,846464652331,36702864048969,6.912339520239896e-05,0,0,23040,0
1668556987.169506,1012313.4750000002,800,3000,195972968448,201420431360,457584177152,499999834112,25000000000,172345637.21940887,846480834482,36702869536540,0.6893825488776351,0,0,23040,2
1668556988.1702952,832648.425,800,3000,195966259200,201420431360,457584177152,499999834112,25000000000,282637104.5489671,846507453800,36702878274741,1.130548418195868,0,0,23040,2
1668556989.1707695,852163.6000000001,800,3000,195949961216,201420431360,457584177152,499999834112,25000000000,286879317.6523756,846534292354,36702887313107,1.147517270609502,0,0,23040,2
1668556990.172553,823425.9249999999,800,3000,195938639872,201420431360,457584177152,499999834112,25000000000,291962189.49721223,846561721847,36702896443981,1.167848757988849,0,0,23040,2
1668556991.1935012,870379.7000000001,800,3000,195860824064,201420431360,457584177152,499999834112,25000000000,276009795.4375866,846588152012,36702905237778,1.104039181750346,0,0,23040,2
1668556992.1740444,873063.025,800,3000,195916562432,201420431360,457584177152,499999834112,25000000000,320952154.22373253,846617678970,36702915049249,1.2838086168949299,0,0,23040,2
