unix,cpu_freq_current,cpu_freq_min,cpu_freq_max,memory_available,memory_total,disk_free,disk_total,net_speed,net_speed_used,net_byte_recv,net_byte_sent,net_util,gpu_util,gpu_memory_util,gpu_memory_total,gpu_memory_used
1668552307.1854627,827534.2999999999,800,3000,195977289728,201420431360,457592721408,499999834112,25000000000,0,841909789320,36699472167433,0,0,0,23040,0
1668552308.489725,800537.3499999999,800,3000,195977281536,201420431360,457592721408,499999834112,25000000000,102942.47540496041,841909797593,36699472175943,0.00041176990161900004,0,0,23040,0
1668552309.4696486,861752.0000000001,800,3000,195977490432,201420431360,457592721408,499999834112,25000000000,60682.28877712618,841909801506,36699472179463,0.00024272915510800002,0,0,23040,0
1668552310.4705825,824366.2499999998,800,3000,195977547776,201420431360,457592721408,499999834112,25000000000,4875.446890480515,841909801876,36699472179703,1.9501787561922062e-05,0,0,23040,0
1668552311.4899457,800525.6000000001,800,3000,195976654848,201420431360,457592721408,499999834112,25000000000,64267.57632184537,841909805741,36699472184027,0.00025707030528700003,0,0,23040,0
1668552312.472835,833740.7749999999,800,3000,195975913472,201420431360,457592721408,499999834112,25000000000,1953.4242336697039,841909805807,36699472184201,7.813696934678816e-06,0,0,23040,0
1668552313.493816,801297.825,800,3000,195975532544,201420431360,457592721408,499999834112,25000000000,27479.458026333486,841909807600,36699472185915,0.00010991783210500001,0,0,23040,0
1668552314.474221,875354.2999999999,800,3000,195941081088,201420431360,457592721408,499999834112,25000000000,79771.1074932936,841909810364,36699472192927,0.00031908442997300004,0,0,23040,0
1668552315.4724405,1047467.1750000003,800,3000,195804205056,201420431360,457592721408,499999834112,25000000000,1493016594.9008405,842002968317,36699565329757,5.972066379603362,0,0,23040,2
1668552316.4977553,801825.4249999999,800,3000,195802718208,201420431360,457592721408,499999834112,25000000000,1025392217.0125339,842068677360,36699631039442,4.101568868050136,0,0,23040,2
1668552317.4779074,865686.65,800,3000,195802263552,201420431360,457592721408,499999834112,25000000000,15728.170685098914,842068678283,36699631040446,6.291268274039567e-05,0,0,23040,2
1668552318.497747,800560.225,800,3000,195802886144,201420431360,457592721408,499999834112,25000000000,10378.103356690342,842068678923,36699631041129,4.151241342676137e-05,0,0,23040,2
