unix,cpu_freq_current,cpu_freq_min,cpu_freq_max,memory_available,memory_total,disk_free,disk_total,net_speed,net_speed_used,net_byte_recv,net_byte_sent,net_util,gpu_util,gpu_memory_util,gpu_memory_total,gpu_memory_used
1668551065.6982956,803217.675,800,3000,195953852416,201420431360,457592758272,499999834112,25000000000,0,840317168946,36697878387676,0,0,0,23040,0
1668551066.793656,800446.9249999999,800,3000,195954610176,201420431360,457592758272,499999834112,25000000000,63628.36608257015,840317173748,36697878391586,0.00025451346433,0,0,23040,0
1668551067.7734594,862933.4999999999,800,3000,195954675712,201420431360,457592758272,499999834112,25000000000,161036.40003669463,840317183039,36697878402018,0.000644145600146,0,0,23040,0
1668551068.7941048,800514.7249999999,800,3000,195954769920,201420431360,457592758272,499999834112,25000000000,18827.30317127462,840317184307,36697878403152,7.530921268509849e-05,0,0,23040,0
1668551069.771809,905365.925,800,3000,195953221632,201420431360,457592758272,499999834112,25000000000,1295565.558413271,840317239290,36697878506504,0.005182262233653001,0,0,23040,0
1668551070.7770865,830752.1499999999,800,3000,195953295360,201420431360,457592758272,499999834112,25000000000,103581.36022174162,840317244200,36697878514610,0.000414325440886,0,0,23040,0
1668551071.778386,836464.6250000002,800,3000,195929939968,201420431360,457592758272,499999834112,25000000000,45548.80387832147,840317247504,36697878517007,0.000182195215513,0,0,23040,0
1668551072.7787106,863094.0250000001,800,3000,195952705536,201420431360,457592758272,499999834112,25000000000,103678.3576496217,840317254000,36697878523475,0.00041471343059800006,0,0,23040,0
1668551073.8017828,800477.4749999999,800,3000,195953303552,201420431360,457592758272,499999834112,25000000000,19243.99781127158,840317255375,36697878524561,7.697599124508634e-05,0,0,23040,0
1668551074.7748158,1710371.8,800,3000,195856031744,201420431360,457592758272,499999834112,25000000000,45170.104402729005,840317258773,36697878526657,0.00018068041761,0,0,23040,0
1668551075.7823493,1044572.8749999999,800,3000,195784237056,201420431360,457592758272,499999834112,25000000000,2522340564.577734,840476093907,36698037359366,10.089362258310935,0,0,23040,2
1668551076.7829375,918912.8,800,3000,195784036352,201420431360,457592758272,499999834112,25000000000,118170.4946398076,840476097197,36698037370856,0.000472681978559,0,0,23040,2
1668551077.805738,805390.15,800,3000,195783790592,201420431360,457592758272,499999834112,25000000000,69159.14077599293,840476101446,36698037375449,0.000276636563103,0,0,23040,2
1668551078.7852883,854471.675,800,3000,195785056256,201420431360,457592758272,499999834112,25000000000,30364.952293422564,840476103614,36698037376999,0.00012145980917300001,0,0,23040,2
1668551079.805925,800489.3750000002,800,3000,195785330688,201420431360,457592758272,499999834112,25000000000,15198.358191578327,840476104591,36698037377961,6.07934327663133e-05,0,0,23040,2
1668551080.7862504,963629.7749999998,800,3000,195727568896,201420431360,457592758272,499999834112,25000000000,16419.036992954152,840476105529,36698037379035,6.567614797181663e-05,0,0,23040,2
