unix,cpu_util,cpu_freq_current,cpu_freq_min,cpu_freq_max,memory_available,memory_total,disk_free,disk_total,net_speed,net_speed_used,net_byte_recv,net_byte_sent,net_util,gpu_util,gpu_memory_util,gpu_memory_total,gpu_memory_used
1668655184.9053419,10.3,855769.325,800,3000,196131188736,201420431360,457564508160,499999834112,25000000000,0,895767594804,36732397059328,0,0,0,23040,0
1668655186.001881,0.2,800436.525,800,3000,196130512896,201420431360,457564508160,499999834112,25000000000,53200.1131809799,895767599072,36732397062352,0.000212800452723,0,0,23040,0
1668655186.9836726,0.4,854998.925,800,3000,196129890304,201420431360,457564508160,499999834112,25000000000,34410.55654280922,895767601597,36732397064050,0.000137642226171,0,0,23040,0
1668655188.0058296,0.2,800534.5249999998,800,3000,196134121472,201420431360,457564508160,499999834112,25000000000,220521.90630748894,895767614229,36732397079594,0.000882087625229,0,0,23040,0
1668655188.9859345,0.4,856128.4250000002,800,3000,196133175296,201420431360,457564508160,499999834112,25000000000,10472.348170625208,895767614922,36732397080184,4.188939268250083e-05,0,0,23040,0
1668655189.986574,0.2,843093.3000000003,800,3000,196133203968,201420431360,457564508160,499999834112,25000000000,8186.765066168912,895767615490,36732397080640,3.2747060264675645e-05,0,0,23040,0
1668655190.987368,9.6,1718458.3749999998,800,3000,196046680064,201420431360,457564508160,499999834112,25000000000,61559.11145966717,895767620819,36732397083012,0.00024623644583800003,0,0,23040,0
1668655191.9882777,8.9,1469798.275,800,3000,195893891072,201420431360,457564508160,499999834112,25000000000,89039.01306275501,895767628421,36732397086550,0.000356156052251,0,0,23040,2
1668655192.9899285,2.4,1260666.3250000002,800,3000,195837739008,201420431360,457564508160,499999834112,25000000000,2537161891.1652155,895926462701,36732555921053,10.148647564660862,0,0,23040,2
1668655193.9906225,0.2,843633.925,800,3000,195837358080,201420431360,457564508160,499999834112,25000000000,90609.11396914383,895926466389,36732555928699,0.00036243645587600003,0,0,23040,2
1668655195.0139005,0.30000000000000004,801813.0999999999,800,3000,195838550016,201420431360,457564508160,499999834112,25000000000,9967.965714330981,895926467082,36732555929281,3.987186285732392e-05,0,0,23040,2
1668655195.993296,0.2,832826,800,3000,195839500288,201420431360,457564508160,499999834112,25000000000,12750.723694594928,895926467905,36732555930019,5.100289477837972e-05,0,0,23040,2
1668655197.0137882,0.30000000000000004,800491.4999999999,800,3000,195838328832,201420431360,457564508160,499999834112,25000000000,11555.207053785347,895926468723,36732555930675,4.6220828215141394e-05,0,0,23040,2
1668655197.9945226,0.9,875847.0999999997,800,3000,195814514688,201420431360,457564508160,499999834112,25000000000,55240.239208576255,895926472069,36732555934101,0.00022096095683400002,0,0,23040,2
1668655198.9954038,9.7,1460339.5749999997,800,3000,195663724544,201420431360,457564508160,499999834112,25000000000,93629.49415150071,895926474752,36732555943132,0.00037451797660600005,0,0,23040,2
1668655199.9948838,26.8,2027782.7250000003,800,3000,195251085312,201420431360,457564508160,499999834112,25000000000,25645.33534154413,895926476464,36732555944624,0.00010258134136600001,0,0,23040,2
1668655200.9972649,7.7,1235484.9749999999,800,3000,193792393216,201420431360,457564508160,499999834112,25000000000,29122.656440289218,895926477993,36732555946744,0.00011649062576100001,6,0,23040,206
1668655201.9982443,8.5,1110943.4000000004,800,3000,190867361792,201420431360,457564508160,499999834112,25000000000,10661.557819480318,895926478805,36732555947266,4.2646231277921285e-05,3,0,23040,1168
1668655203.0159807,11.1,1196077.925,800,3000,188849819648,201420431360,457564508160,499999834112,25000000000,2916928.0946349893,895926664197,36732556132957,0.011667712378539,19,1,23040,2642
1668655203.9996736,32.8,2229568.9499999993,800,3000,188100186112,201420431360,457564508160,499999834112,25000000000,86375389.45696643,895931973442,36732561444569,0.345501557827865,81,63,23040,3906
1668655204.9941013,94.2,2497871.575,800,3000,189039898624,201420431360,457564508160,499999834112,25000000000,145318682.0575545,895940996767,36732570484859,0.5812747282302181,70,51,23040,5140
1668655205.9950516,99.1,2496194.825,800,3000,188916346880,201420431360,457564508160,499999834112,25000000000,91621712.54637864,895946727912,36732576217312,0.366486850185514,5,4,23040,5210
1668655206.996033,100,2499829.7749999994,800,3000,188915339264,201420431360,457564508160,499999834112,25000000000,46084863.50073408,895949611183,36732579100302,0.18433945400293603,16,13,23040,5210
