unix,cpu_util,cpu_freq_current,cpu_freq_min,cpu_freq_max,memory_available,memory_total,disk_free,disk_total,net_speed,net_speed_used,net_byte_recv,net_byte_sent,net_util,gpu_util,gpu_memory_util,gpu_memory_total,gpu_memory_used
1677783367.6363866,0.2,821485.1249999998,800,3000,194460905472,201420382208,471720636416,499999834112,25000000000,239006.52490963432,4462098829496,3380602523295,0.0009560260996380001,0,0,23040,2
1677783368.6160247,0.4,871969.1499999999,800,3000,194459906048,201420382208,471720636416,499999834112,25000000000,265077.4812528901,4462098851066,3380602534185,0.001060309925011,0,0,23040,2
1677783369.6173458,0.2,828002.8499999999,800,3000,194460184576,201420382208,471720636416,499999834112,25000000000,206263.50994953385,4462098868237,3380602542831,0.000825054039798,0,0,23040,2
1677783370.6180334,0.4,845160.975,800,3000,194460065792,201420382208,471720636416,499999834112,25000000000,285339.8005864879,4462098891377,3380602555383,0.0011413592023450001,0,0,23040,2
1677783371.614096,1.4,875319.9750000001,800,3000,194399023104,201420382208,471720636416,499999834112,25000000000,6674.27986238654,4462098891806,3380602555785,2.6697119449546166e-05,0,0,23040,2
1677783372.6157906,9.8,1598740.2,800,3000,194297417728,201420382208,471720636416,499999834112,25000000000,288527.03921062726,4462098915715,3380602568003,0.0011541081568420002,0,0,23040,2
1677783373.6142251,9.2,1511801.9750000003,800,3000,194184962048,201420382208,471720636416,499999834112,25000000000,1440230.6182249223,4462099046690,3380602616775,0.005760922472899,0,0,23040,2
1677783374.6150825,2.9,1199664.35,800,3000,194091077632,201420382208,471720636416,499999834112,25000000000,188957.9962552705,4462099061954,3380602625151,0.0007558319850210001,0,0,23040,2
1677783375.6172075,8.6,1475188.25,800,3000,193987956736,201420382208,471720636416,499999834112,25000000000,7496.070663970002,4462099062617,3380602625427,2.9984282655880004e-05,0,0,23040,2
1677783376.6212626,5.2,1076230.55,800,3000,193801302016,201420382208,471720636416,499999834112,25000000000,281896.9015261752,4462099085271,3380602638153,0.001127587606104,0,0,23040,2
1677783377.6438508,16.1,1486171.7999999996,800,3000,193625546752,201420382208,471720636416,499999834112,25000000000,243609.2916811804,4462099104204,3380602650359,0.000974437166724,0,0,23040,2
1677783378.6258426,3.5,1116327.7,800,3000,193095557120,201420382208,471720636416,499999834112,25000000000,4638328944.261872,4462667352222,3380603752446,18.553315777047487,4,0,23040,362
1677783379.6256828,2.7,999901.5500000003,800,3000,192747786240,201420382208,471720636416,499999834112,25000000000,852133024.1110255,4462773658173,3380603946108,3.408532096444101,3,0,23040,532
