unix,cpu_util,cpu_freq_current,cpu_freq_min,cpu_freq_max,memory_available,memory_total,disk_free,disk_total,net_speed,net_speed_used,net_byte_recv,net_byte_sent,net_util,gpu_util,gpu_memory_util,gpu_memory_total,gpu_memory_used
1677783419.1562586,0.2,812501.9250000002,800,3000,194364059648,201420382208,471720636416,499999834112,25000000000,433219.2957148694,4465428867273,3380608255857,0.0017328771828590001,0,0,23040,2
1677783420.1378338,0.4,872224.6749999997,800,3000,194365100032,201420382208,471720636416,499999834112,25000000000,163736.80968174836,4465428879921,3380608263299,0.000654947238726,0,0,23040,2
1677783421.138727,0.2,831533.15,800,3000,194365599744,201420382208,471720636416,499999834112,25000000000,357928.328483939,4465428908126,3380608279875,0.0014317133139350002,0,0,23040,2
1677783422.1605155,0.4,800542.8750000001,800,3000,194365358080,201420382208,471720636416,499999834112,25000000000,191569.95933818855,4465428918376,3380608294093,0.000766279837352,0,0,23040,2
1677783423.1414855,1.5,867962.9250000002,800,3000,194307366912,201420382208,471720636416,499999834112,25000000000,301815.5788810559,4465428942833,3380608306645,0.0012072623155240001,0,0,23040,2
1677783424.1396186,8.8,1463464.325,800,3000,194208915456,201420382208,471720636416,499999834112,25000000000,163360.96510428586,4465428954157,3380608315703,0.0006534438604170001,0,0,23040,2
1677783425.13862,10,1596516.075,800,3000,194096037888,201420382208,471720636416,499999834112,25000000000,959173.9610163444,4465428998806,3380608390831,0.0038366958440650004,0,0,23040,2
1677783426.162037,3,1113368.5,800,3000,194008965120,201420382208,471720636416,499999834112,25000000000,204350.72000656024,4465429013308,3380608402471,0.000817402880026,0,0,23040,2
1677783427.14411,9.5,1581426.6000000003,800,3000,193900511232,201420382208,471720636416,499999834112,25000000000,550712.5867535074,4465429056405,3380608426979,0.002202850347014,0,0,23040,2
1677783428.1454983,4.2,1028050.8249999998,800,3000,193719721984,201420382208,471720636416,499999834112,25000000000,120217.10122955806,4465429066319,3380608432113,0.000480868404918,0,0,23040,2
1677783429.1419551,19.7,2263223.225,800,3000,193555726336,201420382208,471720636416,499999834112,25000000000,204893.96770622305,4465429083756,3380608440197,0.000819575870824,0,0,23040,2
1677783430.147027,3.9,1223363.875,800,3000,193286221824,201420382208,471720636416,499999834112,25000000000,3966245349.7497153,4465926528006,3380609291155,15.864981398998863,0,0,23040,2
1677783431.149087,3.3,952818.3750000001,800,3000,192477806592,201420382208,471720636416,499999834112,25000000000,2407238449.597052,4466227585601,3380609758211,9.628953798388208,1,0,23040,512
1677783432.1439066,10,1415297.8500000003,800,3000,192588349440,201420382208,471720636416,499999834112,25000000000,6057403395.510372,4466979697415,3380610899381,24.22961358204149,4,0,23040,938
1677783433.1695204,5.9,1151225.125,800,3000,192554721280,201420382208,471720636416,499999834112,25000000000,5352803678.554184,4467664597620,3380612237831,21.411214714216737,2,0,23040,1260
1677783434.1517851,4.7,1081775.85,800,3000,192488026112,201420382208,471720636416,499999834112,25000000000,6303911383.246589,4468437453118,3380613396081,25.215645532986354,2,0,23040,1614
1677783435.1717205,3.8,908446.725,800,3000,192393216000,201420382208,471720636416,499999834112,25000000000,6274884051.9084015,4469236141427,3380614704795,25.099536207633605,4,0,23040,2018
1677783436.1544378,4.1,1006711.775,800,3000,192306417664,201420382208,471720636416,499999834112,25000000000,5951993348.557651,4469966173499,3380615813559,23.807973394230604,4,0,23040,2340
1677783437.1551301,3.9,963065.225,800,3000,192192696320,201420382208,471720636416,499999834112,25000000000,5942607635.288891,4470708541850,3380616785471,23.770430541155562,2,0,23040,2714
1677783438.173847,4.1,1030322.4499999998,800,3000,192105697280,201420382208,471720636416,499999834112,25000000000,6058688631.11431,4471478845042,3380617993275,24.23475452445724,3,0,23040,3066
1677783439.1571975,3.5,1006717.9749999997,800,3000,192036995072,201420382208,471720636416,499999834112,25000000000,5459098162.982251,4472148885213,3380618978978,21.836392651929003,2,0,23040,3398
1677783440.1586013,3.7,1045520.05,800,3000,192030191616,201420382208,471720636416,499999834112,25000000000,5279515930.166392,4472808775919,3380619954192,21.11806372066557,4,0,23040,3712
1677783441.1759744,3.6,1096194.0500000003,800,3000,191951278080,201420382208,471720636416,499999834112,25000000000,5572920105.191841,4473516579484,3380620867992,22.291680420767364,2,0,23040,4036
1677783442.1596832,3.9,1020808.6250000002,800,3000,191870676992,201420382208,471720636416,499999834112,25000000000,5644733894.664325,4474209691378,3380621852940,22.5789355786573,4,0,23040,4368
1677783443.1615763,4,1043525.0249999997,800,3000,191770787840,201420382208,471720636416,499999834112,25000000000,6123192506.116424,4474975352523,3380623039792,24.492770024465692,2,0,23040,4720
1677783444.1840281,3.8,919938.6250000003,800,3000,191713067008,201420382208,471720636416,499999834112,25000000000,5521347650.399346,4475680013873,3380624042476,22.085390601597386,4,0,23040,5094
1677783445.163997,3.7,1023555.275,800,3000,191627673600,201420382208,471720636416,499999834112,25000000000,5631335680.778098,4476368885366,3380624987632,22.52534272311239,4,0,23040,5408
1677783446.1589935,4,1003275.8749999999,800,3000,191549730816,201420382208,471720636416,499999834112,25000000000,6122358914.799959,4477129246064,3380626092682,24.489435659199838,2,0,23040,5780
1677783447.1864119,4.2,836334.6749999998,800,3000,191472005120,201420382208,471720636416,499999834112,25000000000,6268965917.515679,4477933200423,3380627244670,25.07586367006272,4,0,23040,6134
1677783448.166482,3.8,1029170.4749999999,800,3000,191415824384,201420382208,471720636416,499999834112,25000000000,2930950590.747374,4478291732458,3380627779770,11.723802362989497,0,0,23040,6344
1677783449.1880088,3.1,908996.3,800,3000,191434579968,201420382208,471720636416,499999834112,25000000000,395259.3261980015,4478291764161,3380627798538,0.0015810373047920002,0,0,23040,6348
1677783450.1676204,2.8,926276.3249999998,800,3000,191433162752,201420382208,471720636416,499999834112,25000000000,99043.33157433978,4478291772127,3380627802700,0.00039617332629700004,0,0,23040,6498
1677783451.1679525,2.8,952903.4000000001,800,3000,191433994240,201420382208,471720636416,499999834112,25000000000,282650.12706494296,4478291795276,3380627814894,0.001130600508259,0,0,23040,6498
1677783452.1693604,2.7,947266.0500000002,800,3000,191422029824,201420382208,471720636416,499999834112,25000000000,124936.10723847314,4478291804587,3380627821222,0.0004997444289530001,0,0,23040,6498
1677783453.1706638,2.8,970247.775,800,3000,191434473472,201420382208,471720636416,499999834112,25000000000,297556.1550798841,4478291817848,3380627845204,0.001190224620319,0,0,23040,6498
1677783454.171528,2.7,928054.2499999999,800,3000,191435907072,201420382208,471720636416,499999834112,25000000000,218834.86816856597,4478291836992,3380627853438,0.000875339472674,0,0,23040,6498
1677783455.1920807,2.8,909028.775,800,3000,191434596352,201420382208,471720636416,499999834112,25000000000,106052.3448450511,4478291845987,3380627857972,0.00042420937938,0,0,23040,6530
1677783456.173575,2.7,941001.5999999999,800,3000,191435411456,201420382208,471720636416,499999834112,25000000000,412367.18955761736,4478291877881,3380627876670,0.0016494687582300001,3,1,23040,7082
1677783457.1960268,2.9,907854.7500000001,800,3000,191435304960,201420382208,471720636416,499999834112,25000000000,127043.63192688122,4478291887404,3380627883384,0.0005081745277070001,99,54,23040,7268
1677783458.175659,2.7,926172.5750000002,800,3000,191436337152,201420382208,471720636416,499999834112,25000000000,148692.5491420401,4478291898624,3380627890372,0.000594770196568,100,60,23040,7472
1677783459.1964142,2.9,918962.9500000001,800,3000,191435898880,201420382208,471720636416,499999834112,25000000000,532233.3421124793,4478291943867,3380627913039,0.002128933368449,99,51,23040,7520
1677783460.1775978,9.2,1473040.2999999998,800,3000,191398412288,201420382208,471720636416,499999834112,25000000000,1349358.1587983812,4478292055643,3380627966759,0.005397432635193,99,56,23040,7520
1677783461.199838,5.6,1240476.6500000001,800,3000,191398785024,201420382208,471720636416,499999834112,25000000000,8021.598353945554,4478292056182,3380627967245,3.2086393415782215e-05,99,56,23040,7520
