unix,cpu_freq_current,cpu_freq_min,cpu_freq_max,memory_available,memory_total,disk_free,disk_total,net_speed,net_speed_used,net_byte_recv,net_byte_sent,gpu_util,gpu_memory_util,gpu_memory_total,gpu_memory_used
1668539086.7623413,848325.1499999999,800,3000,195806429184,201420431360,457593458688,499999834112,25000000000,0,801691936671,36674877422625,0,0,23040,0
1668539087.8646722,816688.35,800,3000,195805372416,201420431360,457593458688,499999834112,25000000000,16790.78361357851,801691947918,36674877429887,0,0,23040,0
1668539088.8492699,832498.175,800,3000,195805155328,201420431360,457593458688,499999834112,25000000000,1576.2783387275886,801691948668,36674877430689,0,0,23040,0
1668539089.8504243,828999.1000000002,800,3000,195805515776,201420431360,457593458688,499999834112,25000000000,648.2516435484739,801691949037,36674877430969,0,0,23040,0
1668539090.8510666,824252.9750000001,800,3000,195805179904,201420431360,457593458688,499999834112,25000000000,347.77662319591286,801691949163,36674877431191,0,0,23040,0
1668539091.8525586,824132.4499999998,800,3000,195804545024,201420431360,457593462784,499999834112,25000000000,6665.055580658017,801691951384,36674877435645,0,0,23040,0
1668539092.853596,824288.8500000001,800,3000,195805646848,201420431360,457593462784,499999834112,25000000000,22460.70018517835,801691961798,36674877447715,0,0,23040,0
1668539093.8548193,824872.2250000001,800,3000,195806081024,201420431360,457593462784,499999834112,25000000000,1810.7848203389265,801691962809,36674877448517,0,0,23040,0
1668539094.854872,825512.7249999999,800,3000,195806146560,201420431360,457593462784,499999834112,25000000000,597.9684927375567,801691963119,36674877448805,0,0,23040,0
1668539095.877913,800523.6749999998,800,3000,195806322688,201420431360,457593462784,499999834112,25000000000,1197.4104538743798,801691963708,36674877449441,0,0,23040,0
1668539096.8577104,823700.725,800,3000,195806199808,201420431360,457593462784,499999834112,25000000000,4862.229863576901,801691966270,36674877451643,0,0,23040,0
1668539097.878033,800561.2250000001,800,3000,195806216192,201420431360,457593462784,499999834112,25000000000,22085.17272428388,801691974071,36674877466376,0,0,23040,0
1668539098.8597968,837538.6249999999,800,3000,195805065216,201420431360,457593462784,499999834112,25000000000,10075.742861750015,801691978759,36674877471580,0,0,23040,0
1668539099.861033,828372.3249999997,800,3000,195805036544,201420431360,457593462784,499999834112,25000000000,1826.7417812024273,801691980018,36674877472150,0,0,23040,0
1668539100.882013,800592.8250000001,800,3000,195805532160,201420431360,457593462784,499999834112,25000000000,340.8489482640291,801691980144,36674877472372,0,0,23040,0
1668539101.8626485,862922.5249999999,800,3000,195805700096,201420431360,457593462784,499999834112,25000000000,41221.23248959479,801691988131,36674877504808,0,0,23040,0
1668539102.8635824,877367.8999999999,800,3000,195774492672,201420431360,457593462784,499999834112,25000000000,11475.283398372787,801691990745,36674877513680,0,0,23040,0
1668539103.8620856,1198314.3999999997,800,3000,195653439488,201420431360,457593462784,499999834112,25000000000,319326349.0734623,801851050348,36675037302461,0,0,23040,2
1668539104.8648036,897023.025,800,3000,195639275520,201420431360,457593462784,499999834112,25000000000,2624.865689073696,801851052260,36675037303181,0,0,23040,2
1668539105.8598645,1217031.5499999998,800,3000,195518218240,201420431360,457593462784,499999834112,25000000000,25265.789738709234,801851063821,36675037316761,0,0,23040,2
1668539106.8601992,1629647.4999999995,800,3000,195155947520,201420431360,457593462784,499999834112,25000000000,1063.6439561571015,801851064271,36675037317375,0,0,23040,2
1668539107.863706,2187995.250000001,800,3000,194817282048,201420431360,457593462784,499999834112,25000000000,1533255.0296537455,801851831515,36675038088763,2,0,23040,184
1668539108.8629708,1994672.4750000006,800,3000,194138251264,201420431360,457593462784,499999834112,25000000000,4443629.3246472385,801854042947,36675040317693,2,0,23040,418
1668539109.8644109,1933504.3,800,3000,193608536064,201420431360,457593462784,499999834112,25000000000,5339140.380410748,801856711686,36675042995783,3,0,23040,780
1668539110.8655267,1928574.3750000002,800,3000,193558618112,201420431360,457593462784,499999834112,25000000000,4732125.898889827,801859075932,36675045368943,90,66,23040,1580
1668539111.8663735,1909928.7500000002,800,3000,193552166912,201420431360,457593462784,499999834112,25000000000,5019779.935144035,801861583430,36675047885476,90,63,23040,1580
1668539112.8661556,1907833.2999999998,800,3000,193542897664,201420431360,457593462784,499999834112,25000000000,4907183.346804376,801864032043,36675050342977,94,69,23040,1582
1668539113.887857,1633814.725,800,3000,193538465792,201420431360,457593462784,499999834112,25000000000,3963650.4893135317,801866043749,36675052380938,91,68,23040,1582
1668539114.8689628,1927216.0749999997,800,3000,193530138624,201420431360,457593462784,499999834112,25000000000,4839773.629403829,801868413647,36675054759370,93,67,23040,1582
1668539115.8700464,1918541.5499999998,800,3000,193526136832,201420431360,457593462784,499999834112,25000000000,4137897.123193523,801870480246,36675056835152,74,55,23040,1582
1668539116.8703728,1923331.6749999998,800,3000,193518477312,201420431360,457593462784,499999834112,25000000000,4808772.440551968,801872880317,36675059245423,93,68,23040,1912
1668539117.8708284,1896342.4499999995,800,3000,193522262016,201420431360,457593462784,499999834112,25000000000,5357768.9045580365,801875555502,36675061930448,91,62,23040,1912
1668539118.872771,1892017.0249999997,800,3000,193511362560,201420431360,457593462784,499999834112,25000000000,4078427.1064607045,801877585617,36675063986683,94,70,23040,1912
1668539119.891625,2223535.15,800,3000,193504391168,201420431360,457593462784,499999834112,25000000000,4359778.166152671,801879800172,36675066214105,91,65,23040,1912
1668539120.8738708,1895625.8250000004,800,3000,193501503488,201420431360,457593462784,499999834112,25000000000,4816492.38099168,801882159608,36675068585649,92,67,23040,1912
1668539121.875013,1888093.8500000006,800,3000,193498832896,201420431360,457593462784,499999834112,25000000000,4472959.701787171,801884394419,36675070828907,94,70,23040,1912
1668539122.8766146,1920950.4499999997,800,3000,193483730944,201420431360,457593462784,499999834112,25000000000,6311793.929668049,801887550693,36675073994535,90,66,23040,1912
1668539123.8767078,1897742.2250000003,800,3000,193476296704,201420431360,457593462784,499999834112,25000000000,4483386.051290022,801889780774,36675076248258,93,68,23040,1912
1668539124.8778176,1892111.8250000004,800,3000,193474576384,201420431360,457593462784,499999834112,25000000000,4636881.810113411,801892097445,36675078573615,93,67,23040,1912
1668539125.8794546,1910684.6000000006,800,3000,193472532480,201420431360,457593462784,499999834112,25000000000,4009431.632730882,801894100287,36675080586768,92,69,23040,1912
1668539126.8787348,1903636.9000000001,800,3000,193467977728,201420431360,457593462784,499999834112,25000000000,3791549.102788286,801895989707,36675082486168,90,67,23040,1912
1668539127.880435,1905076.325,800,3000,193466531840,201420431360,457593458688,499999834112,25000000000,4872109.62003982,801898425257,36675084931011,91,67,23040,1912
1668539128.881447,1906571.2499999998,800,3000,193462710272,201420431360,457593458688,499999834112,25000000000,4219807.188557762,801900521104,36675087059242,93,67,23040,1912
