unix,cpu_freq_current,cpu_freq_min,cpu_freq_max,memory_available,memory_total,disk_free,disk_total,net_speed,net_speed_used,net_byte_recv,net_byte_sent,gpu_util,gpu_memory_util,gpu_memory_total,gpu_memory_used
1668548746.206546,916154.4749999997,800,3000,189748498432,201420431360,468218118144,499999834112,25000000000,0,264477719548,160157757583,0,0,23040,2
1668548747.3421605,947900.475,800,3000,189747499008,201420431360,468218118144,499999834112,25000000000,278122.5751903377,264477751784,160157764827,0,0,23040,2
1668548748.3238788,1025920.2500000006,800,3000,189745684480,201420431360,468218118144,499999834112,25000000000,33459.700140736466,264477753982,160157766735,0,0,23040,2
1668548749.324619,1008939.0749999998,800,3000,189744676864,201420431360,468218118144,499999834112,25000000000,4212.881247455275,264477754287,160157766957,0,0,23040,2
1668548750.346281,1007844.2250000001,800,3000,189744787456,201420431360,468218118144,499999834112,25000000000,57294.878522417246,264477757608,160157770953,0,0,23040,2
1668548751.3270495,1023961.6499999999,800,3000,189744779264,201420431360,468218118144,499999834112,25000000000,3744.0030104717453,264477757853,160157771167,0,0,23040,2
1668548752.3276727,998769.2000000003,800,3000,189745766400,201420431360,468218118144,499999834112,25000000000,2302.5649812552924,264477757919,160157771389,0,0,23040,2
1668548753.351022,1042623.75,800,3000,189712678912,201420431360,468218118144,499999834112,25000000000,328779.23978679656,264477771044,160157800321,0,0,23040,2
1668548754.325693,1682943.9500000002,800,3000,189673132032,201420431360,468218118144,499999834112,25000000000,10880998.028693274,264478938948,160157958091,0,0,23040,2
1668548755.3501995,907725.95,800,3000,189673603072,201420431360,468218118144,499999834112,25000000000,17152499.098877102,264480904526,160158189119,0,0,23040,2
1668548756.3318532,973879.3500000002,800,3000,189673435136,201420431360,468218118144,499999834112,25000000000,14564256.35712256,264482518040,160158362737,0,0,23040,2
1668548757.354178,948053.9750000001,800,3000,189668663296,201420431360,468218118144,499999834112,25000000000,140243452.89392743,264500267961,160158534611,0,0,23040,2
1668548758.3338342,982077.7250000001,800,3000,189668519936,201420431360,468218118144,499999834112,25000000000,93916227.1113932,264511574659,160158728615,0,0,23040,2
1668548759.3541188,950283.85,800,3000,189663465472,201420431360,468218118144,499999834112,25000000000,25490360.882055923,264514621643,160158932559,0,0,23040,2
1668548760.336271,1024363.2000000002,800,3000,189631733760,201420431360,468218118144,499999834112,25000000000,2593474032.6678843,264674010938,160317941550,0,0,23040,2
1668548761.3369246,1044482.0750000003,800,3000,189631774720,201420431360,468218118144,499999834112,25000000000,61223.989796630725,264674014541,160317945605,0,0,23040,2
1668548762.3380532,983181.5249999998,800,3000,189631717376,201420431360,468218109952,499999834112,25000000000,18698.89505167612,264674015375,160317947111,0,0,23040,2
1668548763.358238,972935.9500000001,800,3000,189631528960,201420431360,468218109952,499999834112,25000000000,12131.135988258842,264674016118,160317947915,0,0,23040,2
1668548764.3399496,1007027.0250000004,800,3000,189632548864,201420431360,468218109952,499999834112,25000000000,8271.268042987209,264674016563,160317948485,0,0,23040,2
1668548765.3621542,1015579.8500000003,800,3000,189600751616,201420431360,468218109952,499999834112,25000000000,11794.115930799682,264674017290,160317949265,0,0,23040,2
1668548766.3368225,1654489.075,800,3000,189493772288,201420431360,468218109952,499999834112,25000000000,4655204.407259687,264674213704,160318320011,0,0,23040,2
1668548767.3360844,2187253.9250000003,800,3000,189288087552,201420431360,468218109952,499999834112,25000000000,58843.43492377377,264674217238,160318323827,0,0,23040,2
1668548768.337636,1294525.85,800,3000,189149089792,201420431360,468218109952,499999834112,25000000000,825969139.0635296,264777461592,160318485815,0,0,23040,2
1668548769.340161,1764408.2250000003,800,3000,188996902912,201420431360,468218109952,499999834112,25000000000,852682115.9172022,264884162734,160318639075,0,0,23040,10
1668548770.366237,1103305.825,800,3000,188953772032,201420431360,468218109952,499999834112,25000000000,2321468011.5735903,265181338838,160319213251,3,0,23040,178
1668548771.3471441,1062854.425,800,3000,188844392448,201420431360,468218109952,499999834112,25000000000,1837127529.2442086,265406233977,160319574565,1,0,23040,222
1668548772.3663514,996062.0249999999,800,3000,188728762368,201420431360,468218109952,499999834112,25000000000,1658021692.8282993,265617185301,160319856705,0,0,23040,268
1668548773.3490946,1060745.5500000003,800,3000,188513308672,201420431360,468218109952,499999834112,25000000000,1637548430.1838539,265818072046,160320131171,1,0,23040,336
1668548774.3501263,1037090.5500000002,800,3000,188297289728,201420431360,468218109952,499999834112,25000000000,1073191919.3021382,265952173245,160320317355,1,0,23040,406
1668548775.35104,1037235.1000000001,800,3000,187923742720,201420431360,468218109952,499999834112,25000000000,858100126.5665562,266059368598,160320482515,1,0,23040,538
1668548776.3700304,966368.6750000003,800,3000,187766341632,201420431360,468218109952,499999834112,25000000000,877519483.6244754,266170776871,160320847246,4,0,23040,728
1668548777.352539,1737471.1000000006,800,3000,187704705024,201420431360,468218109952,499999834112,25000000000,1118305616.474253,266305430225,160323537011,40,12,23040,838
1668548778.346677,2402357.3500000006,800,3000,187704426496,201420431360,468218109952,499999834112,25000000000,207655049.40213063,266318331984,160336439974,48,16,23040,838
1668548779.3475993,2480258.9,800,3000,187705143296,201420431360,468218109952,499999834112,25000000000,195146131.6394812,266330539505,160348648215,46,15,23040,838
1668548780.366667,2434038.5250000004,800,3000,187704475648,201420431360,468218109952,499999834112,25000000000,206560395.07663512,266343689073,160361811027,47,16,23040,838
1668548781.349459,2488379.8,800,3000,187705430016,201420431360,468218109952,499999834112,25000000000,180254069.9466295,266354760598,160372883532,45,15,23040,838
1668548782.3705876,2497976.9499999997,800,3000,187705847808,201420431360,468218109952,499999834112,25000000000,197262054.21449086,266367349201,160385473671,46,16,23040,838
1668548783.3515174,2481460.225,800,3000,187704999936,201420431360,468218109952,499999834112,25000000000,193208849.44423646,266379194023,160397319390,41,14,23040,838
1668548784.3739114,2407510.6499999994,800,3000,187703947264,201420431360,468218109952,499999834112,25000000000,178009325.5105483,266390568238,160408694632,40,14,23040,838
1668548785.3559928,2455464.675,800,3000,187649961984,201420431360,468218109952,499999834112,25000000000,205338129.07500288,266403171389,160421298826,10,3,23040,838
1668548786.3790178,2414639.5249999994,800,3000,187642712064,201420431360,468218109952,499999834112,25000000000,179510680.1525655,266414648596,160432777109,41,14,23040,838
1668548787.3546653,2398971.375,800,3000,187709034496,201420431360,468218109952,499999834112,25000000000,186138187.61510223,266425997480,160444128881,42,14,23040,838
1668548788.3809593,2412261.1749999993,800,3000,187706904576,201420431360,468218109952,499999834112,25000000000,193074952.549908,266438382070,160456513249,47,16,23040,838
1668548789.3587487,2420404.5500000007,800,3000,187711344640,201420431360,468218109952,499999834112,25000000000,190809087.94556838,266450042354,160468174353,46,15,23040,838
1668548790.3597047,2448663.7500000005,800,3000,187711250432,201420431360,468218109952,499999834112,25000000000,186480737.50541192,266461707906,160479841179,44,15,23040,838
1668548791.3859406,1199954.8499999999,800,3000,189736542208,201420431360,468218109952,499999834112,25000000000,54887.96918276764,266461711295,160479844831,0,0,23040,2
1668548792.3667958,1052119.9000000001,800,3000,189739446272,201420431360,468218109952,499999834112,25000000000,61122.17010139754,266461712467,160479851153,0,0,23040,2
1668548793.386232,977484.6000000001,800,3000,189740695552,201420431360,468218109952,499999834112,25000000000,58597.099681114174,266461715974,160479855113,0,0,23040,2
1668548794.3685305,1038364.5000000001,800,3000,189739937792,201420431360,468218109952,499999834112,25000000000,4862.065301492042,266461716283,160479855401,0,0,23040,2
1668548795.3906116,981732.175,800,3000,189739884544,201420431360,468218109952,499999834112,25000000000,12421.714425674943,266461717042,160479856229,0,0,23040,2
1668548796.370558,1027372.9750000002,800,3000,189741821952,201420431360,468218109952,499999834112,25000000000,6253.4034075772115,266461717304,160479856733,0,0,23040,2
1668548797.3903427,980753.8500000001,800,3000,189741924352,201420431360,468218109952,499999834112,25000000000,12763.478547032266,266461718079,160479857585,0,0,23040,2
1668548798.3727787,1012929.8499999997,800,3000,189741268992,201420431360,468218101760,499999834112,25000000000,193331.68905860384,266461721369,160479878037,0,0,23040,2
1668548799.3942814,920282.6499999999,800,3000,189741318144,201420431360,468218101760,499999834112,25000000000,46598.0153077622,266461724749,160479880607,0,0,23040,2
1668548800.3747218,1008214.7499999998,800,3000,189741498368,201420431360,468218101760,499999834112,25000000000,2349.9644152310225,266461724815,160479880829,0,0,23040,2
1668548801.3942795,962156.5250000004,800,3000,189741989888,201420431360,468218101760,499999834112,25000000000,14139.464392756881,266461725640,160479881806,0,0,23040,2
1668548802.377118,1007181.1999999997,800,3000,189741965312,201420431360,468218101760,499999834112,25000000000,2344.230200246269,266461725706,160479882028,0,0,23040,2
1668548803.3982446,1003171.8999999999,800,3000,189740761088,201420431360,468218101760,499999834112,25000000000,172507.51840930767,266461733059,160479896694,0,0,23040,2
1668548804.378753,1027240.7499999999,800,3000,189740974080,201420431360,468218101760,499999834112,25000000000,28923.77270549902,266461734666,160479898632,0,0,23040,2
