unix,cpu_freq_current,cpu_freq_min,cpu_freq_max,memory_available,memory_total,disk_free,disk_total,net_speed,net_speed_used,net_byte_recv,net_byte_sent,gpu_util,gpu_memory_util,gpu_memory_total,gpu_memory_used
1668549131.8759253,958893.2000000001,800,3000,189758320640,201420431360,468218060800,499999834112,25000000000,0,272185780622,161132377914,0,0,23040,2
1668549133.078179,964195.4999999998,800,3000,189756338176,201420431360,468218060800,499999834112,25000000000,296044.0342147738,272185815116,161132387910,0,0,23040,2
1668549134.057984,1028660.1500000001,800,3000,189755015168,201420431360,468218060800,499999834112,25000000000,32765.695651718986,272185817307,161132389732,0,0,23040,2
1668549135.0568998,996723.7250000002,800,3000,189754695680,201420431360,468218060800,499999834112,25000000000,52480.90650052175,272185820470,161132393122,0,0,23040,2
1668549136.0606208,1057613.8750000002,800,3000,189754372096,201420431360,468218060800,499999834112,25000000000,13445.967571285948,272185821235,161132394044,0,0,23040,2
1668549137.0613263,982352.75,800,3000,189754621952,201420431360,468218060800,499999834112,25000000000,6123.679862805833,272185821497,161132394548,0,0,23040,2
1668549138.0620635,1056407.225,800,3000,189754929152,201420431360,468218060800,499999834112,25000000000,13550.01106400254,272185822262,161132395478,0,0,23040,2
1668549139.0822446,949430.4499999998,800,3000,189745414144,201420431360,468218060800,499999834112,25000000000,716679036.0544189,272277012696,161132597852,0,0,23040,2
1668549140.064124,1063253.1,800,3000,189733421056,201420431360,468218060800,499999834112,25000000000,1861834217.7094874,272505087466,161133035182,0,0,23040,2
1668549141.0625181,1065568.5500000003,800,3000,189698969600,201420431360,468218060800,499999834112,25000000000,1657470204.5109982,272711615068,161133358621,0,0,23040,2
1668549142.069208,987024.8499999997,800,3000,189684224000,201420431360,468218060800,499999834112,25000000000,2028828887.0666213,272966459967,161133813887,0,0,23040,2
1668549143.0675755,1770832.2499999995,800,3000,189670072320,201420431360,468218060800,499999834112,25000000000,32315906.166011497,272970298735,161134008013,0,0,23040,2
1668549144.0861933,901715.0499999998,800,3000,189660078080,201420431360,468218060800,499999834112,25000000000,29775978.745535817,272973844830,161134253211,0,0,23040,2
1668549145.0697322,966091.1749999998,800,3000,189661298688,201420431360,468218060800,499999834112,25000000000,19995036.982237972,272976035597,161134520681,0,0,23040,2
1668549146.088516,1031919.75,800,3000,189659283456,201420431360,468218060800,499999834112,25000000000,48888244.61175697,272982088846,161134693251,0,0,23040,2
1668549147.0713153,1046581.0000000003,800,3000,189659148288,201420431360,468218060800,499999834112,25000000000,183880775.59948173,273004508441,161134863393,0,0,23040,2
1668549148.0942664,983079.9999999999,800,3000,189586546688,201420431360,468218060800,499999834112,25000000000,35247893.15938775,273008716066,161135162877,0,0,23040,2
1668549149.0735905,1030217.0499999999,800,3000,189624762368,201420431360,468218060800,499999834112,25000000000,2602863025.374967,273168160357,161294349398,0,0,23040,2
1668549150.0746992,980752.375,800,3000,189625815040,201420431360,468218060800,499999834112,25000000000,5721.656705932001,273168160785,161294349686,0,0,23040,2
1668549151.0943847,965369.8249999995,800,3000,189627072512,201420431360,468218060800,499999834112,25000000000,56990.120592367646,273168164143,161294353592,0,0,23040,2
1668549152.0768213,984905.8000000002,800,3000,189627596800,201420431360,468218060800,499999834112,25000000000,3802.7897000415956,273168164388,161294353814,0,0,23040,2
1668549153.0983315,951711.425,800,3000,189627793408,201420431360,468218060800,499999834112,25000000000,11825.629246095948,273168165070,161294354642,0,0,23040,2
1668549154.0783782,1056759.5,800,3000,189607448576,201420431360,468218060800,499999834112,25000000000,217254.94237113968,273168173703,161294372624,0,0,23040,2
1668549155.0783703,1763598.8499999996,800,3000,189494222848,201420431360,468218060800,499999834112,25000000000,1208113.505211275,273168222854,161294474486,0,0,23040,2
1668549156.0801687,1751299.375,800,3000,189291601920,201420431360,468218060800,499999834112,25000000000,225937.6756402601,273168234781,161294490852,0,0,23040,2
1668549157.0747683,2429024.0500000007,800,3000,189136547840,201420431360,468218060800,499999834112,25000000000,643745632.2952422,273240365932,161302393343,0,0,23040,2
1668549158.074951,2493160.55,800,3000,189012189184,201420431360,468218060800,499999834112,25000000000,1321335990.2162337,273390478906,161317477532,0,0,23040,2
1668549159.0758305,2448533.025,800,3000,188780142592,201420431360,468218060800,499999834112,25000000000,1153256736.556022,273517065255,161335175065,0,0,23040,176
1668549160.0766573,2411903.0999999987,800,3000,188601249792,201420431360,468218060800,499999834112,25000000000,3217001532.5036845,273900333834,161354364169,0,0,23040,192
1668549161.0776362,2459402.9250000007,800,3000,188337635328,201420431360,468218060800,499999834112,25000000000,2007506398.2647145,274130659131,161375222827,0,0,23040,242
1668549162.0987177,2028471.9249999998,800,3000,188057604096,201420431360,468218060800,499999834112,25000000000,2027904423.1626155,274366555230,161398158676,0,0,23040,288
1668549163.0795693,2485779.375,800,3000,187636678656,201420431360,468218060800,499999834112,25000000000,1609590212.3596957,274541831598,161420228460,1,0,23040,382
1668549164.080717,2470177.8499999996,800,3000,187103760384,201420431360,468218060800,499999834112,25000000000,1299796873.9855485,274684310771,161440410376,3,0,23040,528
1668549165.107518,1694303.3750000002,800,3000,186770874368,201420431360,468218060800,499999834112,25000000000,1099173956.6950457,274808838945,161456961299,4,0,23040,734
1668549166.0885625,1797916.3,800,3000,186720329728,201420431360,468218060800,499999834112,25000000000,1071503173.3262577,274939982170,161457217115,69,24,23040,838
1668549167.108744,1647422.5999999999,800,3000,186702733312,201420431360,468218060800,499999834112,25000000000,63478.905703757766,274939985585,161457221795,63,21,23040,838
1668549168.089764,1965596.675,800,3000,186711150592,201420431360,468218060800,499999834112,25000000000,38074.6487549387,274939987384,161457224665,64,22,23040,838
1668549169.0871165,1990306.425,800,3000,186710786048,201420431360,468218060800,499999834112,25000000000,24111.839430062973,274939988306,161457226749,64,22,23040,838
1668549170.1101944,1951173,800,3000,186714783744,201420431360,468218056704,499999834112,25000000000,34187.03285963972,274939990022,161457229405,61,21,23040,838
