unix,cpu_freq_current,cpu_freq_min,cpu_freq_max,memory_available,memory_total,disk_free,disk_total,net_speed,net_speed_used,net_byte_recv,net_byte_sent,gpu_util,gpu_memory_util,gpu_memory_total,gpu_memory_used
1668549993.8961177,970082.3500000002,800,3000,189767442432,201420431360,468217937920,499999834112,25000000000,0,288712989122,163090347519,0,0,23040,2
1668549994.990262,937705.875,800,3000,189766119424,201420431360,468217937920,499999834112,25000000000,272687.96986995917,288713018603,163090355333,0,0,23040,2
1668549995.9709728,1052845.5999999999,800,3000,189766348800,201420431360,468217937920,499999834112,25000000000,31593.413412119757,288713020864,163090356945,0,0,23040,2
1668549996.9720628,1012736.9750000001,800,3000,189767065600,201420431360,468217937920,499999834112,25000000000,2301.491260041973,288713020930,163090357167,0,0,23040,2
1668549997.9730537,1051520.1249999998,800,3000,189766815744,201420431360,468217937920,499999834112,25000000000,12683.432397593404,288713021689,163090357995,0,0,23040,2
1668549998.974199,1026772.25,800,3000,189767208960,201420431360,468217937920,499999834112,25000000000,49415.40143478091,288713024549,163090361319,0,0,23040,2
1668549999.9748385,1008780.1,800,3000,189767516160,201420431360,468217937920,499999834112,25000000000,16501.448336496716,288713025617,163090362315,0,0,23040,2
1668550000.975858,1003788.5749999998,800,3000,189767999488,201420431360,468217929728,499999834112,25000000000,5642.247853321837,288713025819,163090362819,0,0,23040,2
1668550002.000226,1137936.7,800,3000,189711175680,201420431360,468217929728,499999834112,25000000000,610438032.8880024,288791012066,163090540724,0,0,23040,2
1668550002.9776967,1099652.4250000003,800,3000,189738561536,201420431360,468217929728,499999834112,25000000000,1974728103.5189064,289031866890,163090965742,0,0,23040,2
1668550003.99847,975296.725,800,3000,189703729152,201420431360,468217929728,499999834112,25000000000,1677580522.657588,289245562121,163091324210,0,0,23040,2
1668550004.9793987,1191368.7750000004,800,3000,189687488512,201420431360,468217929728,499999834112,25000000000,2027585517.9287953,289493698230,163091802694,0,0,23040,2
1668550006.002247,962605.1250000002,800,3000,189671424000,201420431360,468217929728,499999834112,25000000000,36139088.81083098,289498111775,163092009750,0,0,23040,2
