unix,cpu_freq_current,cpu_freq_min,cpu_freq_max,memory_available,memory_total,disk_free,disk_total,net_speed,net_speed_used,net_byte_recv,net_byte_sent,gpu_util,gpu_memory_util,gpu_memory_total,gpu_memory_used
1668549740.995668,925290.475,800,3000,189757091840,201420431360,468217970688,499999834112,25000000000,0,283443077884,162438322370,0,0,23040,2
1668549742.1743722,896426.8249999998,800,3000,189758246912,201420431360,468217970688,499999834112,25000000000,274599.8385644854,283443108883,162438331830,0,0,23040,2
1668549743.15794,1013701.0499999999,800,3000,189758554112,201420431360,468217970688,499999834112,25000000000,87623.86027184877,283443114470,162438337016,0,0,23040,2
1668549744.1587133,1020517.15,800,3000,189757538304,201420431360,468217970688,499999834112,25000000000,51400.24551476243,283443117813,162438340103,0,0,23040,2
1668549745.1809998,972121.5749999998,800,3000,189756715008,201420431360,468217970688,499999834112,25000000000,25229.71998749936,283443119379,162438341761,0,0,23040,2
1668549746.1604998,996200.1000000002,800,3000,189756280832,201420431360,468217970688,499999834112,25000000000,5341.500464058188,283443119613,162438342181,0,0,23040,2
1668549747.1823814,954624.1500000003,800,3000,189756407808,201420431360,468217970688,499999834112,25000000000,129267.42446458094,283443127769,162438350537,0,0,23040,2
1668549748.1623728,983974.7749999999,800,3000,189756346368,201420431360,468217970688,499999834112,25000000000,28685.964965786636,283443129309,162438352511,0,0,23040,2
1668549749.1633475,1011983.1000000001,800,3000,189752848384,201420431360,468217970688,499999834112,25000000000,63602.009973342174,283443134093,162438355685,0,0,23040,2
1668549750.1863706,967104.4750000001,800,3000,189756235776,201420431360,468217970688,499999834112,25000000000,64858.74869385463,283443138269,162438359803,0,0,23040,2
1668549751.165702,999049.6750000002,800,3000,189756776448,201420431360,468217970688,499999834112,25000000000,15896.558116707169,283443139259,162438360759,0,0,23040,2
1668549752.1862497,948254.6000000002,800,3000,189749960704,201420431360,468217970688,499999834112,25000000000,410482745.0882033,283495367804,162438496863,0,0,23040,2
1668549753.1644454,968872.8499999997,800,3000,189732040704,201420431360,468217970688,499999834112,25000000000,2095573542.7938726,283751167604,162438932183,0,0,23040,2
