unix,cpu_freq_current,cpu_freq_min,cpu_freq_max,memory_available,memory_total,disk_free,disk_total,net_speed,net_speed_used,net_byte_recv,net_byte_sent,net_util,gpu_util,gpu_memory_util,gpu_memory_total,gpu_memory_used
1668553029.3260734,863374.1500000004,800,3000,195967500288,201420431360,457592692736,499999834112,25000000000,0,842866132001,36700428412995,0,0,0,23040,0
1668553030.449635,821025.075,800,3000,195966238720,201420431360,457592692736,499999834112,25000000000,53800.34248738318,842866136469,36700428416083,0.00021520136994900002,0,0,23040,0
1668553031.4304628,852157.15,800,3000,195966689280,201420431360,457592692736,499999834112,25000000000,36043.02375804895,842866138731,36700428418240,0.000144172095032,0,0,23040,0
1668553032.45368,815549.6500000003,800,3000,195965952000,201420431360,457592692736,499999834112,25000000000,93524.6200754762,842866143313,36700428425620,0.00037409848030100004,0,0,23040,0
1668553033.4323719,896502.425,800,3000,195925946368,201420431360,457592692736,499999834112,25000000000,24007.55744347469,842866145182,36700428426688,9.603022977389876e-05,0,0,23040,0
1668553034.43351,1085287.2750000001,800,3000,195753902080,201420431360,457592692736,499999834112,25000000000,1960696954.5377724,842988837986,36700551099964,7.8427878181510895,0,0,23040,2
1668553035.4345777,958590.25,800,3000,195794546688,201420431360,457592692736,499999834112,25000000000,578175605.5232093,843025012596,36700587274465,2.312702422092837,0,0,23040,2
1668553036.4359412,845406.2999999999,800,3000,195794788352,201420431360,457592692736,499999834112,25000000000,2732.2745004015455,843025012764,36700587274639,1.0929098001606179e-05,0,0,23040,2
1668553037.4369242,866923.8249999998,800,3000,195796152320,201420431360,457592692736,499999834112,25000000000,76141.15326144767,843025015133,36700587281797,0.000304564613045,0,0,23040,2
1668553038.4577162,800491.5500000002,800,3000,195796307968,201420431360,457592692736,499999834112,25000000000,125933.58790259142,843025023615,36700587289384,0.00050373435161,0,0,23040,2
1668553039.4385648,855456.8499999999,800,3000,195796705280,201420431360,457592692736,499999834112,25000000000,45030.39736780249,843025026152,36700587292368,0.00018012158947100003,0,0,23040,2
1668553040.433441,1731997.5750000002,800,3000,195697479680,201420431360,457592692736,499999834112,25000000000,4422.66106820507,843025026462,36700587292608,1.7690644272820273e-05,0,0,23040,2
1668553041.4361885,2275712.7749999994,800,3000,195319984128,201420431360,457592692736,499999834112,25000000000,18740.50978023828,843025027551,36700587293868,7.496203912095312e-05,0,0,23040,2
1668553042.437047,1737673.4250000003,800,3000,194638766080,201420431360,457592692736,499999834112,25000000000,64984.20811333272,843025030127,36700587299422,0.00025993683245300003,0,0,23040,2
1668553043.4357207,2097701.349999999,800,3000,193045819392,201420431360,457592692736,499999834112,25000000000,141035.0579785191,843025035675,36700587311480,0.000564140231914,17,1,23040,946
1668553044.4593792,1399926.275,800,3000,190284951552,201420431360,457592692736,499999834112,25000000000,72586.70638902443,843025039649,36700587316794,0.000290346825556,16,1,23040,1932
1668553045.4382474,2112606.1749999993,800,3000,189077041152,201420431360,457592692736,499999834112,25000000000,16109894.322525112,843026024508,36700588303118,0.06443957729010001,76,50,23040,3820
