unix,cpu_util,cpu_freq_current,cpu_freq_min,cpu_freq_max,memory_available,memory_total,disk_free,disk_total,net_speed,net_speed_used,net_byte_recv,net_byte_sent,net_util,gpu_util,gpu_memory_util,gpu_memory_total,gpu_memory_used
1668652363.3630567,5.2,816100.9249999999,800,3000,196150898688,201420431360,457564602368,499999834112,25000000000,0,870478166461,36712407874663,0,0,0,23040,0
1668652365.1803408,0.1,805337.8250000002,800,3000,196151005184,201420431360,457564602368,499999834112,25000000000,40125.811759847034,870478172018,36712407878221,0.000160503247039,0,0,23040,0
1668652366.1629736,0.4,868342.6499999999,800,3000,196150861824,201420431360,457564602368,499999834112,25000000000,49817.181190844705,870478175689,36712407880669,0.00019926872476300003,0,0,23040,0
1668652367.1852753,0.2,800921.15,800,3000,196150964224,201420431360,457564602368,499999834112,25000000000,37343.184477793504,870478178619,36712407882511,0.000149372737911,0,0,23040,0
1668652368.166183,0.4,853918.85,800,3000,196151902208,201420431360,457564602368,499999834112,25000000000,155847.4903749795,870478187350,36712407892889,0.000623389961499,0,0,23040,0
1668652369.167128,0.2,829537.2,800,3000,196152111104,201420431360,457564602368,499999834112,25000000000,28996.595571316553,870478189532,36712407894335,0.00011598638228500001,0,0,23040,0
1668652370.16824,0.30000000000000004,856582.4499999998,800,3000,196151250944,201420431360,457564602368,499999834112,25000000000,14631.729746928293,870478190561,36712407895137,5.852691898771317e-05,0,0,23040,0
1668652371.169193,0.2,825110.5000000001,800,3000,196152147968,201420431360,457564602368,499999834112,25000000000,10406.083428510723,870478191297,36712407895703,4.162433371404289e-05,0,0,23040,0
1668652372.1701288,0.5,879064.1,800,3000,196149055488,201420431360,457564602368,499999834112,25000000000,18166.999450482574,870478192538,36712407896735,7.26679978019303e-05,0,0,23040,0
1668652373.1653576,7.7,1466570.9499999997,800,3000,196059127808,201420431360,457564602368,499999834112,25000000000,277644.7074809333,870478214168,36712407909645,0.001110578829923,0,0,23040,0
1668652374.1701815,1.5,979453.45,800,3000,195977498624,201420431360,457564602368,499999834112,25000000000,323567.1370098305,870478241955,36712407922499,0.0012942685480390001,0,0,23040,2
1668652375.171025,8.7,1485193.2999999998,800,3000,195867394048,201420431360,457564602368,499999834112,25000000000,14068.13317890478,870478242857,36712407923357,5.627253271561913e-05,0,0,23040,2
1668652376.1743293,1.2,1096897.55,800,3000,195858051072,201420431360,457564602368,499999834112,25000000000,2532793299.248213,870637065328,36712566746169,10.131173196992851,0,0,23040,2
1668652377.1748621,0.2,865724.75,800,3000,195857801216,201420431360,457564602368,499999834112,25000000000,10250.537841778665,870637066080,36712566746699,4.100215136711466e-05,0,0,23040,2
1668652378.19771,0.4,802828.1000000001,800,3000,195857154048,201420431360,457564602368,499999834112,25000000000,9972.157239807138,870637066773,36712566747281,3.988862895922855e-05,0,0,23040,2
1668652379.1772528,0.2,831607.25,800,3000,195857518592,201420431360,457564602368,499999834112,25000000000,57863.73389801631,870637070181,36712566750958,0.00023145493559200003,0,0,23040,2
1668652380.1783679,0.4,851679.075,800,3000,195856945152,201420431360,457564602368,499999834112,25000000000,27273.587667103042,870637071704,36712566752848,0.000109094350668,0,0,23040,2
1668652381.1729116,8,1454179.2,800,3000,195778822144,201420431360,457564602368,499999834112,25000000000,12902.398183447887,870637072570,36712566753586,5.1609592733791553e-05,0,0,23040,2
1668652382.1752858,6.2,1505630.925,800,3000,195607371776,201420431360,457564602368,499999834112,25000000000,12841.512038973784,870637073507,36712566754258,5.136604815589515e-05,0,0,23040,2
1668652383.1747189,9.1,1082716.75,800,3000,195249778688,201420431360,457564602368,499999834112,25000000000,33394.93357086933,870637075939,36712566755998,0.000133579734283,0,0,23040,152
1668652384.1967683,3,1020849.0250000001,800,3000,194540015616,201420431360,457564602368,499999834112,25000000000,139265.28036249068,870637084451,36712566765278,0.000557061121449,3,0,23040,414
1668652385.1778193,4,1136605.875,800,3000,194001170432,201420431360,457564602368,499999834112,25000000000,2980917.5006009974,870637267284,36712566947999,0.011923670002403,4,0,23040,728
