unix,cpu_util,cpu_freq_current,cpu_freq_min,cpu_freq_max,memory_available,memory_total,disk_free,disk_total,net_speed,net_speed_used,net_byte_recv,net_byte_sent,net_util,gpu_util,gpu_memory_util,gpu_memory_total,gpu_memory_used
1668651740.3525481,0.5,800593.4750000001,800,3000,196155584512,201420431360,457564622848,499999834112,25000000000,0,868570084442,36710499132373,0,0,0,23040,0
1668651745.5514567,2.1,875086.0750000002,800,3000,196058845184,201420431360,457564622848,499999834112,25000000000,70222.43135554329,868570112705,36710499149745,0.000280889725422,0,0,23040,0
1668651746.536452,0.4,919521.1500000001,800,3000,196054482944,201420431360,457564622848,499999834112,25000000000,166571.3421668841,868570122390,36710499160569,0.000666285368667,0,0,23040,0
1668651747.5355027,0.8,929408.4500000002,800,3000,196039434240,201420431360,457564622848,499999834112,25000000000,173092.33087862938,868570137084,36710499167491,0.0006923693235140001,0,0,23040,0
1668651748.5582006,0.4,813184.05,800,3000,196032794624,201420431360,457564622848,499999834112,25000000000,20252.314473508137,868570138201,36710499168963,8.100925789403254e-05,0,0,23040,0
1668651749.538585,9,1491962.775,800,3000,195884879872,201420431360,457564622848,499999834112,25000000000,118386.2227308653,868570148349,36710499173323,0.00047354489092300004,0,0,23040,2
1668651750.562191,1.5,830393.8250000001,800,3000,195859386368,201420431360,457564622848,499999834112,25000000000,2482668915.8082757,868728978119,36710658002922,9.930675663233103,0,0,23040,2
1668651751.5417435,0.4,909383.8999999998,800,3000,195859582976,201420431360,457564622848,499999834112,25000000000,106448.6071060262,868728983813,36710658010262,0.000425794428424,0,0,23040,2
1668651752.5424738,0.2,843274.4500000002,800,3000,195859529728,201420431360,457564622848,499999834112,25000000000,30417.786617181675,868728985746,36710658012134,0.00012167114646800001,0,0,23040,2
1668651753.5612473,0.4,805235.6000000002,800,3000,195860463616,201420431360,457564622848,499999834112,25000000000,18296.509459528403,868728986940,36710658013270,7.318603783811361e-05,0,0,23040,2
1668651754.5448053,0.2,836351.1999999997,800,3000,195859546112,201420431360,457564622848,499999834112,25000000000,14730.194752870126,868728988295,36710658013726,5.8920779011480504e-05,0,0,23040,2
1668651755.5427318,6.7,1454516.5,800,3000,195793195008,201420431360,457564622848,499999834112,25000000000,9812.346158633622,868728988929,36710658014316,3.9249384634534485e-05,0,0,23040,2
1668651756.566423,5.6,1157004.925,800,3000,195590799360,201420431360,457564622848,499999834112,25000000000,76734.0793167247,868728993624,36710658019440,0.00030693631726600004,0,0,23040,2
1668651757.5421162,24.1,2299660.5250000004,800,3000,195309367296,201420431360,457564622848,499999834112,25000000000,21924.92418006849,868728994756,36710658020982,8.769969672027398e-05,0,0,23040,2
1668651758.5431907,5.3,1301971.15,800,3000,193889460224,201420431360,457564622848,499999834112,25000000000,10252.982631511635,868728995449,36710658021572,4.101193052604655e-05,8,0,23040,698
1668651759.5436716,6,1221889.975,800,3000,192439717888,201420431360,457564622848,499999834112,25000000000,55909.11385091846,868728999020,36710658024993,0.00022363645540300002,6,0,23040,1194
1668651760.5503423,6.1,1483506.9000000001,800,3000,192290050048,201420431360,457564622848,499999834112,25000000000,6922597.337010333,868729432952,36710658462158,0.027690389348041,0,0,23040,1674
1668651761.55206,1.1,910325.4,800,3000,192291598336,201420431360,457564622848,499999834112,25000000000,34644.49574200501,868729434050,36710658465398,0.00013857798296800002,0,0,23040,1674
1668651762.576716,0.4,800504.6499999999,800,3000,192290074624,201420431360,457564622848,499999834112,25000000000,53208.098081796415,868729437349,36710658468914,0.00021283239232700003,0,0,23040,1674
1668651763.5540698,0.2,845098.625,800,3000,192290410496,201420431360,457564622848,499999834112,25000000000,10141.670176924508,868729438066,36710658469436,4.056668070769803e-05,0,0,23040,1674
