unix,cpu_util,cpu_freq_current,cpu_freq_min,cpu_freq_max,memory_available,memory_total,disk_free,disk_total,net_speed,net_speed_used,net_byte_recv,net_byte_sent,net_util,gpu_util,gpu_memory_util,gpu_memory_total,gpu_memory_used
1668655145.950857,12.2,912849.6000000002,800,3000,196130652160,201420431360,457564508160,499999834112,25000000000,0,895449703160,36732079037024,0,0,0,23040,0
1668655147.0457127,0.30000000000000004,837491.775,800,3000,196131921920,201420431360,457564508160,499999834112,25000000000,96078.40722553535,895449710397,36732079042936,0.00038431362890200004,0,0,23040,0
1668655148.0246015,0.2,852479.95,800,3000,196131467264,201420431360,457564508160,499999834112,25000000000,27737.574875473634,895449712395,36732079044332,0.00011095029950100001,0,0,23040,0
1668655149.0456426,0.7000000000000001,889503.1999999998,800,3000,196119867392,201420431360,457564508160,499999834112,25000000000,56734.2459451211,895449715174,36732079048794,0.00022693698378000002,0,0,23040,0
1668655150.0264866,9.7,1623896.475,800,3000,196015812608,201420431360,457564508160,499999834112,25000000000,132587.8500927817,895449726032,36732079054192,0.000530351400371,0,0,23040,0
1668655151.027569,9.9,1617764.4250000003,800,3000,195862409216,201420431360,457564508160,499999834112,25000000000,37231.69965066575,895449729053,36732079055830,0.000148926798602,0,0,23040,2
1668655152.0292106,1.3,1116726.3499999996,800,3000,195838324736,201420431360,457564508160,499999834112,25000000000,2537138600.751496,895608560480,36732237887321,10.148554403005983,0,0,23040,2
1668655153.0501134,0.30000000000000004,839905.625,800,3000,195838918656,201420431360,457564508160,499999834112,25000000000,10712.086623538613,895608561233,36732237887935,4.2848346494154454e-05,0,0,23040,2
1668655154.0307207,0.2,840796.0250000003,800,3000,195839500288,201420431360,457564508160,499999834112,25000000000,8835.341379272617,895608561860,36732237888391,3.534136551709047e-05,0,0,23040,2
1668655155.0536275,0.30000000000000004,862734.45,800,3000,195826384896,201420431360,457564508160,499999834112,25000000000,73328.28508790127,895608564522,36732237895105,0.00029331314035100004,0,0,23040,2
1668655156.033172,0.2,864987.675,800,3000,195839021056,201420431360,457564508160,499999834112,25000000000,32905.093389885915,895608566495,36732237897161,0.00013162037355900002,0,0,23040,2
1668655157.0327742,7.1,1434096.7499999998,800,3000,195770318848,201420431360,457564508160,499999834112,25000000000,141288.18779593555,895608574845,36732237906465,0.000565152751183,0,0,23040,2
1668655158.0503774,5.6,1031801.325,800,3000,195566800896,201420431360,457564508160,499999834112,25000000000,12193.35837439145,895608575656,36732237907205,4.87734334975658e-05,0,0,23040,2
1668655159.0346704,26.1,2340502.8,800,3000,195199115264,201420431360,457564508160,499999834112,25000000000,14702.939302746036,895608576624,36732237908046,5.8811757210984144e-05,0,0,23040,2
1668655160.036478,5.1,1081973.5,800,3000,193415811072,201420431360,457564508160,499999834112,25000000000,9359.08168474823,895608577198,36732237908644,3.743632673899291e-05,9,1,23040,524
1668655161.0575867,5.2,1033314.0499999999,800,3000,191938068480,201420431360,457564508160,499999834112,25000000000,110961.7497772506,895608581123,36732237918882,0.00044384699910900003,7,0,23040,1052
1668655162.0348036,8.9,1864392.2499999995,800,3000,192356118528,201420431360,457564508160,499999834112,25000000000,11147755.776927816,895609261618,36732238600109,0.044591023107711,8,0,23040,2532
1668655163.0327818,61.1,2364821.500000001,800,3000,192253407232,201420431360,457564508160,499999834112,25000000000,166950041.85011506,895619674817,36732249013473,0.66780016740046,100,79,23040,2606
1668655164.0337536,95.9,2494647.1500000004,800,3000,192251916288,201420431360,457564508160,499999834112,25000000000,252408702.70474994,895635465704,36732264804335,1.009634810818999,100,78,23040,2606
1668655165.033779,95.3,2491176.0500000003,800,3000,192248246272,201420431360,457564508160,499999834112,25000000000,260794201.1126161,895651765902,36732281104236,1.043176804450464,100,78,23040,2606
1668655166.035293,96.1,2493779.55,800,3000,192246775808,201420431360,457564508160,499999834112,25000000000,238173710.22638327,895666657040,36732296029892,0.952694840905533,100,78,23040,2606
1668655167.0359564,95.2,2493967.65,800,3000,192242700288,201420431360,457564508160,499999834112,25000000000,266439827.66133645,895683320821,36732312693180,1.065759310645345,100,78,23040,2606
1668655168.0372667,95.7,2495395.7,800,3000,192242003968,201420431360,457564508160,499999834112,25000000000,268634395.3201581,895700132246,36732329505055,1.074537581280632,100,78,23040,2606
1668655169.062109,90.1,2494470.175,800,3000,192246845440,201420431360,457564508160,499999834112,25000000000,296975816.8700412,895719154429,36732348527043,1.187903267480164,100,78,23040,2606
1668655170.038017,95.5,2494925.3249999993,800,3000,192244994048,201420431360,457564508160,499999834112,25000000000,268733492.2777848,895735545649,36732364918220,1.074933969111139,100,78,23040,2606
1668655171.0391028,90.1,2492083.7,800,3000,192249085952,201420431360,457564508160,499999834112,25000000000,256980261.57138917,895751598204,36732381023075,1.027921046285556,100,79,23040,2606
1668655172.0591493,93.6,2365814.4500000007,800,3000,192247701504,201420431360,457564508160,499999834112,25000000000,250052489.63069943,895767533525,36732396970899,1.000209958522797,100,78,23040,2606
1668655173.0483985,4.7,1356917.975,800,3000,195954651136,201420431360,457564508160,499999834112,25000000000,147910.14806666903,895767542163,36732396980551,0.0005916405922660001,0,0,23040,2
1668655174.0699174,0.9,832855.0499999999,800,3000,196128788480,201420431360,457564508160,499999834112,25000000000,17910.583134188077,895767543120,36732396981881,7.164233253675231e-05,0,0,23040,0
