unix,cpu_util,cpu_freq_current,cpu_freq_min,cpu_freq_max,memory_available,memory_total,disk_free,disk_total,net_speed,net_speed_used,net_byte_recv,net_byte_sent,net_util,gpu_util,gpu_memory_util,gpu_memory_total,gpu_memory_used
1668654805.3973813,14.4,1017655.9500000001,800,3000,196135510016,201420431360,457564524544,499999834112,25000000000,0,892287829720,36730802498197,0,0,0,23040,0
1668654806.4864771,0.4,889312.2500000002,800,3000,196135936000,201420431360,457564524544,499999834112,25000000000,128649.83596712696,892287839879,36730802505552,0.0005145993438680001,0,0,23040,0
1668654807.4654047,0.2,866073.4499999998,800,3000,196135624704,201420431360,457564524544,499999834112,25000000000,35385.660353830564,892287842591,36730802507170,0.000141542641415,0,0,23040,0
1668654808.466621,0.30000000000000004,873151.0000000001,800,3000,196135641088,201420431360,457564524544,499999834112,25000000000,16915.427910382543,892287843796,36730802508082,6.766171164153018e-05,0,0,23040,0
1668654809.4865825,0.1,810564.7999999999,800,3000,196136161280,201420431360,457564524544,499999834112,25000000000,58857.11801579653,892287847544,36730802511838,0.00023542847206300003,0,0,23040,0
1668654810.4687817,0.4,860708.2500000002,800,3000,196135841792,201420431360,457564524544,499999834112,25000000000,90026.5452425235,892287851151,36730802519284,0.00036010618097,0,0,23040,0
1668654811.4676418,1.2,841738.7500000001,800,3000,196086394880,201420431360,457564524544,499999834112,25000000000,40414.067155616525,892287854039,36730802521442,0.000161656268622,0,0,23040,0
1668654812.4905756,7.3,818610.8999999999,800,3000,196039852032,201420431360,457564524544,499999834112,25000000000,1633990.51649192,892288038664,36730802545750,0.006535962065967,0,0,23040,0
1668654813.4720864,0.30000000000000004,890428.7000000002,800,3000,196142776320,201420431360,457564524544,499999834112,25000000000,80056.16829371678,892288043872,36730802550364,0.000320224673174,0,0,23040,0
1668654814.4921067,0.4,803813.3750000003,800,3000,196141928448,201420431360,457564524544,499999834112,25000000000,57591.013709029925,892288047417,36730802554162,0.00023036405483600002,0,0,23040,0
1668654815.4733288,0.9,874070.6750000002,800,3000,196120453120,201420431360,457564524544,499999834112,25000000000,15849.621777339764,892288048591,36730802554932,6.339848710935905e-05,0,0,23040,0
1668654816.474759,8.7,1589920.875,800,3000,196040560640,201420431360,457564524544,499999834112,25000000000,138753.5445438103,892288054866,36730802566026,0.0005550141781750001,0,0,23040,0
1668654817.4752803,9.6,1630309.775,800,3000,195889881088,201420431360,457564524544,499999834112,25000000000,143541.18877061544,892288067442,36730802571402,0.000574164755082,0,0,23040,2
1668654818.4950953,2.1,853926,800,3000,195845734400,201420431360,457564524544,499999834112,25000000000,2491910340.0804915,892446899290,36730961400487,9.967641360321966,0,0,23040,2
1668654819.4780345,0.2,857853.7,800,3000,195846410240,201420431360,457564524544,499999834112,25000000000,48792.435876476506,892446901992,36730961403780,0.00019516974350500003,0,0,23040,2
1668654820.494845,0.30000000000000004,801645.05,800,3000,195846344704,201420431360,457564524544,499999834112,25000000000,10157.252350631165,892446902685,36730961404378,4.0629009402524664e-05,0,0,23040,2
1668654821.4795637,0.2,826665.525,800,3000,195846369280,201420431360,457564524544,499999834112,25000000000,204793.49036877058,892446908095,36730961424176,0.0008191739614750001,0,0,23040,2
1668654822.5016868,0.4,802329.825,800,3000,195846475776,201420431360,457564524544,499999834112,25000000000,32661.42801500783,892446910294,36730961426150,0.00013064571206,0,0,23040,2
1668654823.482436,1.3,887010.9499999998,800,3000,195799453696,201420431360,457564524544,499999834112,25000000000,104972.81804762785,892446916001,36730961433312,0.00041989127219,0,0,23040,2
1668654824.4805431,10.7,1719417.2999999998,800,3000,195671523328,201420431360,457564524544,499999834112,25000000000,33816.00711070344,892446918132,36730961435400,0.00013526402844200001,0,0,23040,2
1668654825.482825,12.2,1591294.9999999995,800,3000,195480449024,201420431360,457564520448,499999834112,25000000000,12754.894552288068,892446918884,36730961436246,5.101957820915228e-05,0,0,23040,2
1668654826.505589,2.6,935675.325,800,3000,195288010752,201420431360,457564520448,499999834112,25000000000,2736533989.1694846,892796049983,36730962158692,10.946135956677939,0,0,23040,2
1668654827.487128,2.6,899652.1000000002,800,3000,195009871872,201420431360,457564520448,499999834112,25000000000,2963456106.5808697,893159002375,36730962799772,11.853824426323477,0,0,23040,14
1668654828.4870324,2.8,936310.5249999999,800,3000,194341707776,201420431360,457564520448,499999834112,25000000000,14905.425045834394,893159003474,36730962800536,5.9621700183337576e-05,3,0,23040,406
1668654829.5096176,2.8,898031.6500000001,800,3000,193814859776,201420431360,457564520448,499999834112,25000000000,58033.30880783617,893159006968,36730962804460,0.00023213323523100002,5,0,23040,832
