x,percent_benefit,num_partitions,num_cuts,total_modules,best_val,base_val,partitions,C,E,N,I,Wb,IN
1,57.20642419068127,3,2,15,0.38032117712289965,0.888734278288754,"[1, 7]",0.3789806795120239,0.0006665489196777071,5.938144329896907e-08,0.0013404976108757148,0.0006665489196777071,1.1876288659793815e-07
2,57.20642419068127,3,2,15,0.38032117712289965,0.888734278288754,"[1, 7]",0.3789806795120239,0.0006665489196777071,5.938144329896907e-08,0.0013404976108757148,0.0006665489196777071,1.1876288659793815e-07
3,57.20642419068126,3,2,15,0.38032117712289965,0.8887342782887538,"[1, 7]",0.3789806795120239,0.0006665489196777071,5.938144329896907e-08,0.0013404976108757148,0.0006665489196777071,1.1876288659793815e-07
5,57.20642419068127,3,2,15,0.38032117712289965,0.888734278288754,"[1, 7]",0.3789806795120239,0.0006665489196777071,5.938144329896907e-08,0.0013404976108757148,0.0006665489196777071,1.1876288659793815e-07
9,57.17309094681544,3,2,15,0.38061742108720087,0.8887342782887541,"[1, 7]",0.3789806795120239,0.0006665489196777071,5.938144329896907e-08,0.0013404976108757148,0.0006665489196777071,1.1876288659793815e-07
17,57.12237472719364,5,4,15,0.3811357679414763,0.8888919699179291,"[1, 4, 7, 10]",0.3789806795120239,0.00034615062366830747,5.938144329896907e-08,0.0013406163737623128,0.00034615062366830747,2.375257731958763e-07
33,57.05339448099346,14,13,15,0.38204752556469207,0.8895872466465652,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3789806795120239,0.00010785595286975839,5.938144329896907e-08,0.0013411508067520035,0.00010785595286975839,7.719587628865981e-07
65,56.92793536619085,14,13,15,0.3837732208106083,0.8910026117238129,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3789806795120239,0.00010785595286975839,5.938144329896907e-08,0.0013411508067520035,0.00010785595286975839,7.719587628865981e-07
129,56.67884300249546,14,13,15,0.3872246113024403,0.893846420871783,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3789806795120239,0.00010785595286975839,5.938144329896907e-08,0.0013411508067520035,0.00010785595286975839,7.719587628865981e-07
257,56.186218454861184,14,13,15,0.3941273922861049,0.8995511877468463,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3789806795120239,0.00010785595286975839,5.938144329896907e-08,0.0013411508067520035,0.00010785595286975839,7.719587628865981e-07
513,55.220805603681264,14,13,15,0.40793295425343407,0.9109877025544927,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3789806795120239,0.00010785595286975839,5.938144329896907e-08,0.0013411508067520035,0.00010785595286975839,7.719587628865981e-07
1025,53.361007975164846,14,13,15,0.4355440781880922,0.9338625456488553,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3789806795120239,0.00010785595286975839,5.938144329896907e-08,0.0013411508067520035,0.00010785595286975839,7.719587628865981e-07
2049,49.90202711875035,14,13,15,0.49076632605740855,0.9796131416748189,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3789806795120239,0.00010785595286975839,5.938144329896907e-08,0.0013411508067520035,0.00010785595286975839,7.719587628865981e-07
2524,48.4048914879573,14,13,15,0.5163821148639762,1.0008354081539506,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3789806795120239,0.00010785595286975839,5.938144329896907e-08,0.0013411508067520035,0.00010785595286975839,7.719587628865981e-07
2762,47.67836496423279,14,13,15,0.5292169732554773,1.0114687220567615,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3789806795120239,0.00010785595286975839,5.938144329896907e-08,0.0013411508067520035,0.00010785595286975839,7.719587628865981e-07
2881,47.32079883087994,14,13,15,0.5356344024512281,1.0167853546822778,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3789806795120239,0.00010785595286975839,5.938144329896907e-08,0.0013411508067520035,0.00010785595286975839,7.719587628865981e-07
