x,percent_benefit,num_partitions,num_cuts,total_modules,best_val,base_val,partitions,C,E,N,I,Wb,IN
1,57.26247062376374,3,2,15,0.37112482898461063,0.8683815709547557,"[1, 7]",0.36973259925842283,0.0006834250016645682,5.938144329896907e-08,0.0013922297261877714,0.0006834250016645682,1.1876288659793815e-07
2,57.26247062376374,3,2,15,0.37112482898461063,0.8683815709547557,"[1, 7]",0.36973259925842283,0.0006834250016645682,5.938144329896907e-08,0.0013922297261877714,0.0006834250016645682,1.1876288659793815e-07
3,57.26247062376375,3,2,15,0.3711248289846106,0.8683815709547557,"[1, 7]",0.36973259925842283,0.0006834250016645682,5.938144329896907e-08,0.0013922297261877714,0.0006834250016645682,1.1876288659793815e-07
5,57.262470623763726,3,2,15,0.37112482898461063,0.8683815709547555,"[1, 7]",0.36973259925842283,0.0006834250016645682,5.938144329896907e-08,0.0013922297261877714,0.0006834250016645682,1.1876288659793815e-07
9,57.22749240044075,3,2,15,0.3714285734297949,0.8683815709547557,"[1, 7]",0.36973259925842283,0.0006834250016645682,5.938144329896907e-08,0.0013922297261877714,0.0006834250016645682,1.1876288659793815e-07
17,57.17486250753488,5,4,15,0.37195573977167096,0.8685453487151438,"[1, 4, 7, 10]",0.36973259925842283,0.00035308661027386493,5.938144329896907e-08,0.0013923484890743694,0.00035308661027386493,2.375257731958763e-07
33,57.10291733383329,5,4,15,0.3728903807988665,0.869267459749584,"[1, 4, 7, 10]",0.36973259925842283,0.00035308661027386493,5.938144329896907e-08,0.0013923484890743694,0.00035308661027386493,2.375257731958763e-07
65,56.970455227029724,14,13,15,0.374674361353072,0.8707374510464958,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.36973259925842283,0.00011090247414328489,5.938144329896907e-08,0.00139288292206406,0.00011090247414328489,7.719587628865981e-07
129,56.70972540809798,14,13,15,0.37822324052565715,0.8736910174194378,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.36973259925842283,0.00011090247414328489,5.938144329896907e-08,0.00139288292206406,0.00011090247414328489,7.719587628865981e-07
257,56.19440572569895,14,13,15,0.38532099887082744,0.8796159605963375,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.36973259925842283,0.00011090247414328489,5.938144329896907e-08,0.00139288292206406,0.00011090247414328489,7.719587628865981e-07
513,55.18572484918028,14,13,15,0.39951651556116774,0.8914938693454691,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.36973259925842283,0.00011090247414328489,5.938144329896907e-08,0.00139288292206406,0.00011090247414328489,7.719587628865981e-07
1025,53.247001936865466,14,13,15,0.4279075489418488,0.9152515703142908,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.36973259925842283,0.00011090247414328489,5.938144329896907e-08,0.00139288292206406,0.00011090247414328489,7.719587628865981e-07
2049,49.65665067957639,14,13,15,0.4846896157032105,0.9627679172044648,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.36973259925842283,0.00011090247414328489,5.938144329896907e-08,0.00139288292206406,0.00011090247414328489,7.719587628865981e-07
2524,48.1088395485351,14,13,15,0.5110289533122407,0.9848092601247932,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.36973259925842283,0.00011090247414328489,5.938144329896907e-08,0.00139288292206406,0.00011090247414328489,7.719587628865981e-07
2762,47.359061586897575,14,13,15,0.5242263477352916,0.9958529683141263,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.36973259925842283,0.00011090247414328489,5.938144329896907e-08,0.00139288292206406,0.00011090247414328489,7.719587628865981e-07
2881,46.99037298913917,14,13,15,0.5308250449468171,1.0013747971440348,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.36973259925842283,0.00011090247414328489,5.938144329896907e-08,0.00139288292206406,0.00011090247414328489,7.719587628865981e-07
2940,46.80907502797869,14,13,15,0.5340966679340441,1.004112389876622,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.36973259925842283,0.00011090247414328489,5.938144329896907e-08,0.00139288292206406,0.00011090247414328489,7.719587628865981e-07
2970,46.71727430372912,14,13,15,0.5357602050461933,1.0055045008399217,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.36973259925842283,0.00011090247414328489,5.938144329896907e-08,0.00139288292206406,0.00011090247414328489,7.719587628865981e-07
2985,46.67146919855431,14,13,15,0.536591973602268,1.006200556321573,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.36973259925842283,0.00011090247414328489,5.938144329896907e-08,0.00139288292206406,0.00011090247414328489,7.719587628865981e-07
2992,46.65016119832448,14,13,15,0.5369801322617694,1.006526250731436,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.36973259925842283,0.00011090247414328489,5.938144329896907e-08,0.00139288292206406,0.00011090247414328489,7.719587628865981e-07
2996,46.63795516824042,14,13,15,0.5372019372100559,1.00671167850436,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.36973259925842283,0.00011090247414328489,5.938144329896907e-08,0.00139288292206406,0.00011090247414328489,7.719587628865981e-07
2998,46.631844003614084,14,13,15,0.5373128396841992,1.0068042068393481,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.36973259925842283,0.00011090247414328489,5.938144329896907e-08,0.00139288292206406,0.00011090247414328489,7.719587628865981e-07
2999,46.6287863893148,14,13,15,0.5373682909212709,1.0068504247272483,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.36973259925842283,0.00011090247414328489,5.938144329896907e-08,0.00139288292206406,0.00011090247414328489,7.719587628865981e-07
