x,percent_benefit,num_partitions,num_cuts,total_modules,best_val,base_val,partitions,C,E,N,I,Wb,IN
1,8.952038740933249,3,2,5,1.995904633210886,2.192146430969238,"[2, 3]",1.9890569562911988,0.001446352005004833,0.0022441688412371138,0.006847676919687143,0.0022441688412371138,0.0044883376824742275
2,8.900852177628606,3,2,5,1.9970267176315046,2.192146430969238,"[2, 3]",1.9890569562911988,0.001446352005004833,0.0022441688412371138,0.006847676919687143,0.0022441688412371138,0.0044883376824742275
3,8.849665614323971,3,2,5,1.998148802052123,2.192146430969238,"[2, 3]",1.9890569562911988,0.001446352005004833,0.0022441688412371138,0.006847676919687143,0.0022441688412371138,0.0044883376824742275
5,8.747292487714683,3,2,5,2.00039297089336,2.192146430969238,"[2, 3]",1.9890569562911988,0.001446352005004833,0.0022441688412371138,0.006847676919687143,0.0022441688412371138,0.0044883376824742275
9,8.58627323888483,3,2,5,2.0048813085758344,2.193195026185777,"[2, 3]",1.9890569562911988,0.001446352005004833,0.0022441688412371138,0.006847676919687143,0.0022441688412371138,0.0044883376824742275
17,8.255029469984521,3,2,5,2.013857983940782,2.195060908850501,"[2, 3]",1.9890569562911988,0.001446352005004833,0.0022441688412371138,0.006847676919687143,0.0022441688412371138,0.0044883376824742275
33,7.5943463099388415,3,2,5,2.0318113346706785,2.198795477910475,"[2, 3]",1.9890569562911988,0.001446352005004833,0.0022441688412371138,0.006847676919687143,0.0022441688412371138,0.0044883376824742275
65,6.487758603239698,2,1,5,2.063162888315645,2.2063024663925153,[3],2.0232050895690916,0.002045545101165623,0.0022441688412371138,0.004603508078450029,0.0022441688412371138,0.0022441688412371138
49,6.936610802882298,3,2,5,2.0497646854005764,2.2025467835251162,"[2, 3]",1.9890569562911988,0.001446352005004833,0.0022441688412371138,0.006847676919687143,0.0022441688412371138,0.0044883376824742275
50,6.894825097804282,3,2,5,2.0508867698211954,2.202763457536697,"[2, 3]",1.9890569562911988,0.001446352005004833,0.0022441688412371138,0.006847676919687143,0.0022441688412371138,0.0044883376824742275
57,6.612295155371706,2,1,5,2.058675762060346,2.2044398301526114,[3],2.0232050895690916,0.002045545101165623,0.0022441688412371138,0.004603508078450029,0.0022441688412371138,0.0022441688412371138
53,6.7730920490159825,3,2,5,2.054253023083051,2.203497968808659,"[2, 3]",1.9890569562911988,0.001446352005004833,0.0022441688412371138,0.006847676919687143,0.0022441688412371138,0.0044883376824742275
54,6.731764831904834,3,2,5,2.0553751075036697,2.203724669818524,"[2, 3]",1.9890569562911988,0.001446352005004833,0.0022441688412371138,0.006847676919687143,0.0022441688412371138,0.0044883376824742275
55,6.6900970997980185,3,2,5,2.0564971919242883,2.203943127155303,"[2, 3]",1.9890569562911988,0.001446352005004833,0.0022441688412371138,0.006847676919687143,0.0022441688412371138,0.0044883376824742275
56,6.649891520956127,3,2,5,2.057619276344907,2.2041959135021476,"[2, 3]",1.9890569562911988,0.001446352005004833,0.0022441688412371138,0.006847676919687143,0.0022441688412371138,0.0044883376824742275
58,6.597269543132388,2,1,5,2.0592269614248604,2.2046753358840934,[3],2.0232050895690916,0.002045545101165623,0.0022441688412371138,0.004603508078450029,0.0022441688412371138,0.0022441688412371138
59,6.581031222958619,2,1,5,2.059797512825175,2.2049028583704406,[3],2.0232050895690916,0.002045545101165623,0.0022441688412371138,0.004603508078450029,0.0022441688412371138,0.0022441688412371138
