x,percent_benefit,num_partitions,num_cuts,total_modules,best_val,base_val,partitions,C,E,N,I,Wb,IN
1,60.45418358556568,3,2,15,0.3852702166643341,0.9742376099326386,"[1, 7]",0.3829495887756348,0.0005338059858842066,0.0006186564618556701,0.002320627888699304,0.0006186564618556701,0.0012373129237113402
2,60.45418358556568,3,2,15,0.3852702166643341,0.9742376099326386,"[1, 7]",0.3829495887756348,0.0005338059858842066,0.0006186564618556701,0.002320627888699304,0.0006186564618556701,0.0012373129237113402
3,60.45418358556568,3,2,15,0.3852702166643341,0.9742376099326386,"[1, 7]",0.3829495887756348,0.0005338059858842066,0.0006186564618556701,0.002320627888699304,0.0006186564618556701,0.0012373129237113402
5,60.45418358556566,3,2,15,0.3852702166643341,0.9742376099326385,"[1, 7]",0.3829495887756348,0.0005338059858842066,0.0006186564618556701,0.002320627888699304,0.0006186564618556701,0.0012373129237113402
9,60.42596065260886,3,2,15,0.3855451750918254,0.9742376099326384,"[1, 7]",0.3829495887756348,0.0005338059858842066,0.0006186564618556701,0.002320627888699304,0.0006186564618556701,0.0012373129237113402
17,60.38092336285791,3,2,15,0.3860344393525087,0.9743650587520487,"[1, 7]",0.3829495887756348,0.0005338059858842066,0.0006186564618556701,0.002320627888699304,0.0006186564618556701,0.0012373129237113402
33,60.303314385600935,3,2,15,0.3870137030568363,0.9749269921830854,"[1, 7]",0.3829495887756348,0.0005338059858842066,0.0006186564618556701,0.002320627888699304,0.0006186564618556701,0.0012373129237113402
65,60.148166431241435,3,2,15,0.38898215543546794,0.9760709121810808,"[1, 7]",0.3829495887756348,0.0005338059858842066,0.0006186564618556701,0.002320627888699304,0.0006186564618556701,0.0012373129237113402
129,59.836897382227036,3,2,15,0.3929434751059548,0.97836932282236,"[1, 7]",0.3829495887756348,0.0005338059858842066,0.0006186564618556701,0.002320627888699304,0.0006186564618556701,0.0012373129237113402
257,59.21973974381771,3,2,15,0.40086180383724934,0.9829800038524243,"[1, 7]",0.3829495887756348,0.0005338059858842066,0.0006186564618556701,0.002320627888699304,0.0006186564618556701,0.0012373129237113402
513,58.003531858215574,3,2,15,0.416698688501412,0.9922231724215334,"[1, 7]",0.3829495887756348,0.0005338059858842066,0.0006186564618556701,0.002320627888699304,0.0006186564618556701,0.0012373129237113402
1025,55.63784437322333,3,2,15,0.44837317577361263,1.0107109752416494,"[1, 7]",0.3829495887756348,0.0005338059858842066,0.0006186564618556701,0.002320627888699304,0.0006186564618556701,0.0012373129237113402
2049,51.15682796627432,3,2,15,0.5117237182400014,1.0476873162264353,"[1, 7]",0.3829495887756348,0.0005338059858842066,0.0006186564618556701,0.002320627888699304,0.0006186564618556701,0.0012373129237113402
