x,percent_benefit,num_partitions,num_cuts,total_modules,best_val,base_val,partitions,C,E,N,I,Wb,IN
1,87.94295585744695,10,9,40,0.47696854443361913,3.9559326381683313,"[1, 7, 11, 15, 19, 23, 27, 31, 35]",0.39482229757308934,0.004819284439086714,0.004561285656875987,0.08214624686052978,0.004819284439086714,0.039344257305172735
500,81.54028958277047,10,9,40,0.7757641796569958,4.20247209800718,"[1, 7, 11, 15, 19, 23, 27, 31, 35]",0.39482229757308934,0.004819284439086714,0.004561285656875987,0.08214624686052978,0.004819284439086714,0.039344257305172735
1000,75.9043329241321,10,9,40,1.076969457099915,4.469556512832605,"[1, 7, 11, 15, 19, 23, 27, 31, 35]",0.39482229757308934,0.004819284439086714,0.004561285656875987,0.08214624686052978,0.004819284439086714,0.039344257305172735
1500,70.9074695232861,10,9,40,1.378174734542834,4.737211620852115,"[1, 7, 11, 15, 19, 23, 27, 31, 35]",0.39482229757308934,0.004819284439086714,0.004561285656875987,0.08214624686052978,0.004819284439086714,0.039344257305172735
2000,66.44314711448537,10,9,40,1.6793800119857552,5.0045813822746394,"[1, 7, 11, 15, 19, 23, 27, 31, 35]",0.39482229757308934,0.004819284439086714,0.004561285656875987,0.08214624686052978,0.004819284439086714,0.039344257305172735
2500,62.43327225266323,10,9,40,1.9805852894286806,5.272179420974697,"[1, 7, 11, 15, 19, 23, 27, 31, 35]",0.39482229757308934,0.004819284439086714,0.004561285656875987,0.08214624686052978,0.004819284439086714,0.039344257305172735
3000,58.809517081389075,10,9,40,2.2817905668715994,5.5396062517165285,"[1, 7, 11, 15, 19, 23, 27, 31, 35]",0.39482229757308934,0.004819284439086714,0.004561285656875987,0.08214624686052978,0.004819284439086714,0.039344257305172735
3500,55.52064997160372,10,9,40,2.5829958443145093,5.80717983213668,"[1, 7, 11, 15, 19, 23, 27, 31, 35]",0.39482229757308934,0.004819284439086714,0.004561285656875987,0.08214624686052978,0.004819284439086714,0.039344257305172735
4000,52.52055533526154,10,9,40,2.8842011217574313,6.0746311211585,"[1, 7, 11, 15, 19, 23, 27, 31, 35]",0.39482229757308934,0.004819284439086714,0.004561285656875987,0.08214624686052978,0.004819284439086714,0.039344257305172735
5000,47.2497255288096,10,9,40,3.486611676643273,6.609655990600557,"[1, 7, 11, 15, 19, 23, 27, 31, 35]",0.39482229757308934,0.004819284439086714,0.004561285656875987,0.08214624686052979,0.004819284439086714,0.03934425730517274
6000,42.76830117917206,10,9,40,4.089022231529112,7.144680860042936,"[1, 7, 11, 15, 19, 23, 27, 31, 35]",0.39482229757308934,0.004819284439086714,0.004561285656875987,0.08214624686052979,0.004819284439086714,0.03934425730517274
7000,38.91129488981658,10,9,40,4.691432786414949,7.679705729484994,"[1, 7, 11, 15, 19, 23, 27, 31, 35]",0.39482229757308934,0.004819284439086714,0.004561285656875987,0.08214624686052979,0.004819284439086714,0.03934425730517274
8000,35.54415996280791,10,9,40,5.294873614330565,8.214730598926854,"[3, 7, 11, 15, 19, 23, 27, 31, 35]",0.3941452569961547,0.004819284439086714,0.004561285656875987,0.08385356046724093,0.004819284439086714,0.04105157091188389
9000,32.531135608835285,10,9,40,5.903360651512399,8.749755468368999,"[4, 8, 12, 16, 20, 24, 28, 32, 36]",0.4918685493469237,0.004737784385680954,0.004561285656875987,0.08385356046724093,0.004737784385680954,0.04105157091188389
10000,30.040523702319742,10,9,40,6.49558369972252,9.284780337810938,"[4, 8, 12, 16, 20, 24, 28, 32, 36]",0.4918685493469237,0.004737784385680954,0.004561285656875987,0.08385356046724093,0.004737784385680954,0.04105157091188388
