x,percent_benefit,num_partitions,num_cuts,total_modules,best_val,base_val,partitions,C,E,N,I,Wb,IN
1,55.521035530231245,3,2,15,0.26393581016556705,0.5933946828842152,"[1, 7]",0.24292789411544796,0.0064608688354489225,0.0038815105343677197,0.02100791605011908,0.0064608688354489225,0.007763021068735439
500,27.71491068165034,3,2,15,0.5837488175202883,0.8075646347331868,"[1, 7]",0.24292789411544796,0.0064608688354489225,0.0038815105343677197,0.02100791605011908,0.0064608688354489225,0.007763021068735439
1000,18.54033282220835,3,2,15,0.8376422711183055,1.0282908095979453,"[5, 9]",0.3509859962463377,0.004679883003234618,0.0038815105343677197,0.02100791605011908,0.004679883003234618,0.007763021068735439
1500,14.201613379899028,3,2,15,1.0716364212800378,1.2490169844627046,"[5, 9]",0.3509859962463377,0.004679883003234618,0.0038815105343677197,0.02100791605011908,0.004679883003234618,0.007763021068735439
2000,11.168073896606138,3,2,15,1.3056305714417635,1.4697762715649159,"[5, 9]",0.3509859962463377,0.004679883003234618,0.0038815105343677197,0.02100791605011908,0.004679883003234618,0.007763021068735439
2500,8.92609289681279,3,2,15,1.5396247216034962,1.690522313772147,"[5, 9]",0.3509859962463377,0.004679883003234618,0.0038815105343677197,0.02100791605011908,0.004679883003234618,0.007763021068735439
3000,7.201675173619789,3,2,15,1.773618871765227,1.9112617335318882,"[5, 9]",0.3509859962463377,0.004679883003234618,0.0038815105343677197,0.02100791605011908,0.004679883003234618,0.007763021068735439
3500,5.835005527521484,3,2,15,2.007613021926955,2.1320162903144624,"[5, 9]",0.3509859962463377,0.004679883003234618,0.0038815105343677197,0.02100791605011908,0.004679883003234618,0.007763021068735439
4000,4.724510884378864,3,2,15,2.2416071720886883,2.3527637516175814,"[5, 9]",0.3509859962463377,0.004679883003234618,0.0038815105343677197,0.02100791605011908,0.004679883003234618,0.007763021068735439
5000,0.0,1,0,15,2.794259147255791,2.794259147255791,[],0.5801497879028316,0.013244894981383641,0.0,0.013244894981383641,0.013244894981383641,0.0
6000,0.0,1,0,15,3.235751231670241,3.235751231670241,[],0.5801497879028316,0.013244894981383641,0.0,0.013244894981383641,0.013244894981383641,0.0
7000,0.0,1,0,15,3.677250884596121,3.677250884596121,[],0.5801497879028316,0.013244894981383641,0.0,0.013244894981383641,0.013244894981383641,0.0
8000,0.0,1,0,15,4.118746989782269,4.118746989782269,[],0.5801497879028316,0.013244894981383641,0.0,0.013244894981383641,0.013244894981383641,0.0
9000,0.0,1,0,15,4.560240729808613,4.560240729808613,[],0.5801497879028316,0.013244894981383641,0.0,0.013244894981383641,0.013244894981383641,0.0
10000,0.0,1,0,15,5.001739436670565,5.001739436670565,[],0.5801497879028316,0.013244894981383641,0.0,0.013244894981383641,0.013244894981383641,0.0
