unix,cpu_freq_current,cpu_freq_min,cpu_freq_max,memory_available,memory_total,disk_free,disk_total,net_speed,net_speed_used,net_byte_recv,net_byte_sent,gpu_util,gpu_memory_util,gpu_memory_total,gpu_memory_used
1668535088.4073017,848030.6749999996,800,3000,196047634432,201420431360,457593458688,499999834112,25000000000,0,757937373034,36636662904200,0,0,23040,0
1668535098.5257263,800475.0499999999,800,3000,195951165440,201420431360,457593458688,499999834112,25000000000,1259072.4777453325,757949066549,36636663950515,0,0,23040,0
1668535108.534101,952284.5,800,3000,195483226112,201420431360,457593454592,499999834112,25000000000,31895413.876416422,758266462106,36636665776211,0,0,23040,2
1668535118.5363724,1696596.8500000003,800,3000,193842466816,201420431360,457593454592,499999834112,25000000000,152272836.33777052,759787087145,36636668225410,94,71,23040,1580
1668535128.5486393,1250739.9249999998,800,3000,193845202944,201420431360,457593454592,499999834112,25000000000,294264.8290327415,759789961463,36636668297350,0,0,23040,1580
1668535138.5604823,1411575.9999999995,800,3000,193847992320,201420431360,457593458688,499999834112,25000000000,407389.3301981227,759793961325,36636668376206,0,0,23040,1580
1668535148.5687864,1216082.325,800,3000,193851236352,201420431360,457593458688,499999834112,25000000000,357326.2720076078,759797457009,36636668456752,0,0,23040,1582
1668535158.580724,1264366.125,800,3000,193842941952,201420431360,457593458688,499999834112,25000000000,367288.24531376694,759800794936,36636668796092,0,0,23040,1582
1668535168.5888307,1236895.6000000003,800,3000,193854181376,201420431360,457593458688,499999834112,25000000000,471168.1377240445,759805250832,36636669055697,0,0,23040,1582
1668535178.6022394,1295971.325,800,3000,193857327104,201420431360,457593458688,499999834112,25000000000,358621.6364090051,759808746448,36636669151106,0,0,23040,1582
1668535188.6118877,1540671.5499999996,800,3000,193852243968,201420431360,457593458688,499999834112,25000000000,366908.6946380946,759812252748,36636669317433,0,0,23040,1582
1668535198.6219068,1146611.825,800,3000,193842122752,201420431360,457593458688,499999834112,25000000000,6699554.8731292365,759878029785,36636670603068,0,0,23040,1912
1668535208.6286485,1300592.2000000002,800,3000,193824632832,201420431360,457593458688,499999834112,25000000000,7813964.810770936,759954803190,36636672021991,0,0,23040,1912
1668535218.6407166,1463512.875,800,3000,193829883904,201420431360,457593458688,499999834112,25000000000,348010.61962819763,759958211405,36636672098082,0,0,23040,1912
1668535228.6512265,1392995.1500000001,800,3000,193840070656,201420431360,457593458688,499999834112,25000000000,308869.17948679597,759961211283,36636672190142,0,0,23040,1912
1668535238.6639173,1397371.2499999998,800,3000,193836986368,201420431360,457593458688,499999834112,25000000000,328789.6402172298,759964386588,36636672306906,0,0,23040,1912
1668535248.6686783,1424067.6250000002,800,3000,193800036352,201420431360,457593450496,499999834112,25000000000,409204.7783986129,759967824180,36636672963310,0,0,23040,1912
1668535258.6806853,1421211.75,800,3000,193778544640,201420431360,457593450496,499999834112,25000000000,429249.7998485048,759971664145,36636673420997,0,0,23040,1912
1668535268.6886494,1393948,800,3000,193835667456,201420431360,457593450496,499999834112,25000000000,363295.06693268253,759975197084,36636673523902,0,0,23040,1912
1668535278.7004704,1294419.5499999996,800,3000,193853960192,201420431360,457593450496,499999834112,25000000000,275665.7346647641,759977810583,36636673670319,0,0,23040,1912
1668535288.7095394,1358110.7500000002,800,3000,193837572096,201420431360,457593450496,499999834112,25000000000,330555.4204160265,759980892720,36636673896734,0,0,23040,1912
1668535298.7108457,1312500.425,800,3000,193766326272,201420431360,457593450496,499999834112,25000000000,457141.0838707321,759984631776,36636674729686,5,3,23040,1912
1668535308.7223928,1381164.8,800,3000,193786011648,201420431360,457593450496,499999834112,25000000000,326999.6106516104,759987764683,36636674870551,0,0,23040,1912
1668535318.7308705,1297930.8750000002,800,3000,193825861632,201420431360,457593450496,499999834112,25000000000,312540.937549558,759990753896,36636675009397,0,0,23040,1912
1668535328.7394397,1294617.6750000003,800,3000,193814347776,201420431360,457593450496,499999834112,25000000000,518324.9348939429,759995700768,36636675250216,0,0,23040,1912
1668535338.750914,1247523.375,800,3000,193750319104,201420431360,457593450496,499999834112,25000000000,711996.5287709199,760001352315,36636676726804,0,0,23040,1912
1668535348.7578475,1255190.7500000002,800,3000,193772048384,201420431360,457593450496,499999834112,25000000000,317181.4837819609,760004431899,36636676821234,0,0,23040,1912
1668535358.7712016,1467841.125,800,3000,193784479744,201420431360,457593450496,499999834112,25000000000,392145.52639220346,760007881614,36636677298211,0,0,23040,1912
1668535368.7785747,1374458.1750000003,800,3000,193774915584,201420431360,457593450496,499999834112,25000000000,330954.5840557117,760011018036,36636677473775,0,0,23040,1912
1668535378.7905025,1471889.7,800,3000,193808080896,201420431360,457593450496,499999834112,25000000000,302997.8888723756,760013956058,36636677569346,0,0,23040,1912
1668535388.798652,1216240.7749999997,800,3000,193814376448,201420431360,457593450496,499999834112,25000000000,482690.73671322834,760018207546,36636678148699,0,0,23040,1912
1668535398.8104765,1558907.2750000001,800,3000,193806745600,201420431360,457593446400,499999834112,25000000000,801515.6391881662,760025702258,36636678678621,0,0,23040,1912
1668535408.8186045,1413421.925,800,3000,193827299328,201420431360,457593446400,499999834112,25000000000,495906.3309156598,760030390368,36636678953605,0,0,23040,1912
1668535418.8307583,1364800.6,800,3000,193806024704,201420431360,457593446400,499999834112,25000000000,423523.8548706593,760034385939,36636679198420,0,0,23040,1912
1668535428.8400216,1344124.9249999998,800,3000,193748037632,201420431360,457593442304,499999834112,25000000000,77997635.22953251,760813148789,36636681134436,0,0,23040,1912
1668535438.8506744,1286971.4,800,3000,193805213696,201420431360,457593442304,499999834112,25000000000,10229003.866673877,760914181105,36636682501126,0,0,23040,1912
1668535448.8586206,1480807.95,800,3000,193808977920,201420431360,457593442304,499999834112,25000000000,301616.9275637919,760917038142,36636682662655,0,0,23040,1912
1668535458.8709502,1295079.2249999999,800,3000,193806655488,201420431360,457593442304,499999834112,25000000000,256087.4549646844,760919523065,36636682741764,0,0,23040,1912
1668535468.8790746,1452390.65,800,3000,193807093760,201420431360,457593442304,499999834112,25000000000,366320.7881155056,760923014570,36636682916443,0,0,23040,1912
1668535478.89093,1377755.3999999994,800,3000,193799069696,201420431360,457593442304,499999834112,25000000000,418118.00589096715,760926824035,36636683293115,0,0,23040,1912
1668535488.8982382,1463457.35,800,3000,193802080256,201420431360,457593442304,499999834112,25000000000,297555.9388385482,760929713796,36636683381088,0,0,23040,1912
1668535498.910048,1209084.075,800,3000,193678503936,201420431360,457593442304,499999834112,25000000000,4153762.678594744,760969892991,36636684788575,0,0,23040,1912
1668535508.9185092,1294974.775,800,3000,193670819840,201420431360,457593442304,499999834112,25000000000,4360032.872873654,761012889679,36636685429107,0,0,23040,1912
1668535518.9302135,1261649.95,800,3000,193646596096,201420431360,457593442304,499999834112,25000000000,7572590.084216683,761085641579,36636688491739,0,0,23040,1912
1668535528.9377515,1502781.4249999998,800,3000,193635995648,201420431360,457593442304,499999834112,25000000000,3882820.6986111645,761123792832,36636689197962,0,0,23040,1912
1668535538.9499974,1362143.6,800,3000,193641967616,201420431360,457593442304,499999834112,25000000000,528773.5695193476,761128850963,36636689434042,0,0,23040,1912
1668535548.9578404,1364644.9749999996,800,3000,193640759296,201420431360,457593442304,499999834112,25000000000,1592634.6938100916,761144452299,36636689771544,0,0,23040,1912
1668535558.9696608,1392585.75,800,3000,193634062336,201420431360,457593442304,499999834112,25000000000,1351846.8742337523,761157512264,36636690246027,0,0,23040,1912
1668535568.977884,1210609,800,3000,193621655552,201420431360,457593438208,499999834112,25000000000,1581637.7725678054,761172303694,36636691283981,0,0,23040,1912
1668535578.989824,1327947.5499999996,800,3000,193621291008,201420431360,457593438208,499999834112,25000000000,2801695.7745611663,761199378294,36636692259791,0,0,23040,1912
1668535588.998081,1295018.6500000004,800,3000,193576513536,201420431360,457593438208,499999834112,25000000000,2229467.947883151,761220430559,36636693520614,0,0,23040,1912
1668535599.0110247,1370793.725,800,3000,193573740544,201420431360,457593438208,499999834112,25000000000,1416332.9348139036,761234097039,36636694035796,0,0,23040,1912
1668535609.017918,1157972.1750000003,800,3000,193276379136,201420431360,457593438208,499999834112,25000000000,43918845.798746414,761672612281,36636695011762,0,0,23040,2062
1668535619.0302126,1205790.9749999999,800,3000,191884775424,201420431360,457593438208,499999834112,25000000000,124257282.30071142,762914691318,36636697033233,36,12,23040,22514
1668535629.0362918,1393175.5250000001,800,3000,191885029376,201420431360,457593438208,499999834112,25000000000,313826.2188613766,762917764289,36636697100432,32,10,23040,22514
1668535639.0480459,1548098.6999999997,800,3000,191891591168,201420431360,457593438208,499999834112,25000000000,372232.8761392197,762921410106,36636697181319,34,11,23040,22514
1668535649.057767,1538252.6250000002,800,3000,191917068288,201420431360,457593438208,499999834112,25000000000,373109.89834829915,762925037782,36636697288369,36,11,23040,22514
1668535659.0691977,1416187.3750000002,800,3000,191837601792,201420431360,457593438208,499999834112,25000000000,41072081.56996749,763335451152,36636698065299,34,26,23040,22570
1668535669.0771809,1257764.225,800,3000,191845556224,201420431360,457593438208,499999834112,25000000000,337734.67939060414,763338748848,36636698147646,48,42,23040,22570
1668535679.088033,1251696.0249999997,800,3000,191846612992,201420431360,457593421824,499999834112,25000000000,374491.2983555972,763342432472,36636698212999,49,41,23040,22570
1668535689.0963304,1385213.5750000002,800,3000,191844519936,201420431360,457593421824,499999834112,25000000000,349325.34926897864,763345846184,36636698295439,29,20,23040,22570
1668535699.1083918,1314096.7249999999,800,3000,193812627456,201420431360,457593421824,499999834112,25000000000,370221.96205619664,763349402325,36636698445983,0,0,23040,1912
1668535709.1117437,1455285.4000000001,800,3000,193783373824,201420431360,457593421824,499999834112,25000000000,383785.55789016775,763352773432,36636698914018,0,0,23040,1912
1668535719.123738,1281157.2750000001,800,3000,193800097792,201420431360,457593421824,499999834112,25000000000,784964.4851903687,763360078560,36636699467950,0,0,23040,1912
1668535729.1317625,1278263.8749999998,800,3000,193721180160,201420431360,457593421824,499999834112,25000000000,472241.9516127246,763363825449,36636700447270,0,0,23040,1912
1668535739.1395223,1496577.4999999995,800,3000,193611497472,201420431360,457593421824,499999834112,25000000000,889209.9899877517,763372530386,36636700641333,13,8,23040,2158
1668535749.1532156,1278371.85,800,3000,193486610432,201420431360,457593421824,499999834112,25000000000,445129.0699563057,763376447050,36636701182055,0,0,23040,2158
1668535759.165283,1330890.175,800,3000,191796600832,201420431360,457593421824,499999834112,25000000000,395644.3633667125,763379904673,36636701685650,36,12,23040,22514
1668535769.1708086,1298636.6,800,3000,191790477312,201420431360,457593421824,499999834112,25000000000,349811.50853801065,763383232599,36636701857772,33,11,23040,22514
1668535779.1807892,1463976.525,800,3000,191877050368,201420431360,457593421824,499999834112,25000000000,356963.32637822995,763386712774,36636701950793,36,12,23040,22514
1668535789.189058,1487708.5750000002,800,3000,191929229312,201420431360,457593421824,499999834112,25000000000,300601.0380168795,763389622034,36636702050029,34,11,23040,22514
1668535799.2010431,1384300.4000000001,800,3000,191862910976,201420431360,457593421824,499999834112,25000000000,348535.3781342642,763393016494,36636702145100,38,12,23040,22570
1668535809.2097225,1350677.375,800,3000,191857422336,201420431360,457593405440,499999834112,25000000000,380586.0745048458,763396671129,36636702299629,0,0,23040,22570
1668535819.217615,1352372.4750000003,800,3000,191858016256,201420431360,457593405440,499999834112,25000000000,995856.6330761737,763405388112,36636703549072,0,0,23040,22570
1668535829.2316194,1439203.05,800,3000,191850422272,201420431360,457593405440,499999834112,25000000000,14636177.81027799,763551107014,36636704396920,0,0,23040,22570
1668535839.2349122,1636329.8999999997,800,3000,191814524928,201420431360,457593397248,499999834112,25000000000,857459.3558693907,763557822452,36636706258899,0,0,23040,22570
1668535849.25222,1557728.975,800,3000,191775137792,201420431360,457593397248,499999834112,25000000000,636164.6416124055,763561420526,36636709033482,0,0,23040,22570
1668535859.255709,1761534.2249999999,800,3000,191770374144,201420431360,457593397248,499999834112,25000000000,466665.5795632522,763564657463,36636710464829,0,0,23040,22570
1668535869.2674046,1797132.0499999996,800,3000,191771312128,201420431360,457593393152,499999834112,25000000000,632418.3473179892,763567958553,36636713495319,0,0,23040,22570
1668535879.275504,1820144.1499999997,800,3000,191764525056,201420431360,457593393152,499999834112,25000000000,603502.2899425047,763571159611,36636716334172,0,0,23040,22570
1668535889.268977,1460462.8000000003,800,3000,191754522624,201420431360,457593393152,499999834112,25000000000,2871718.0236071656,763595081544,36636721110675,0,0,23040,22570
1668535899.296492,1349260.625,800,3000,193768235008,201420431360,457593393152,499999834112,25000000000,7817935.914114566,763635321212,36636759265478,0,0,23040,2158
1668535909.308953,1313900.9499999997,800,3000,193768345600,201420431360,457593405440,499999834112,25000000000,350559.3698259365,763638675229,36636759421423,0,0,23040,2158
1668535919.3165505,1471058.0250000001,800,3000,193770463232,201420431360,457593405440,499999834112,25000000000,297936.64423024555,763641570765,36636759507517,0,0,23040,2158
1668535929.3296814,1394148.6249999993,800,3000,193836994560,201420431360,457593405440,499999834112,25000000000,370794.11383677577,763645180114,36636759610978,0,0,23040,2158
1668535939.3365245,1393286.4,800,3000,193837092864,201420431360,457593405440,499999834112,25000000000,384596.2173448984,763648872147,36636759767539,0,0,23040,2158
1668535949.3485165,1465367.6500000001,800,3000,193838776320,201420431360,457593405440,499999834112,25000000000,296633.2780347206,763651765698,36636759843878,0,0,23040,2158
