unix,cpu_freq_current,cpu_freq_min,cpu_freq_max,memory_available,memory_total,disk_free,disk_total,net_speed,net_speed_used,net_byte_recv,net_byte_sent,gpu_util,gpu_memory_util,gpu_memory_total,gpu_memory_used
1668536310.702654,808488.5000000001,800,3000,196007907328,201420431360,457593585664,499999834112,25000000000,0,763729857980,36636766007829,0,0,23040,0
1668536311.7921813,802872.3250000002,800,3000,196007251968,201420431360,457593585664,499999834112,25000000000,6693.728134370605,763729862015,36636766011087,0,0,23040,0
1668536312.7703493,875629.9000000003,800,3000,195955105792,201420431360,457593585664,499999834112,25000000000,4999.141197065176,763729865156,36636766012836,0,0,23040,0
1668536313.7752955,1204205.5000000002,800,3000,196009373696,201420431360,457593585664,499999834112,25000000000,49362.83994922954,763729881720,36636766045879,0,0,23040,0
1668536314.777423,912992.775,800,3000,196011036672,201420431360,457593585664,499999834112,25000000000,11106.372204023242,763729887207,36636766051522,0,0,23040,0
1668536315.7773635,837756.2499999998,800,3000,196011417600,201420431360,457593585664,499999834112,25000000000,3359.1994229927836,763729888883,36636766053205,0,0,23040,0
1668536316.778798,835045.05,800,3000,196010708992,201420431360,457593585664,499999834112,25000000000,667.043083611943,763729889227,36636766053529,0,0,23040,0
1668536317.8001547,803384.1250000002,800,3000,196011057152,201420431360,457593585664,499999834112,25000000000,1511.7149350588718,763729889994,36636766054306,0,0,23040,0
1668536318.7813373,824950.1,800,3000,196012519424,201420431360,457593585664,499999834112,25000000000,5424.066972219805,763729892622,36636766057000,0,0,23040,0
1668536319.7823396,833735.1250000001,800,3000,196012457984,201420431360,457593585664,499999834112,25000000000,24512.430903549546,763729903987,36636766070172,0,0,23040,0
1668536320.7811995,833118.8749999999,800,3000,196011819008,201420431360,457593585664,499999834112,25000000000,3193.6411266010778,763729905619,36636766071730,0,0,23040,0
1668536321.8038895,803963.6,800,3000,196012142592,201420431360,457593585664,499999834112,25000000000,5083.651650447502,763729908440,36636766074108,0,0,23040,0
1668536322.7856665,837015.2000000001,800,3000,196012806144,201420431360,457593585664,499999834112,25000000000,4807.609291306114,763729910823,36636766076445,0,0,23040,0
1668536323.7799923,1534427.1250000007,800,3000,195920707584,201420431360,457593573376,499999834112,25000000000,1947.047790135727,763729911906,36636766077298,0,0,23040,0
1668536324.7866044,1596981.5,800,3000,195769229312,201420431360,457593573376,499999834112,25000000000,10681.374087436941,763729917069,36636766082887,0,0,23040,2
1668536325.7870142,1582819.1,800,3000,195408707584,201420431360,457593573376,499999834112,25000000000,5386.792268774504,763729918634,36636766086711,0,0,23040,2
1668536326.782694,2037075.05,800,3000,195210022912,201420431360,457593573376,499999834112,25000000000,3207.858412368804,763729919828,36636766088711,0,0,23040,2
1668536327.7858503,1949101.4500000002,800,3000,194504839168,201420431360,457593573376,499999834112,25000000000,6426.7160940995955,763729922832,36636766092154,2,0,23040,348
1668536328.785686,1907008.825000001,800,3000,193866321920,201420431360,457593573376,499999834112,25000000000,3866.63517371051,763729924265,36636766094587,2,0,23040,558
1668536329.787408,1902676.9999999993,800,3000,193731579904,201420431360,457593573376,499999834112,25000000000,9047.419462495422,763729928256,36636766099659,93,71,23040,1580
1668536330.788796,1889316.55,800,3000,193713750016,201420431360,457593573376,499999834112,25000000000,2584.4132619862503,763729929042,36636766101461,89,64,23040,1580
1668536331.78787,1909656.0499999996,800,3000,193699577856,201420431360,457593573376,499999834112,25000000000,2877.664768686671,763729930013,36636766103365,93,70,23040,1582
1668536332.7890527,1904547.5500000005,800,3000,193682300928,201420431360,457593573376,499999834112,25000000000,7758.822906389571,763729932755,36636766108391,91,66,23040,1582
1668536333.790833,1916703.5000000002,800,3000,193664495616,201420431360,457593573376,499999834112,25000000000,6599.251540362386,763729936289,36636766111468,89,64,23040,1582
1668536334.7918131,1894667.1749999998,800,3000,193647853568,201420431360,457593573376,499999834112,25000000000,18523.84406210439,763729944849,36636766121450,93,68,23040,1582
1668536335.792873,1882039.4499999997,800,3000,193631662080,201420431360,457593573376,499999834112,25000000000,3479.312726719316,763729946065,36636766123717,93,67,23040,1912
1668536336.792846,1872270.2500000002,800,3000,193615290368,201420431360,457593573376,499999834112,25000000000,2648.0713424829723,763729946911,36636766125519,93,67,23040,1912
