unix,cpu_freq_current,cpu_freq_min,cpu_freq_max,memory_available,memory_total,disk_free,disk_total,net_speed,net_speed_used,net_byte_recv,net_byte_sent,gpu_util,gpu_memory_util,gpu_memory_total,gpu_memory_used
1668550852.590769,907948.8500000001,800,3000,195953528832,201420431360,457592766464,499999834112,25000000000,0,839680750465,36697241477778,0,0,23040,0
1668550853.6936898,823005.5749999998,800,3000,195953737728,201420431360,457592762368,499999834112,25000000000,119776.50935227849,839680757942,36697241486814,0,0,23040,0
1668550854.6728277,834632.2,800,3000,195953811456,201420431360,457592762368,499999834112,25000000000,61556.191578751546,839680762890,36697241489400,0,0,23040,0
1668550855.6744363,856902.0499999997,800,3000,195954155520,201420431360,457592762368,499999834112,25000000000,124799.24666470366,839680769367,36697241498548,0,0,23040,0
1668550856.6746972,886816.4249999997,800,3000,195921125376,201420431360,457592762368,499999834112,25000000000,14668.174101241408,839680770925,36697241498824,0,0,23040,0
1668550857.6759453,1139012.3250000002,800,3000,195718549504,201420431360,457592762368,499999834112,25000000000,1725815469.0195243,839788779205,36697349486731,0,0,23040,2
1668550858.6774864,946400.8749999999,800,3000,195783704576,201420431360,457592762368,499999834112,25000000000,812468058.8482716,839839636625,36697400344334,0,0,23040,2
1668550859.6785285,829104.9999999999,800,3000,195784540160,201420431360,457592762368,499999834112,25000000000,81251.32575014737,839839639890,36697400351236,0,0,23040,2
1668550860.697917,800525.6749999999,800,3000,195784876032,201420431360,457592762368,499999834112,25000000000,72121.67345826633,839839644462,36697400355854,0,0,23040,2
1668550861.680515,823356.8249999998,800,3000,195784617984,201420431360,457592762368,499999834112,25000000000,2922.863476341896,839839644647,36697400356028,0,0,23040,2
1668550862.6815567,880826.65,800,3000,195784400896,201420431360,457592762368,499999834112,25000000000,15631.71720969935,839839645561,36697400357070,0,0,23040,2
1668550863.678985,1683611.9249999998,800,3000,195686559744,201420431360,457592762368,499999834112,25000000000,11084.50472162424,839839646343,36697400357670,0,0,23040,2
1668550864.678843,2178496.075,800,3000,195439964160,201420431360,457592762368,499999834112,25000000000,25107.567721930092,839839647863,36697400359288,0,0,23040,2
1668550865.678162,1375127.7750000006,800,3000,195057549312,201420431360,457592762368,499999834112,25000000000,152143.59814555733,839839653364,36697400372792,0,0,23040,2
1668550866.6798337,1827674.9999999988,800,3000,194009595904,201420431360,457592762368,499999834112,25000000000,49501.2560438815,839839655824,36697400376530,7,0,23040,578
1668550867.6812532,1340588.3500000003,800,3000,192607526912,201420431360,457592762368,499999834112,25000000000,21577.369969178082,839839656771,36697400378284,7,0,23040,1076
