unix,cpu_freq_current,cpu_freq_min,cpu_freq_max,memory_available,memory_total,disk_free,disk_total,net_speed,net_speed_used,net_byte_recv,net_byte_sent,gpu_util,gpu_memory_util,gpu_memory_total,gpu_memory_used
1668550492.9503644,895087.675,800,3000,195953344512,201420431360,457592782848,499999834112,25000000000,0,835768864153,36695963596300,0,0,23040,0
1668550494.1979244,817302.7249999999,800,3000,195952336896,201420431360,457592782848,499999834112,25000000000,150995.54036409114,835768881286,36695963602714,0,0,23040,0
1668550495.1792803,875276.0000000002,800,3000,195951837184,201420431360,457592782848,499999834112,25000000000,62199.65626727209,835768885636,36695963605994,0,0,23040,0
1668550496.1816294,828426.5250000001,800,3000,195951677440,201420431360,457592782848,499999834112,25000000000,9170.457327830525,835768886259,36695963606520,0,0,23040,0
1668550497.2021952,803646.125,800,3000,195951775744,201420431360,457592782848,499999834112,25000000000,59010.40683106404,835768889761,36695963610546,0,0,23040,0
1668550498.1828926,826470.8999999999,800,3000,195951775744,201420431360,457592782848,499999834112,25000000000,12154.615766300063,835768890520,36695963611277,0,0,23040,0
1668550499.2022247,803445.8750000001,800,3000,195951775744,201420431360,457592782848,499999834112,25000000000,85781.65443191251,835768899654,36695963613073,0,0,23040,0
1668550500.1859221,824501.0999999999,800,3000,195951734784,201420431360,457592782848,499999834112,25000000000,82163.47711907582,835768903263,36695963619567,0,0,23040,0
1668550501.1831908,909689.5999999997,800,3000,195881537536,201420431360,457592782848,499999834112,25000000000,1000062967.2260355,835893302467,36695963886797,0,0,23040,0
1668550502.1870694,936712.9499999998,800,3000,195918262272,201420431360,457592782848,499999834112,25000000000,1829780951.595677,836122464076,36695964334929,0,0,23040,0
1668550503.187708,865784.225,800,3000,195896123392,201420431360,457592782848,499999834112,25000000000,1022717466.2847313,836250113083,36695964607229,0,0,23040,0
1668550504.1896074,898032.0999999997,800,3000,195873849344,201420431360,457592782848,499999834112,25000000000,2253745429.7836347,836531878890,36695965094719,0,0,23040,0
1668550505.1891243,1879950.6,800,3000,195826196480,201420431360,457592782848,499999834112,25000000000,255153808.48556322,836563640350,36695965212079,0,0,23040,0
1668550506.190974,988986.4750000003,800,3000,195747926016,201420431360,457592782848,499999834112,25000000000,2537045023.2814956,836722513490,36696124056148,0,0,23040,2
1668550507.1913095,828580.325,800,3000,195747811328,201420431360,457592782848,499999834112,25000000000,52910.25099488501,836722516466,36696124059788,0,0,23040,2
1668550508.1937625,867490.9999999998,800,3000,195748311040,201420431360,457592782848,499999834112,25000000000,21794.536068532674,836722517849,36696124061136,0,0,23040,2
1668550509.1945376,823062.6000000002,800,3000,195748081664,201420431360,457592782848,499999834112,25000000000,25068.569381937818,836722519039,36696124063082,0,0,23040,2
1668550510.2142873,800502.9999999999,800,3000,195748065280,201420431360,457592782848,499999834112,25000000000,205658.32188799058,836722524576,36696124083760,0,0,23040,2
1668550511.1944227,908908.8250000001,800,3000,195699970048,201420431360,457592782848,499999834112,25000000000,37349.94009514992,836722527330,36696124085582,0,0,23040,2
1668550512.1947641,1631148.8249999995,800,3000,195598565376,201420431360,457592782848,499999834112,25000000000,328679.78365845705,836722549017,36696124104994,0,0,23040,2
1668550513.1924994,2131256.8,800,3000,195386142720,201420431360,457592782848,499999834112,25000000000,8787.902297000697,836722549531,36696124105576,0,0,23040,2
1668550514.1969554,1510964.35,800,3000,195092594688,201420431360,457592782848,499999834112,25000000000,343765740.992535,836765632102,36696124185202,2,0,23040,154
1668550515.2178328,901445.0499999999,800,3000,195065257984,201420431360,457592782848,499999834112,25000000000,2200645967.0576153,837045967886,36696124673124,0,0,23040,190
1668550516.2008264,903341.05,800,3000,194978476032,201420431360,457592782848,499999834112,25000000000,1978373867.9012344,837288674629,36696125057488,1,0,23040,220
1668550517.2165391,848810.05,800,3000,194875662336,201420431360,457592782848,499999834112,25000000000,1876105659.246324,837526510801,36696125419368,0,0,23040,254
1668550518.2027464,910297.0000000001,800,3000,194619662336,201420431360,457592782848,499999834112,25000000000,1607431814.3324282,837724381219,36696125706563,1,0,23040,328
1668550519.22177,825105.2749999999,800,3000,194510249984,201420431360,457592782848,499999834112,25000000000,1011998943.373663,837853095539,36696125898601,2,0,23040,398
1668550520.2041848,884820.6250000001,800,3000,194059554816,201420431360,457592782848,499999834112,25000000000,551448356.4059559,837920694754,36696126018259,2,0,23040,546
1668550521.2259953,996257.7250000002,800,3000,193908813824,201420431360,457592782848,499999834112,25000000000,1292890256.1910539,838085385593,36696126463530,1,0,23040,750
1668550522.19906,1961563.275,800,3000,193842028544,201420431360,457592782848,499999834112,25000000000,538360334.0888382,838144457061,36696132874489,34,11,23040,838
1668550523.20009,2439022.0749999993,800,3000,193841602560,201420431360,457592782848,499999834112,25000000000,170557155.5429817,838155127202,36696143545951,34,11,23040,838
1668550524.200965,2390736.4249999993,800,3000,193842790400,201420431360,457592782848,499999834112,25000000000,160315492.55556893,838165155225,36696153574899,35,12,23040,838
1668550525.2019863,2435078.1500000004,800,3000,193837531136,201420431360,457592782848,499999834112,25000000000,180534516.71782228,838176449719,36696164870269,48,16,23040,838
1668550526.2028754,2493534.0999999996,800,3000,193837563904,201420431360,457592782848,499999834112,25000000000,194221924.49616283,838188598933,36696177020380,48,16,23040,838
1668550527.204044,2462892.3749999995,800,3000,193837260800,201420431360,457592782848,499999834112,25000000000,171935933.6816341,838199340517,36696187795906,41,14,23040,838
1668550528.2050197,2455198.1,800,3000,193839976448,201420431360,457592782848,499999834112,25000000000,204880253.01694837,838212157635,36696200613805,47,16,23040,838
1668550529.2058575,2494898.9499999997,800,3000,193838673920,201420431360,457592782848,499999834112,25000000000,214028782.06848988,838225545321,36696214002131,48,16,23040,838
1668550530.2259355,2497996.25,800,3000,193844686848,201420431360,457592782848,499999834112,25000000000,221754607.45373595,838239682854,36696228140471,27,9,23040,838
1668550531.2078373,2494551.3249999997,800,3000,193842851840,201420431360,457592782848,499999834112,25000000000,207474823.40467098,838252414751,36696240873564,48,16,23040,838
1668550532.2087688,2494933.1749999993,800,3000,193843970048,201420431360,457592782848,499999834112,25000000000,213158618.4509316,838265729613,36696254228349,47,16,23040,838
1668550533.2259705,2497394.025,800,3000,193844924416,201420431360,457592782848,499999834112,25000000000,190785972.18008307,838277858179,36696266358259,47,16,23040,838
