unix,cpu_freq_current,cpu_freq_min,cpu_freq_max,memory_available,memory_total,disk_free,disk_total,net_speed,net_speed_used,net_byte_recv,net_byte_sent,net_util,gpu_util,gpu_memory_util,gpu_memory_total,gpu_memory_used
1668551549.2473004,877756.1499999999,800,3000,195958624256,201420431360,457592741888,499999834112,25000000000,0,841589763580,36699152243504,0,0,0,23040,0
1668551550.5057266,818602.775,800,3000,195958374400,201420431360,457592741888,499999834112,25000000000,60500.96592072103,841589769333,36699152247268,0.00024200386368200002,0,0,23040,0
1668551551.4857142,839078.5499999999,800,3000,195958628352,201420431360,457592741888,499999834112,25000000000,24775.823155407572,841589771152,36699152248484,9.910329262163031e-05,0,0,23040,0
1668551552.5058877,800515.0249999999,800,3000,195959246848,201420431360,457592741888,499999834112,25000000000,134361.45256534478,841589778420,36699152258350,0.000537445810261,0,0,23040,0
1668551553.4878917,822304.3749999998,800,3000,195959640064,201420431360,457592741888,499999834112,25000000000,46427.51290065147,841589781473,36699152260996,0.00018571005160200003,0,0,23040,0
1668551554.4883158,1490439.7750000004,800,3000,195866554368,201420431360,457592741888,499999834112,25000000000,154766.35636806994,841589795123,36699152266700,0.000619065425472,0,0,23040,0
1668551555.4898825,985638.5499999999,800,3000,195787354112,201420431360,457592741888,499999834112,25000000000,2537486163.1511645,841748642585,36699311101927,10.149944652604658,0,0,23040,2
1668551556.4907165,861572.3499999997,800,3000,195787300864,201420431360,457592741888,499999834112,25000000000,14995.4939351594,841748643449,36699311102939,5.99819757406376e-05,0,0,23040,2
1668551557.4922109,826358.7,800,3000,195787567104,201420431360,457592741888,499999834112,25000000000,98069.44427187536,841748648930,36699311109735,0.000392277777087,0,0,23040,2
1668551558.4932199,847915.1249999999,800,3000,195728551936,201420431360,457592741888,499999834112,25000000000,115603.3576656244,841748653988,36699311119142,0.00046241343066200005,0,0,23040,2
1668551559.4938385,937175,800,3000,195778699264,201420431360,457592741888,499999834112,25000000000,64432.13608142584,841748657668,36699311123521,0.00025772854432500004,0,0,23040,2
1668551560.495357,888305.2000000001,800,3000,195729117184,201420431360,457592741888,499999834112,25000000000,42719.13151440257,841748659206,36699311127331,0.00017087652605700003,0,0,23040,2
1668551561.5132656,1332682.3250000002,800,3000,195580469248,201420431360,457592741888,499999834112,25000000000,35052.26396665775,841748660369,36699311130628,0.000140209055866,0,0,23040,2
1668551562.4943337,2167378.5500000003,800,3000,195311742976,201420431360,457592741888,499999834112,25000000000,53981.979587343354,841748663421,36699311134196,0.00021592791834900002,0,0,23040,2
1668551563.4976022,1769438.1500000004,800,3000,194535837696,201420431360,457592741888,499999834112,25000000000,121921.50197254619,841748666629,36699311146278,0.00048768600789000005,2,0,23040,370
1668551564.5175188,1158927.6750000003,800,3000,193119358976,201420431360,457592741888,499999834112,25000000000,42215.2191348905,841748668491,36699311149798,0.00016886087653900003,7,0,23040,894
1668551565.4990225,1434644.7750000001,800,3000,192329420800,201420431360,457592741888,499999834112,25000000000,7112816.611705665,841749104175,36699311586771,0.028451266446822002,17,1,23040,1720
1668551566.4959638,1948842.3500000003,800,3000,192244240384,201420431360,457592741888,499999834112,25000000000,30186988.09377648,841750984707,36699313468071,0.12074795237510501,95,60,23040,2490
1668551567.494384,1957359.25,800,3000,192242843648,201420431360,457592741888,499999834112,25000000000,44127046.208935834,841753737630,36699316222315,0.17650818483574301,95,63,23040,2534
1668551568.515453,1556091.9000000004,800,3000,192244334592,201420431360,457592741888,499999834112,25000000000,38918927.18363527,841756220730,36699318706579,0.155675708734541,93,66,23040,2534
1668551569.4993205,1979167.2250000003,800,3000,192241930240,201420431360,457592741888,499999834112,25000000000,37738459.20870713,841758530766,36699321037748,0.15095383683482802,94,60,23040,2534
