unix,cpu_freq_current,cpu_freq_min,cpu_freq_max,memory_available,memory_total,disk_free,disk_total,net_speed,net_speed_used,net_byte_recv,net_byte_sent,net_util,gpu_util,gpu_memory_util,gpu_memory_total,gpu_memory_used
1668553172.3859413,865831.725,800,3000,195958870016,201420431360,457592688640,499999834112,25000000000,0,843184455920,36700747130379,0,0,0,23040,0
1668553173.509622,808177.0249999999,800,3000,195957891072,201420431360,457592688640,499999834112,25000000000,52591.44627385314,843184460320,36700747133366,0.000210365785095,0,0,23040,0
1668553174.489433,860585.5499999998,800,3000,195907235840,201420431360,457592688640,499999834112,25000000000,48629.78909073212,843184462824,36700747136818,0.00019451915636200002,0,0,23040,0
1668553175.4907491,864720.1750000002,800,3000,195959975936,201420431360,457592688640,499999834112,25000000000,67551.0979888681,843184467069,36700747141028,0.000270204391955,0,0,23040,0
1668553176.5100174,800408.8750000001,800,3000,195953045504,201420431360,457592688640,499999834112,25000000000,109090.0235029605,843184471481,36700747150515,0.00043636009401100005,0,0,23040,0
1668553177.4927928,857599.5750000002,800,3000,195958583296,201420431360,457592688640,499999834112,25000000000,25682.367224729194,843184473312,36700747151839,0.000102729468898,0,0,23040,0
1668553178.4936528,829705.725,800,3000,195959922688,201420431360,457592688640,499999834112,25000000000,36680.45569522555,843184475700,36700747154040,0.00014672182278000002,0,0,23040,0
1668553179.5138714,800578.9749999996,800,3000,195959042048,201420431360,457592688640,499999834112,25000000000,129485.97350241533,843184483473,36700747162780,0.0005179438940090001,0,0,23040,0
1668553180.495755,835318.9499999998,800,3000,195958312960,201420431360,457592688640,499999834112,25000000000,38049.319513451854,843184485813,36700747165110,0.00015219727805300002,0,0,23040,0
1668553181.5179162,800502.85,800,3000,195958116352,201420431360,457592688640,499999834112,25000000000,80136.08456879752,843184488760,36700747172402,0.00032054433827500005,0,0,23040,0
1668553182.4977598,824690.3249999998,800,3000,195959361536,201420431360,457592688640,499999834112,25000000000,23513.95632155828,843184489990,36700747174052,9.405582528623312e-05,0,0,23040,0
1668553183.4975584,882376.9,800,3000,195904073728,201420431360,457592688640,499999834112,25000000000,33798.80923314142,843184492496,36700747175770,0.00013519523693200002,0,0,23040,0
1668553184.4998477,1179303.9250000003,800,3000,195790483456,201420431360,457592688640,499999834112,25000000000,2535298449.437924,843343313005,36700905993073,10.141193797751695,0,0,23040,2
1668553185.5219226,808436.6999999998,800,3000,195790856192,201420431360,457592688640,499999834112,25000000000,64065.75249720485,843343317324,36700905996939,0.000256263009988,0,0,23040,2
1668553186.5018728,837894.0999999999,800,3000,195791921152,201420431360,457592688640,499999834112,25000000000,2449.1040723233295,843343317450,36700905997113,9.796416289293317e-06,0,0,23040,2
1668553187.5218232,802560.7000000002,800,3000,195792814080,201420431360,457592688640,499999834112,25000000000,104671.7576277787,843343320633,36700906007275,0.00041868703051100003,0,0,23040,2
1668553188.5029747,847637.1499999998,800,3000,195791564800,201420431360,457592688640,499999834112,25000000000,34082.39934992982,843343322863,36700906009225,0.000136329597399,0,0,23040,2
1668553189.5256798,870433.15,800,3000,195777806336,201420431360,457592688640,499999834112,25000000000,27620.86607782287,843343324432,36700906011187,0.00011048346431100001,0,0,23040,2
1668553190.5054693,1627635.8750000002,800,3000,195674554368,201420431360,457592688640,499999834112,25000000000,48745.1643653114,843343327342,36700906014247,0.000194980657461,0,0,23040,2
1668553191.5013816,2109488.6500000004,800,3000,195405807616,201420431360,457592688640,499999834112,25000000000,132598.01913788775,843343341375,36700906016721,0.000530392076551,0,0,23040,2
1668553192.506409,1352102.55,800,3000,195155943424,201420431360,457592688640,499999834112,25000000000,149329.2777939882,843343345853,36700906031003,0.0005973171111750001,0,0,23040,10
1668553193.5293632,1021094.3499999997,800,3000,194463944704,201420431360,457592688640,499999834112,25000000000,53890.97441861603,843343349180,36700906034567,0.00021556389767400002,4,0,23040,402
1668553194.509821,1048993.725,800,3000,193894977536,201420431360,457592688640,499999834112,25000000000,98859.94247360018,843343354388,36700906041475,0.00039543976989400004,3,0,23040,780
1668553195.50997,1386737.7999999996,800,3000,193899315200,201420431360,457592692736,499999834112,25000000000,31969148.22569059,843345352438,36700908040164,0.12787659290276202,79,55,23040,1248
1668553196.5108838,1438685.9249999993,800,3000,193899679744,201420431360,457592692736,499999834112,25000000000,39440101.33156112,843347819155,36700910507965,0.15776040532624402,87,62,23040,1248
1668553197.5331836,1513881.1,800,3000,193899659264,201420431360,457592692736,499999834112,25000000000,41094787.82545974,843350444501,36700913134018,0.164379151301838,87,58,23040,1248
1668553198.5136888,1442723.125,800,3000,193900109824,201420431360,457592692736,499999834112,25000000000,33618464.294988714,843352492760,36700915206144,0.134473857179954,82,57,23040,1248
1668553199.5145488,1432282.2500000002,800,3000,193899876352,201420431360,457592692736,499999834112,25000000000,43689156.3821415,843355224503,36700917940242,0.17475662552856602,83,60,23040,1248
1668553200.536991,1558801.3749999995,800,3000,193901076480,201420431360,457592692736,499999834112,25000000000,36287832.74059126,843357542782,36700920259739,0.14515133096236502,76,53,23040,1296
1668553201.516663,1447819.3500000003,800,3000,193901408256,201420431360,457592692736,499999834112,25000000000,34027749.506675884,843359626180,36700922343346,0.136110998026703,76,54,23040,1296
1668553202.537343,1123364.8250000004,800,3000,193898774528,201420431360,457592692736,499999834112,25000000000,35821077.875018276,843361910746,36700924629012,0.143284311500073,80,57,23040,1296
1668553203.5178597,1436292.35,800,3000,193899372544,201420431360,457592692736,499999834112,25000000000,35245744.393893376,843364063160,36700926796478,0.14098297757557302,82,55,23040,1296
1668553204.5413954,1558210.075,800,3000,193899765760,201420431360,457592692736,499999834112,25000000000,40290689.277906924,843366640393,36700929374115,0.161162757111627,82,58,23040,1296
1668553205.5191355,1439140.5,800,3000,193899388928,201420431360,457592692736,499999834112,25000000000,38560637.89613062,843368996266,36700931731027,0.15424255158452202,83,59,23040,1296
1668553206.5405319,1283473.8750000002,800,3000,193899851776,201420431360,457592692736,499999834112,25000000000,33554048.211687688,843371137735,36700933873556,0.13421619284675002,87,62,23040,1296
1668553207.5227866,1451887.2000000004,800,3000,193899716608,201420431360,457592692736,499999834112,25000000000,37846353.243008584,843373460749,36700936197387,0.151385412972034,81,55,23040,1296
1668553208.523665,1485706.8500000003,800,3000,193832529920,201420431360,457592692736,499999834112,25000000000,32922762.81654926,843375513147,36700938263949,0.131691051266197,84,56,23040,1296
1668553209.524722,1482866.7000000002,800,3000,193896374272,201420431360,457592692736,499999834112,25000000000,49781381.71289373,843378627546,36700941378801,0.199125526851574,85,57,23040,1296
1668553210.5259337,1455783.2750000001,800,3000,193895337984,201420431360,457592692736,499999834112,25000000000,36762656.7762049,843380927465,36700943679782,0.147050627104819,80,55,23040,1296
1668553211.526628,1479398.975,800,3000,193896017920,201420431360,457592692736,499999834112,25000000000,37965489.5134756,843383301331,36700946054897,0.151861958053902,87,60,23040,1296
1668553212.5278554,1462959.025,800,3000,193896194048,201420431360,457592692736,499999834112,25000000000,34395367.853123695,843385453245,36700948207681,0.13758147141249402,83,56,23040,1296
1668553213.5485623,1340863.6749999998,800,3000,193896083456,201420431360,457592692736,499999834112,25000000000,33799955.96183553,843387598395,36700950375012,0.135199823847342,88,62,23040,1296
1668553214.5298808,1438588.975,800,3000,193895370752,201420431360,457592692736,499999834112,25000000000,33264079.777349956,843389638033,36700952415706,0.13305631910939902,83,59,23040,1296
1668553215.5486217,1353218.5499999998,800,3000,193896292352,201420431360,457592692736,499999834112,25000000000,34590613.042563744,843391840055,36700954618543,0.138362452170254,88,63,23040,1296
1668553216.5312166,1402960.9000000001,800,3000,193896468480,201420431360,457592692736,499999834112,25000000000,34094536.5373564,843393933442,36700956712796,0.136378146149425,84,56,23040,1296
1668553217.5535426,989929.925,800,3000,193896607744,201420431360,457592692736,499999834112,25000000000,31180277.35891077,843395925217,36700958705572,0.124721109435643,83,56,23040,1296
1668553218.5332778,1451246.6749999993,800,3000,193896243200,201420431360,457592692736,499999834112,25000000000,34994217.04814364,843398057011,36700960859411,0.13997686819257402,81,56,23040,1296
1668553219.5535278,1615499.1000000006,800,3000,193896464384,201420431360,457592692736,499999834112,25000000000,40679336.1074677,843400650731,36700963453578,0.16271734442987001,82,56,23040,1296
1668553220.5353355,1463518.9249999998,800,3000,193896751104,201420431360,457592692736,499999834112,25000000000,31319680.75444779,843402572235,36700965375812,0.125278723017791,77,52,23040,1296
1668553221.557341,1587354.2500000002,800,3000,193896996864,201420431360,457592692736,499999834112,25000000000,33352358.734956965,843404702007,36700967506827,0.13340943493982702,79,54,23040,1296
1668553222.5384333,1444028.7000000002,800,3000,193897005056,201420431360,457592692736,499999834112,25000000000,39697145.10118715,843407135734,36700969941420,0.15878858040474803,76,52,23040,1296
1668553223.5565648,1309046.1250000002,800,3000,193897607168,201420431360,457592692736,499999834112,25000000000,40463991.36227286,843409703669,36700972523193,0.161855965449091,81,57,23040,1296
1668553224.5401328,1449060.4749999996,800,3000,193898049536,201420431360,457592692736,499999834112,25000000000,42933940.52387185,843412342419,36700975162999,0.17173576209548702,88,62,23040,1296
1668553225.5390296,1474794.1,800,3000,193831202816,201420431360,457592692736,499999834112,25000000000,34950099.648582935,843414525004,36700977344357,0.13980039859433102,74,53,23040,1296
1668553226.5611908,1429030.6000000006,800,3000,193899073536,201420431360,457592692736,499999834112,25000000000,42327083.12605991,843417228442,36700980049057,0.16930833250423902,82,58,23040,1296
1668553227.5424798,1433463.1500000001,800,3000,193899044864,201420431360,457592692736,499999834112,25000000000,35909775.035729416,843419430354,36700982251878,0.143639100142917,76,54,23040,1296
1668553228.561388,1586982.75,800,3000,193898848256,201420431360,457592692736,499999834112,25000000000,41002474.459898196,843422030763,36700984873689,0.16400989783959202,82,57,23040,1296
1668553229.545645,1448041.5999999999,800,3000,193898692608,201420431360,457592692736,499999834112,25000000000,35728872.25025283,843424228936,36700987071315,0.142915489001011,79,54,23040,1296
1668553230.5651834,1476482.0999999999,800,3000,193898364928,201420431360,457592692736,499999834112,25000000000,44181704.08001395,843427043630,36700989887239,0.17672681632005502,74,50,23040,1296
1668553231.5472,1463067.5500000003,800,3000,193898758144,201420431360,457592692736,499999834112,25000000000,32930564.722375717,843429064120,36700991909044,0.131722258889502,81,56,23040,1296
1668553232.5692754,1502919.7249999999,800,3000,193898684416,201420431360,457592692736,499999834112,25000000000,40471314.9409407,843431648868,36700994494888,0.161885259763762,87,59,23040,1296
1668553233.5491157,1452707.1750000003,800,3000,193898950656,201420431360,457592692736,499999834112,25000000000,38666750.925107814,843434006054,36700996873607,0.15466700370043102,84,58,23040,1296
1668553234.569265,1468903.725,800,3000,193898852352,201420431360,457592692736,499999834112,25000000000,34836299.358536564,843436227005,36700999094934,0.139345197434146,84,60,23040,1296
1668553235.5504963,1520281.425,800,3000,193898782720,201420431360,457592692736,499999834112,25000000000,37673990.12844984,843438536998,36701001405804,0.15069596051379902,82,59,23040,1296
1668553236.5692768,1622197.25,800,3000,193898692608,201420431360,457592692736,499999834112,25000000000,34797910.88228688,843440752488,36701003621743,0.139191643529147,88,61,23040,1296
1668553237.5525143,1478036.1,800,3000,193903202304,201420431360,457592692736,499999834112,25000000000,79538796.6849908,843445639863,36701008510059,0.318155186739963,80,54,23040,1296
1668553238.5724685,1450751.1500000004,800,3000,193901264896,201420431360,457592692736,499999834112,25000000000,34420910.118379675,843447823879,36701010714512,0.137683640473518,84,60,23040,1296
1668553239.5553846,1522241.5500000003,800,3000,193901748224,201420431360,457592692736,499999834112,25000000000,41614839.05333294,843450379526,36701013271852,0.16645935621333102,82,59,23040,1296
1668553240.5765564,1478963.7,800,3000,193901715456,201420431360,457592692736,499999834112,25000000000,36898597.95957185,843452734168,36701015627186,0.14759439183828701,87,62,23040,1296
1668553241.5565906,1515241.6749999998,800,3000,193901842432,201420431360,457592692736,499999834112,25000000000,34710293.80629262,843454859796,36701017753717,0.13884117522517,87,60,23040,1296
1668553242.5772882,1607926.7500000002,800,3000,193901268992,201420431360,457592692736,499999834112,25000000000,40355114.24214434,843457433802,36701020328507,0.16142045696857701,85,58,23040,1296
1668553243.5585566,1615030.8250000002,800,3000,193901719552,201420431360,457592692736,499999834112,25000000000,45433571.21384112,843460220925,36701023114200,0.18173428485536403,81,56,23040,1296
1668553244.5770502,1808176.8249999997,800,3000,193890832384,201420431360,457592692736,499999834112,25000000000,35914136.44633547,843462497873,36701025409542,0.143656545785341,80,58,23040,1296
1668553245.5609372,1690809.3,800,3000,193901363200,201420431360,457592692736,499999834112,25000000000,38556795.29401479,843464869005,36701027780351,0.15422718117605902,89,61,23040,1296
1668553246.5579312,1755508.1250000002,800,3000,193901961216,201420431360,457592692736,499999834112,25000000000,38631565.76990771,843467276020,36701030187766,0.15452626307963002,82,56,23040,1296
1668553247.5809786,1947729.4500000002,800,3000,193902325760,201420431360,457592692736,499999834112,25000000000,34804868.62783723,843469501423,36701032413242,0.139219474511348,88,62,23040,1296
1668553248.5638218,1787336.3249999997,800,3000,193902915584,201420431360,457592692736,499999834112,25000000000,37230127.3140794,843471788404,36701034700183,0.148920509256317,89,63,23040,1296
1668553249.5822515,1625929.7999999998,800,3000,193900662784,201420431360,457592692736,499999834112,25000000000,42684667.97721512,843474495446,36701037427058,0.17073867190886002,82,58,23040,1296
1668553250.565794,1859975.175,800,3000,193900560384,201420431360,457592692736,499999834112,25000000000,37245790.749531426,843476785094,36701039716512,0.148983162998125,86,62,23040,1296
1668553251.5849562,1929113.6499999997,800,3000,193900142592,201420431360,457592692736,499999834112,25000000000,35314473.766316794,843479034429,36701041966074,0.141257895065267,82,55,23040,1296
1668553252.5666008,1803475.425,800,3000,193903960064,201420431360,457592692736,499999834112,25000000000,44255477.64762481,843481749602,36701044681295,0.17702191059049902,87,61,23040,1296
1668553253.5671337,1852454.4250000003,800,3000,193904332800,201420431360,457592692736,499999834112,25000000000,34812497.620203696,843483927182,36701046857596,0.13924999048081402,83,56,23040,1296
1668553254.5692158,1831763.175,800,3000,193903751168,201420431360,457592692736,499999834112,25000000000,38431788.809290044,843486325747,36701049273007,0.15372715523716002,82,60,23040,1296
1668553255.5884392,1778701.3749999993,800,3000,193903697920,201420431360,457592692736,499999834112,25000000000,41163205.118119046,843488947834,36701051895233,0.164652820472476,88,62,23040,1296
1668553256.5714858,1851523.3749999995,800,3000,193904054272,201420431360,457592692736,499999834112,25000000000,38422596.2687197,843491308356,36701054256111,0.153690385074878,84,56,23040,1296
1668553257.5909016,1723874.1249999988,800,3000,193903403008,201420431360,457592692736,499999834112,25000000000,36067235.76542259,843493606390,36701056554016,0.14426894306169002,84,61,23040,1296
1668553258.5714192,1854512.4250000003,800,3000,193903497216,201420431360,457592692736,499999834112,25000000000,36218967.47721302,843495825952,36701058773621,0.144875869908852,89,62,23040,1296
1668553259.5930247,1917008.375,800,3000,193903161344,201420431360,457592692736,499999834112,25000000000,34100560.62261081,843497994011,36701060960227,0.136402242490443,84,58,23040,1296
