unix,cpu_freq_current,cpu_freq_min,cpu_freq_max,memory_available,memory_total,disk_free,disk_total,net_speed,net_speed_used,net_byte_recv,net_byte_sent,net_util,gpu_util,gpu_memory_util,gpu_memory_total,gpu_memory_used
1668551167.3534715,848184.425,800,3000,195958341632,201420431360,457592754176,499999834112,25000000000,0,840635324088,36698196891733,0,0,0,23040,0
1668551168.5856779,800445.525,800,3000,195956158464,201420431360,457592754176,499999834112,25000000000,91361.32149695602,840635331586,36698196898307,0.00036544528598700003,0,0,23040,0
1668551169.5651443,842731.7000000001,800,3000,195926618112,201420431360,457592754176,499999834112,25000000000,44995.92663612597,840635334911,36698196900491,0.00017998370654400002,0,0,23040,0
1668551170.5663195,859622.0249999999,800,3000,195957411840,201420431360,457592754176,499999834112,25000000000,14478.984801272041,840635335751,36698196901463,5.791593920508817e-05,0,0,23040,0
1668551171.5668664,866480.5250000001,800,3000,195939794944,201420431360,457592754176,499999834112,25000000000,5508.9869575308385,840635336164,36698196901739,2.203594783012335e-05,0,0,23040,0
1668551172.5676763,1111559.3500000003,800,3000,195789443072,201420431360,457592754176,499999834112,25000000000,385864493.29345566,840659471973,36698221038056,1.543457973173822,0,0,23040,2
1668551173.589765,818460.225,800,3000,195787476992,201420431360,457592754176,499999834112,25000000000,2108665203.5399668,840794174050,36698355741356,8.434660814159866,0,0,23040,2
1668551174.5704231,861558.5749999998,800,3000,195786125312,201420431360,457592754176,499999834112,25000000000,56435.57380108519,840794177590,36698355744734,0.00022574229520400002,0,0,23040,2
1668551175.570582,822879.7499999999,800,3000,195786104832,201420431360,457592754176,499999834112,25000000000,3351.46783123598,840794177835,36698355744908,1.3405871324943921e-05,0,0,23040,2
1668551176.5938191,800535.9999999999,800,3000,195785859072,201420431360,457592754176,499999834112,25000000000,12822.051070794134,840794178567,36698355745816,5.128820428317655e-05,0,0,23040,2
1668551177.573604,823759.8000000002,800,3000,195786616832,201420431360,457592754176,499999834112,25000000000,3421.1588440098544,840794178812,36698355745990,1.3684635376039413e-05,0,0,23040,2
1668551178.5739582,1477785.2000000002,800,3000,195695104000,201420431360,457592754176,499999834112,25000000000,146852.006813498,840794185006,36698355758159,0.0005874080272530001,0,0,23040,2
1668551179.5711033,2215105.075,800,3000,195468005376,201420431360,457592754176,499999834112,25000000000,26307.102148324022,840794186939,36698355759505,0.00010522840859300001,0,0,23040,2
1668551180.5754683,1431371.6249999998,800,3000,195085643776,201420431360,457592754176,499999834112,25000000000,37723.33885769684,840794188223,36698355762957,0.00015089335543,0,0,23040,2
1668551181.576664,1760972.6499999992,800,3000,194029776896,201420431360,457592754176,499999834112,25000000000,21246.596099986687,840794189128,36698355764711,8.498638439994674e-05,7,0,23040,578
1668551182.5976348,1230683.8499999996,800,3000,192600350720,201420431360,457592754176,499999834112,25000000000,51198.328987810644,840794191680,36698355768693,0.00020479331595100003,6,0,23040,1066
1668551183.5746884,1825116.7750000004,800,3000,192244097024,201420431360,457592754176,499999834112,25000000000,16195335.972740272,840795176388,36698356761949,0.064781343890961,91,66,23040,2448
1668551184.5735383,1931962.4500000002,800,3000,192236589056,201420431360,457592754176,499999834112,25000000000,40470994.95502831,840797702592,36698359288801,0.16188397982011302,99,68,23040,2490
1668551185.5772488,1935160.4749999999,800,3000,192237047808,201420431360,457592754176,499999834112,25000000000,47946422.39949908,840800709989,36698362296945,0.19178568959799602,99,68,23040,2534
1668551186.575308,1918055.7000000002,800,3000,192210890752,201420431360,457592754176,499999834112,25000000000,38695224.87673966,840803123233,36698364711217,0.154780899506958,99,68,23040,2580
1668551187.5960178,1962737.0250000004,800,3000,192237043712,201420431360,457592754176,499999834112,25000000000,43854527.5646047,840805920451,36698367509342,0.17541811025841803,99,65,23040,2580
1668551188.5766292,1896806.7999999996,800,3000,192237731840,201420431360,457592754176,499999834112,25000000000,40389384.680884086,840808383101,36698369997478,0.161557538723536,98,63,23040,2628
1668551189.5778635,1924954.0249999997,800,3000,192237916160,201420431360,457592754176,499999834112,25000000000,37810714.50037183,840810749443,36698372363309,0.151242858001487,98,66,23040,2628
1668551190.58042,1930351.2500000002,800,3000,192238383104,201420431360,457592754176,499999834112,25000000000,37634489.07938427,840813107128,36698374721962,0.15053795631753702,99,68,23040,2628
1668551191.5804775,1925069.0749999995,800,3000,192236257280,201420431360,457592754176,499999834112,25000000000,38220515.89205694,840815495624,36698377111305,0.152882063568227,99,67,23040,2628
1668551192.5981085,2056130.8250000007,800,3000,192236662784,201420431360,457592754176,499999834112,25000000000,49414671.266240485,840818638009,36698380254658,0.197658685064961,99,68,23040,2628
1668551193.581647,1927084.3749999998,800,3000,192236236800,201420431360,457592754176,499999834112,25000000000,34563100.30505818,840820754663,36698382387271,0.13825240122023202,99,65,23040,2628
1668551194.582113,1889471.6750000003,800,3000,192237305856,201420431360,457592754176,499999834112,25000000000,39670245.36849227,840823235254,36698384867772,0.158680981473969,98,63,23040,2628
1668551195.6051967,2119064.0500000003,800,3000,192236900352,201420431360,457592754176,499999834112,25000000000,37512559.81704374,840825633205,36698387267132,0.150050239268174,98,66,23040,2628
1668551196.5845857,1891813.7249999996,800,3000,192233963520,201420431360,457592754176,499999834112,25000000000,53575250.036437996,840828912159,36698390547054,0.214301000145751,99,67,23040,2676
1668551197.5856612,1908728.0749999997,800,3000,192233578496,201420431360,457592754176,499999834112,25000000000,38558234.37946563,840831324114,36698392960062,0.15423293751786202,99,67,23040,2676
1668551198.5893073,1931232.1749999998,800,3000,192233484288,201420431360,457592754176,499999834112,25000000000,42460981.515142664,840833979480,36698395631671,0.16984392606057,99,66,23040,2676
1668551199.5875905,1914247.2250000006,800,3000,192233254912,201420431360,457592754176,499999834112,25000000000,39323969.442983374,840836432550,36698398085658,0.15729587777193302,98,63,23040,2676
1668551200.5882046,1897640.9499999995,800,3000,192234332160,201420431360,457592754176,499999834112,25000000000,32695519.515068337,840838476872,36698400130786,0.130782078060273,98,66,23040,2676
1668551201.6078637,2092045.900000001,800,3000,192233009152,201420431360,457592754176,499999834112,25000000000,34683319.15951328,840840686702,36698402341601,0.13873327663805302,99,67,23040,2676
1668551202.590777,1946237.95,800,3000,192233820160,201420431360,457592754176,499999834112,25000000000,39100418.859404795,840843088238,36698404744105,0.15640167543761901,99,67,23040,2676
1668551203.614059,1905606.95,800,3000,192232894464,201420431360,457592754176,499999834112,25000000000,35538416.7653387,840845360651,36698407017420,0.14215366706135402,99,67,23040,2676
1668551204.5962572,1909851.9500000002,800,3000,192233312256,201420431360,457592754176,499999834112,25000000000,33803017.25546177,840847427382,36698409100847,0.13521206902184701,99,65,23040,2676
1668551205.5933995,1929819.675,800,3000,192233746432,201420431360,457592754176,499999834112,25000000000,43460091.25475012,840850135860,36698411809356,0.17384036501900002,98,64,23040,2676
1668551206.5940838,1909982.3249999997,800,3000,192234401792,201420431360,457592754176,499999834112,25000000000,37829730.57854261,840852501360,36698414175808,0.15131892231417002,98,66,23040,2676
1668551207.6161115,2135452.4499999997,800,3000,192234254336,201420431360,457592754176,499999834112,25000000000,36134839.47834684,840854809035,36698416484484,0.144539357913387,99,68,23040,2676
1668551208.596941,1908442.700000001,800,3000,192234016768,201420431360,457592754176,499999834112,25000000000,39629918.246948816,840857237986,36698418914307,0.158519672987795,99,67,23040,2676
1668551209.5977824,1892961.7249999999,800,3000,192234602496,201420431360,457592754176,499999834112,25000000000,44754688.337667555,840860025328,36698421726008,0.17901875335067002,99,66,23040,2676
1668551210.601351,1911345.7500000005,800,3000,192234778624,201420431360,457592754176,499999834112,25000000000,47408607.307099186,840862998574,36698424699986,0.18963442922839602,98,63,23040,2676
1668551211.5993297,1897643.8749999998,800,3000,192235184128,201420431360,457592754176,499999834112,25000000000,40950173.10552326,840865552332,36698427254653,0.16380069242209302,98,66,23040,2676
1668551212.6002805,1897621.8,800,3000,192236965888,201420431360,457592754176,499999834112,25000000000,46879122.70694464,840868484519,36698430187928,0.18751649082777802,99,67,23040,2676
1668551213.6015081,1886443.5,800,3000,192236564480,201420431360,457592754176,499999834112,25000000000,37823910.71422302,840870851005,36698432555235,0.151295642856892,99,67,23040,2676
