unix,cpu_freq_current,cpu_freq_min,cpu_freq_max,memory_available,memory_total,disk_free,disk_total,net_speed,net_speed_used,net_byte_recv,net_byte_sent,net_util,gpu_util,gpu_memory_util,gpu_memory_total,gpu_memory_used
1668552860.8418496,899311.1999999997,800,3000,195974295552,201420431360,457592696832,499999834112,25000000000,0,842547841262,36700109774155,0,0,0,23040,0
1668552861.9419982,811802.3249999998,800,3000,195973681152,201420431360,457592696832,499999834112,25000000000,178950.35822708166,842547854433,36700109785593,0.0007158014329080001,0,0,23040,0
1668552862.9247806,865267.9249999998,800,3000,195973509120,201420431360,457592696832,499999834112,25000000000,46545.401790548865,842547857443,36700109788301,0.000186181607162,0,0,23040,0
1668552863.9457934,800572.4999999999,800,3000,195974148096,201420431360,457592696832,499999834112,25000000000,10765.780979899768,842547858177,36700109788941,4.3063123919599074e-05,0,0,23040,0
1668552864.9266999,855383,800,3000,195974946816,201420431360,457592696832,499999834112,25000000000,20421.926325767705,842547859487,36700109790135,8.168770530307082e-05,0,0,23040,0
1668552865.9270003,1642514.6500000004,800,3000,195876306944,201420431360,457592696832,499999834112,25000000000,103400.9375921807,842547864688,36700109797863,0.000413603750368,0,0,23040,0
1668552866.9290433,1122555.6000000003,800,3000,195801960448,201420431360,457592696832,499999834112,25000000000,2536175323.484818,842706700019,36700268632126,10.144701293939272,0,0,23040,2
1668552867.9298186,866360.6750000002,800,3000,195802152960,201420431360,457592696832,499999834112,25000000000,24900.693565493824,842706702208,36700268633052,9.960277426197531e-05,0,0,23040,2
1668552868.949913,800590.9750000002,800,3000,195802374144,201420431360,457592696832,499999834112,25000000000,19166.853677359763,842706703376,36700268634328,7.666741470943906e-05,0,0,23040,2
1668552869.9319258,828145.35,800,3000,195802411008,201420431360,457592696832,499999834112,25000000000,9507.00488581792,842706704083,36700268634788,3.802801954327167e-05,0,0,23040,2
1668552870.9538348,833802.175,800,3000,195802664960,201420431360,457592696832,499999834112,25000000000,1208154.5439222695,842706756899,36700268736300,0.004832618175689,0,0,23040,2
1668552871.9324691,1413895.1749999993,800,3000,195736309760,201420431360,457592696832,499999834112,25000000000,134546.6761894321,842706762244,36700268747414,0.000538186704757,0,0,23040,2
1668552872.9528651,1277696.4000000004,800,3000,195524055040,201420431360,457592696832,499999834112,25000000000,30278.441091523982,842706764451,36700268749069,0.00012111376436600001,0,0,23040,2
1668552873.9305296,1697749.4499999997,800,3000,195203657728,201420431360,457592696832,499999834112,25000000000,29351.583146166606,842706765368,36700268751739,0.000117406332584,0,0,23040,2
1668552874.9305534,1735668.3499999994,800,3000,194316718080,201420431360,457592696832,499999834112,25000000000,23695.435056804257,842706766448,36700268753621,9.478174022721703e-05,10,1,23040,438
1668552875.9552326,1123543.2250000003,800,3000,192939802624,201420431360,457592696832,499999834112,25000000000,51364.36928151415,842706769057,36700268757591,0.000205457477126,7,0,23040,966
