unix,cpu_util,cpu_freq_current,cpu_freq_min,cpu_freq_max,memory_available,memory_total,disk_free,disk_total,net_speed,net_speed_used,net_byte_recv,net_byte_sent,net_util,gpu_util,gpu_memory_util,gpu_memory_total,gpu_memory_used
1668651983.3507185,1.8,803167.375,800,3000,196151431168,201420431360,457564614656,499999834112,25000000000,0,869206187694,36711135464105,0,0,0,23040,0
1668651986.2737956,0.6000000000000001,901708.6000000002,800,3000,196100190208,201420431360,457564614656,499999834112,25000000000,66817.25896566422,869206199914,36711135476299,0.00026726903586200005,0,0,23040,0
1668651987.7941816,5.5,917122.325,800,3000,196060332032,201420431360,457564614656,499999834112,25000000000,166305.13779086934,869206221330,36711135486489,0.000665220551163,0,0,23040,0
1668651988.7801197,0.4,939704.2250000002,800,3000,196054454272,201420431360,457564614656,499999834112,25000000000,66397.67937312771,869206225065,36711135490937,0.000265590717492,0,0,23040,0
1668651989.7804172,0.5,889331.7750000003,800,3000,196037459968,201420431360,457564614656,499999834112,25000000000,82151.55610131873,869206231427,36711135494847,0.000328606224405,0,0,23040,0
1668651990.801956,0.30000000000000004,800569.0000000001,800,3000,196049039360,201420431360,457564614656,499999834112,25000000000,20243.970495565092,869206232536,36711135496323,8.097588198226037e-05,0,0,23040,0
1668651991.7842052,0.30000000000000004,856634.225,800,3000,196045303808,201420431360,457564614656,499999834112,25000000000,132202.6956851848,869206244576,36711135500515,0.0005288107827400001,0,0,23040,0
1668651992.784899,2.1,972767.675,800,3000,195941871616,201420431360,457564614656,499999834112,25000000000,131260.9314197465,869206255577,36711135505933,0.000525043725678,0,0,23040,2
1668651993.7823095,8.8,1501141.9000000001,800,3000,195856904192,201420431360,457564614656,499999834112,25000000000,2547882466.4010158,869365085904,36711294336208,10.191529865604062,0,0,23040,2
1668651994.7862306,0.4,950328.6249999998,800,3000,195856162816,201420431360,457564614656,499999834112,25000000000,67726.44245514457,869365089903,36711294340708,0.00027090576982,0,0,23040,2
1668651995.8097072,0.1,827450.925,800,3000,195857166336,201420431360,457564614656,499999834112,25000000000,9098.40048528084,869365090509,36711294341266,3.6393601941123365e-05,0,0,23040,2
1668651996.7881842,0.4,871390.2000000001,800,3000,195856965632,201420431360,457564614656,499999834112,25000000000,11405.480135379128,869365091322,36711294341848,4.562192054151651e-05,0,0,23040,2
1668651997.7893667,0.2,840959.0249999999,800,3000,195857346560,201420431360,457564614656,499999834112,25000000000,9700.528580246442,869365092014,36711294342370,3.8802114320985775e-05,0,0,23040,2
1668651998.7901986,0.4,864428.0749999998,800,3000,195855462400,201420431360,457564614656,499999834112,25000000000,11486.44508769251,869365092869,36711294342952,4.594578035077003e-05,0,0,23040,2
1668651999.7857893,8.6,1464537.4499999995,800,3000,195747909632,201420431360,457564614656,499999834112,25000000000,130696.28083653231,869365100539,36711294351547,0.0005227851233460001,0,0,23040,2
1668652000.788428,17.1,1739745.9000000004,800,3000,195575627776,201420431360,457564614656,499999834112,25000000000,10651.891609113296,869365101292,36711294352129,4.260756643645318e-05,0,0,23040,2
1668652001.7934818,4.2,1032786.0500000002,800,3000,195061448704,201420431360,457564614656,499999834112,25000000000,41343.062143266005,869365103294,36711294355321,0.00016537224857300002,5,0,23040,234
