rate,detector_count,q_size,throughput,avg_latency,p99_latency,model_name
1.0,1,1000,0.9957066042460692,0.08553771162033082,0.10327950954437255,
1.5,1,1000,1.49075645864475,0.08836595129966736,0.10785798072814941,
2.0,1,1000,1.9833286216536503,0.08973206734657288,0.10501856088638303,
2.5,1,1000,2.4749092937285866,0.09020401334762573,0.10922883987426757,
3.0,1,1000,2.9647046372156853,0.09047522068023682,0.12325902462005608,
3.5,1,1000,3.4544652587182485,0.09231196212768554,0.2503170561790447,
4.0,1,1000,3.941118707188461,0.09669730114936828,0.6659900569915755,
4.5,1,1000,4.422283313888629,0.09944427299499511,0.9602862262725818,
5.0,1,1000,4.906762098058298,0.10290770840644836,1.1142104148864735,
5.5,1,1000,5.387338464002692,0.10766123795509339,1.300867955684661,
6.0,1,1000,5.858484121703178,0.11600539469718933,1.6039984464645378,
6.5,1,1000,6.337957942845365,0.11602578663825988,1.604044444561004,
7.0,1,1000,6.803418387228363,0.1253870759010315,1.7973736476898188,
7.5,1,1000,7.281825842885164,0.12697534036636351,1.7473131561279291,
8.0,1,1000,7.7543184596367505,0.13473999857902527,1.866803224086761,
8.5,1,1000,8.227200608070419,0.149109130859375,2.0273752093315123,
9.0,1,1000,8.693400661446054,0.16007365155220032,2.0513626599311827,
9.5,1,1000,9.151446358720575,0.1848302848339081,2.2223994970321654,
10.0,1,1000,9.629030028345888,0.19799944400787353,2.1966847801208496,
10.5,1,1000,10.095376169765366,0.24010916590690612,2.3176609039306637,
11.0,1,1000,10.555035760657566,0.2777756655216217,2.3343698596954345,
11.5,1,1000,11.007201631219381,0.34801429319381716,2.3595584154129026,
12.0,1,1000,11.479237402442552,0.4981344907283783,2.4365795421600343,
12.5,1,1000,11.909415149064305,1.2722553403377532,2.545144021511078,
13.0,1,1000,12.10725786507568,2.136874333143234,2.3592988896369933,
13.5,1,1000,12.18043663380946,3.4238068387508394,4.291670355796814,
14.0,1,1000,12.102746195125064,4.95945436668396,7.45831702709198,
14.5,1,1000,12.09561652598952,6.4151986951828,9.881859107017517,
15.0,1,1000,12.092408341791591,7.436603783845902,12.110031812191009,
15.5,1,1000,12.041473110092412,8.728358419895173,14.588959422111511,
16.0,1,1000,11.999760479939608,9.994424196481704,16.918845975399016,
16.5,1,1000,11.95245433725381,10.7865916492939,18.584476487636564,
17.0,1,1000,11.993636775971906,11.666238457679748,20.516292731761933,
17.5,1,1000,11.953303089374591,12.71589497756958,22.655517671108246,
18.0,1,1000,11.975550382414081,13.436248411893844,23.89295427083969,
18.5,1,1000,11.91904229769476,14.421563582897186,25.726517918109895,
19.0,1,1000,11.924190140783207,15.229706840753556,27.117413907051088,
19.5,1,1000,11.82859547580781,16.108193157911302,28.90608256101608,
20.0,1,1000,11.960197613540357,16.392717165231705,29.59639866113663,
1.0,2,1000,0.9948332620187542,0.08845305681228638,0.10778840780258177,
1.5,2,1000,1.4887746354013989,0.08923725533485413,0.10633877277374268,
2.0,2,1000,1.921406193096024,0.09128013515472412,0.10974188804626464,
2.5,2,1000,2.471343359561169,0.09215319204330444,0.10911885976791368,
3.0,2,1000,2.958840665832212,0.09432495665550232,0.13270435810089104,
3.5,2,1000,3.4448322084715355,0.09559182620048523,0.18702736377715812,
4.0,2,1000,3.9288312203996516,0.10200761604309082,0.8393094205856301,
4.5,2,1000,4.410685388602485,0.10469993400573731,1.093965156078337,
5.0,2,1000,4.88804749191321,0.10444229888916015,1.2324485611915585,
5.5,2,1000,5.363963188359033,0.1112232391834259,1.394823291301726,
